,Australia,England,New Zealand,West Indies,Pakistan,Sri Lanka,India,South Africa,Zimbabwe,Kenya,Bangladesh,Scotland,Ireland,Afghanistan,Canada,Netherlands,Namibia,U.S.A.,ICC World XI
1/5/1971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/24/1972,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/26/1972,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/1972,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/30/1974,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/1974,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/1975,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/7/1975,4,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/1975,4,3,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6/14/1975,1,3,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6/18/1975,1,2,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/1975,1,2,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/1975,1,2,5,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2/1977,3,2,5,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/1977,3,2,5,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6/6/1977,3,4,5,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/1978,3,4,5,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/1978,3,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/1979,3,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/1979,5,4,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/1979,5,6,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/1979,5,6,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6/9/1979,7,6,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6/13/1979,6,6,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6/16/1979,6,6,5,4,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
11/27/1979,6,6,5,7,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
12/8/1979,7,6,5,7,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
12/9/1979,8,6,5,7,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
12/11/1979,7,6,5,7,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
12/21/1979,7,6,5,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
12/26/1979,7,6,5,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
1/14/1980,7,6,5,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
1/18/1980,7,6,5,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
8/20/1980,7,6,5,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
8/22/1980,7,6,5,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
11/23/1980,6,6,5,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
11/25/1980,6,6,7,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
12/6/1980,1,6,7,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
12/7/1980,1,6,2,8,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0
12/18/1980,1,6,2,8,5,5,2,0,0,0,0,0,0,0,7,0,0,0,0
1/8/1981,1,6,2,8,5,5,2,0,0,0,0,0,0,0,7,0,0,0,0
1/11/1981,1,6,2,8,5,5,2,0,0,0,0,0,0,0,7,0,0,0,0
1/13/1981,3,6,2,8,5,5,2,0,0,0,0,0,0,0,7,0,0,0,0
1/15/1981,3,6,2,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
1/21/1981,3,6,2,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
1/29/1981,3,6,2,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
1/31/1981,3,6,4,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
2/1/1981,3,6,4,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
2/3/1981,3,6,4,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
6/4/1981,7,6,4,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
6/6/1981,7,8,4,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
6/8/1981,7,8,4,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
11/22/1981,6,8,4,8,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
11/24/1981,6,8,4,7,5,5,4,0,0,0,0,0,0,0,7,0,0,0,0
12/6/1981,6,8,4,7,7,5,4,0,0,0,0,0,0,0,7,0,0,0,0
12/17/1981,8,8,4,7,7,5,4,0,0,0,0,0,0,0,7,0,0,0,0
