,Schalke,Hansa Rostock,Bayern Munich,Bochum,Werder Bremen,1860 Munich,Borussia Dortmund,Energie Cottbus,Eintracht Frankfurt,FC Koln,Freiburg,Unterhaching,Kaiserslautern,Wolfsburg,Hamburger SV,Hertha BSC,Bayer 04 Leverkusen,VfB Stuttgart
,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/F.C._Hansa_Rostock_Logo.svg/180px-F.C._Hansa_Rostock_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/VfL_Bochum_logo.svg/170px-VfL_Bochum_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/TSV_1860_M%C3%BCnchen.svg/180px-TSV_1860_M%C3%BCnchen.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Logo_Energie_Cottbus.svg/180px-Logo_Energie_Cottbus.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/180px-Eintracht_Frankfurt_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/180px-FC_Cologne_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/150px-SC_Freiburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/SpVgg_Unterhaching_logo.svg/180px-SpVgg_Unterhaching_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Logo_1_FC_Kaiserslautern.svg/200px-Logo_1_FC_Kaiserslautern.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png
2000-01-26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-27,3,0,3,0,3,0,3,0,0,3,3,0,1,1,0,0,0,0
2000-01-28,3,0,3,0,3,0,3,0,0,3,3,0,1,1,0,3,3,0
2000-02-02,3,0,3,0,3,3,3,0,0,3,3,0,1,1,0,3,3,0
2000-02-03,3,0,6,0,6,3,3,3,0,3,6,0,1,1,0,6,3,3
2000-02-04,3,0,6,0,6,3,3,3,3,3,6,0,1,1,0,6,6,3
2000-02-09,3,0,6,0,6,3,3,3,6,3,6,0,1,1,0,6,6,3
2000-02-10,6,0,9,0,6,3,3,3,6,3,6,0,4,4,3,6,9,3
2000-02-11,6,1,9,0,7,3,4,3,6,3,7,0,4,4,3,6,9,3
2000-02-16,6,1,9,0,7,4,4,3,7,3,7,0,4,4,3,6,9,3
2000-02-17,6,4,9,1,10,4,7,3,7,3,10,3,4,5,3,6,9,3
2000-02-18,6,4,9,1,10,4,7,3,7,3,10,3,7,5,3,9,9,3
2000-02-23,6,4,9,1,10,4,7,6,7,3,10,3,7,5,3,9,9,3
2000-02-24,7,4,10,1,13,7,8,6,7,4,10,3,7,5,6,9,9,3
2000-02-25,7,7,10,2,13,7,8,6,7,4,10,3,7,5,6,9,9,4
2000-03-02,7,7,10,2,13,7,11,6,7,4,10,3,7,5,6,9,9,4
2000-03-03,7,10,10,2,16,7,11,6,7,7,10,6,10,5,6,9,9,7
2000-03-04,7,10,10,2,16,10,11,6,7,7,10,6,10,5,9,9,9,7
2000-03-07,7,10,10,2,16,10,11,6,7,7,10,6,10,5,9,12,9,7
