,Freiburg,Nurnberg,Leverkusen,Rostock,Monchengladbach,Kaiserslautern,Munich 1860,FC Koln,Schalke,Bayern,St. Pauli,Wolfsburg,Stuttgart,Hamburger SV,Cottbus,Bremen,Dortmund,Hertha
2001-01-26,3,0,3,0,0,3,3,0,3,0,3,0,3,0,0,0,0,0
2001-01-27,3,0,3,0,0,3,3,0,3,0,3,0,3,0,3,0,3,0
2001-02-02,4,3,3,0,0,6,3,0,6,0,3,1,6,3,3,0,4,1
2001-02-03,4,3,3,3,0,6,3,0,6,3,3,1,6,3,3,0,4,1
2001-02-05,5,6,3,3,3,6,6,0,6,3,3,2,6,3,6,0,4,1
2001-02-06,5,6,3,3,3,7,6,0,9,3,6,2,6,4,6,0,7,1
2001-02-09,5,6,6,6,3,7,6,0,12,4,6,5,6,4,6,3,8,4
2001-02-10,5,9,6,6,3,7,6,0,12,4,6,5,6,7,6,3,8,4
2001-02-16,5,9,7,6,6,10,6,0,13,7,7,5,9,7,6,3,9,7
2001-02-17,5,9,7,6,6,10,6,1,13,7,7,5,9,7,9,4,9,7
2001-02-23,5,12,7,7,7,10,9,1,16,10,8,5,10,7,9,4,9,10
2001-02-24,5,12,10,7,7,10,9,1,16,10,8,5,10,10,9,4,9,10
2001-03-02,6,12,11,7,10,10,12,2,16,13,8,5,10,13,12,4,9,11
2001-03-03,6,12,11,7,10,13,12,2,16,13,9,5,10,13,12,4,10,11
2001-03-09,6,12,14,10,10,13,12,2,16,16,12,8,10,13,12,7,13,11
2001-03-10,6,12,14,10,10,13,12,2,19,16,12,8,10,13,12,7,13,14
2001-03-16,6,12,17,10,13,14,12,5,19,17,12,9,10,14,15,7,13,17
2001-03-17,6,12,17,10,13,14,12,5,22,17,12,9,10,14,15,7,16,17
2001-03-23,6,12,20,11,16,14,12,5,25,20,12,9,13,15,15,7,16,20
2001-03-24,6,12,20,11,16,14,12,5,25,20,12,12,13,15,15,7,19,20
2001-03-30,6,15,23,11,19,14,15,5,25,21,12,12,16,16,18,7,19,20
2001-03-31,6,15,23,11,19,14,15,6,26,21,12,12,16,16,18,10,19,20
2001-04-06,6,15,26,14,20,15,15,6,29,22,13,12,16,16,19,11,19,23
2001-04-07,6,15,26,14,20,15,15,6,29,22,13,12,19,16,19,11,22,23
2001-04-13,6,15,27,14,20,15,18,9,29,25,13,15,19,17,19,14,22,26
2001-04-14,6,15,27,14,20,18,18,9,29,25,13,15,20,17,20,14,22,26
2001-04-19,6,15,27,14,20,18,18,9,29,25,13,15,20,20,20,14,22,26
2001-04-20,6,15,27,14,20,18,19,9,32,28,13,18,20,20,21,17,25,26
2001-04-21,9,15,27,14,21,18,19,9,32,28,13,18,21,20,21,17,25,26
2001-04-27,9,18,27,15,22,21,20,12,32,31,13,18,22,20,21,20,28,29
2001-05-04,12,21,30,15,22,21,23,15,32,34,13,21,25,20,21,20,31,29
2002-07-28,15,21,33,15,25,24,23,16,32,34,13,21,26,20,24,20,34,29
2002-07-29,15,21,33,15,25,24,23,16,32,34,14,21,26,20,24,20,34,30
2002-08-04,15,21,36,15,25,24,23,19,32,37,15,22,26,23,24,23,37,30
2002-08-05,15,24,36,15,25,27,23,19,32,37,15,22,26,23,24,23,37,30
2002-08-11,15,24,37,15,25,30,24,19,32,38,15,22,27,24,27,24,40,33
2002-08-12,15,24,37,18,26,30,24,19,33,38,15,22,27,24,27,24,40,33
2002-08-18,16,24,38,18,26,33,27,19,34,41,15,23,30,24,27,24,43,33
2002-08-19,16,24,38,18,29,33,27,19,34,41,15,23,30,24,30,24,43,33
2002-08-21,16,24,38,18,29,33,27,19,37,41,15,23,30,24,30,24,43,33
2002-09-08,17,24,41,19,29,33,30,19,40,44,15,24,31,24,31,24,43,34
2002-09-09,17,24,41,19,29,36,30,22,40,44,15,24,31,24,31,24,43,34
2002-09-16,17,24,44,19,30,39,30,23,43,47,15,24,34,25,31,25,43,34
2002-09-17,17,24,44,20,30,39,30,23,43,47,15,24,34,25,32,25,43,37
2002-09-22,20,27,45,20,30,42,30,23,43,50,15,24,37,25,32,28,44,37
2002-09-23,20,27,45,20,31,42,33,23,43,50,16,24,37,25,32,28,44,37
2002-09-29,20,28,45,21,31,42,34,23,46,50,16,27,37,26,32,31,47,40
2002-09-30,20,28,48,21,31,42,34,23,46,53,16,27,37,26,32,31,47,40
