,Bochum,Nürnberg,Werder Bremen,Arminia Bielefeld,Hannover 96,Hamburger SV,Hertha BSC,Borussia Dortmund,Kaiserslautern,VfB Stuttgart,Hansa Rostock,1860 Munich,Wolfsburg,Schalke,Bayern Munich,Borussia Mönchengladbach,Bayer 04 Leverkusen,Energie Cottbus
,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/VfL_Bochum_logo.svg/170px-VfL_Bochum_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/1._FC_N%C3%BCrnberg_logo.svg/180px-1._FC_N%C3%BCrnberg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Arminia-wappen-2021.svg/180px-Arminia-wappen-2021.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hannover_96_Logo.svg/180px-Hannover_96_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Logo_1_FC_Kaiserslautern.svg/200px-Logo_1_FC_Kaiserslautern.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/F.C._Hansa_Rostock_Logo.svg/180px-F.C._Hansa_Rostock_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/TSV_1860_M%C3%BCnchen.svg/180px-TSV_1860_M%C3%BCnchen.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Logo_Energie_Cottbus.svg/180px-Logo_Energie_Cottbus.svg.png
2002-01-25,3,0,1,1,1,1,3,0,0,3,0,3,0,3,0,0,0,0
2002-01-26,3,0,1,1,1,1,3,0,0,3,0,3,0,3,3,0,0,3
2002-02-01,3,0,1,2,4,1,3,0,1,6,3,3,0,4,4,0,0,6
2002-02-02,3,0,1,2,4,4,3,3,1,6,3,3,0,4,4,0,0,6
2002-02-08,6,0,1,2,7,4,6,3,4,6,4,6,3,4,4,0,0,7
2002-02-09,6,0,1,2,7,5,6,3,4,9,4,6,3,4,5,0,0,7
2002-02-15,6,3,1,3,7,8,6,6,5,9,7,6,3,7,8,0,0,7
2002-02-16,6,3,1,3,7,8,9,6,5,9,7,6,3,7,8,0,0,10
2002-02-19,6,3,1,3,7,8,9,6,5,9,7,6,3,7,8,3,0,10
