,Borussia Dortmund,Schalke,Bochum,Wolfsburg,Werder Bremen,Hertha BSC,FC Koln,Borussia Mönchengladbach,Eintracht Frankfurt,Bayern Munich,1860 Munich,Kaiserslautern,VfB Stuttgart,Hansa Rostock,Freiburg,Bayer 04 Leverkusen,Hannover 96,Hamburger SV
,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/VfL_Bochum_logo.svg/170px-VfL_Bochum_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/180px-FC_Cologne_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/180px-Eintracht_Frankfurt_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/TSV_1860_M%C3%BCnchen.svg/180px-TSV_1860_M%C3%BCnchen.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Logo_1_FC_Kaiserslautern.svg/200px-Logo_1_FC_Kaiserslautern.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/F.C._Hansa_Rostock_Logo.svg/180px-F.C._Hansa_Rostock_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/150px-SC_Freiburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hannover_96_Logo.svg/180px-Hannover_96_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png
2003-01-30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-31,0,3,3,0,3,0,3,0,1,1,3,0,3,0,0,0,0,0
2003-02-01,0,3,3,0,3,0,3,0,1,1,3,0,3,0,3,0,3,0
2003-02-07,3,4,4,0,6,0,3,0,4,1,4,3,3,3,3,0,3,1
2003-02-08,3,4,4,0,6,3,3,0,4,4,4,3,3,3,3,0,3,1
2003-02-14,3,7,7,0,6,6,3,1,5,4,4,3,4,4,3,1,4,4
2003-02-15,6,7,7,0,9,6,3,1,5,4,4,3,4,4,3,1,4,4
2003-02-21,6,8,10,3,10,6,3,2,5,7,4,6,4,7,4,1,4,4
2003-02-22,9,8,10,3,10,6,3,2,8,7,4,6,4,7,4,1,4,4
2003-02-28,9,9,11,3,13,6,3,2,11,10,7,6,5,8,4,1,4,7
2003-02-29,9,9,11,3,13,9,3,2,11,10,7,6,5,8,7,1,4,7
2003-03-06,9,12,12,3,13,10,3,5,11,13,7,9,8,11,7,1,4,7
2003-03-07,9,12,12,6,16,10,3,5,11,13,7,9,8,11,7,1,4,7
2003-03-13,10,12,12,6,19,10,3,5,14,14,7,12,8,12,8,4,4,10
2003-03-14,10,12,15,6,19,10,3,5,14,14,7,12,11,12,8,4,4,10
2003-03-20,13,13,16,6,19,11,4,8,14,15,7,13,12,12,8,7,5,10
2003-03-21,13,13,16,6,22,11,4,8,14,15,8,13,12,12,9,7,5,10
2003-03-27,14,16,16,6,22,11,4,8,14,18,11,13,12,15,12,10,6,10
2003-03-28,14,16,16,6,23,11,4,8,14,18,11,13,13,15,12,10,6,13
2003-04-03,14,19,16,6,23,12,7,9,14,21,11,13,16,16,12,11,9,13
2003-04-04,17,19,16,6,24,12,7,9,14,21,11,13,16,16,13,11,9,13
2003-04-10,20,19,19,6,27,15,7,12,14,24,11,13,16,16,13,14,9,13
2003-04-11,20,19,19,6,27,15,7,12,14,24,11,13,19,16,13,14,12,13
2003-04-17,23,19,19,9,27,16,7,13,14,24,11,16,22,16,13,17,12,16
2003-04-18,23,19,22,9,28,16,7,13,14,24,11,16,22,16,13,17,13,16
2003-04-24,23,19,22,12,28,19,7,13,17,24,11,16,25,19,13,20,13,19
2003-04-25,23,19,23,12,29,19,7,13,17,27,11,16,25,19,13,20,13,19
2003-05-01,26,19,23,15,32,19,7,14,17,30,12,17,25,19,16,21,13,19
2003-05-02,26,22,24,15,32,19,7,14,17,30,12,17,26,19,16,21,13,19
2003-05-08,26,22,24,15,35,22,7,17,17,30,12,20,26,19,16,24,16,22
2003-05-09,26,22,27,15,35,22,7,17,17,30,12,20,26,22,16,24,16,22
2003-05-15,29,25,27,16,35,23,10,17,20,30,13,20,29,22,17,27,17,23
2003-05-22,30,26,30,17,35,26,10,20,20,33,13,21,29,25,17,30,17,26
2004-08-01,30,26,30,17,35,26,10,20,20,36,13,21,29,25,17,30,17,26
2004-08-02,31,27,30,20,38,26,10,20,20,36,16,21,29,25,17,33,20,26
2004-08-03,31,27,30,20,38,26,10,23,20,36,16,21,32,25,17,33,20,26
2004-08-09,34,28,31,20,39,26,10,24,20,37,17,24,32,26,18,33,21,27
2004-08-10,34,28,31,20,39,27,10,24,20,37,17,24,33,26,18,36,21,27
2004-08-16,37,28,31,20,42,28,10,24,20,40,17,24,36,29,19,39,21,27
2004-08-17,37,31,31,23,42,28,10,24,20,40,17,24,36,29,19,39,21,27
2004-08-23,37,31,34,23,45,29,13,24,21,40,20,24,39,29,22,39,21,27
2004-08-24,37,31,34,23,45,29,13,24,21,43,20,24,39,29,22,39,21,27
2004-08-27,37,31,34,23,45,29,13,24,21,43,20,24,39,30,22,39,22,27
2004-09-13,40,32,37,26,45,29,13,24,21,43,23,24,40,30,22,42,25,27
2004-09-14,40,32,37,26,45,29,13,24,24,43,23,25,40,30,23,42,25,27
2004-09-20,40,32,38,29,48,30,13,24,24,44,23,25,43,30,26,43,28,27
2004-09-21,40,32,38,29,48,30,13,24,24,44,23,28,43,30,26,43,28,30
2004-09-27,43,32,39,29,51,30,13,25,24,47,23,31,46,30,26,46,28,30
