,Borussia Mönchengladbach,Bayern Munich,Borussia Dortmund,Wolfsburg,Hertha BSC,Hannover 96,Bayer 04 Leverkusen,Eintracht Frankfurt,FSV Mainz 05,FC Koln,Nürnberg,Hamburger SV,VfB Stuttgart,MSV Duisburg,Arminia Bielefeld,Werder Bremen,Kaiserslautern,Schalke
,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hannover_96_Logo.svg/180px-Hannover_96_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/180px-Eintracht_Frankfurt_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/180px-Logo_Mainz_05.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/180px-FC_Cologne_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/1._FC_N%C3%BCrnberg_logo.svg/180px-1._FC_N%C3%BCrnberg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/MSV_Duisburg_Anniversary_22-23_Logo.svg/180px-MSV_Duisburg_Anniversary_22-23_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Arminia-wappen-2021.svg/180px-Arminia-wappen-2021.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Logo_1_FC_Kaiserslautern.svg/200px-Logo_1_FC_Kaiserslautern.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png
2005-01-27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-28,0,3,3,0,1,1,3,0,3,0,3,0,0,3,0,0,0,0
2005-01-29,0,3,3,0,1,1,3,0,3,0,3,0,0,3,0,3,0,3
2005-02-04,0,6,4,0,2,1,3,1,3,1,3,3,1,4,0,6,1,4
2005-02-05,0,6,4,3,2,2,3,1,3,1,4,3,1,4,0,6,1,4
2005-02-07,0,7,7,3,3,2,3,1,4,2,4,3,1,4,1,6,2,4
2005-02-08,1,7,7,3,3,5,6,4,4,2,4,3,2,4,1,7,2,5
2005-02-11,2,7,7,4,4,8,6,4,4,2,4,6,2,5,4,7,5,8
2005-02-12,2,10,8,4,4,8,6,4,4,3,4,6,2,5,4,7,5,8
2005-02-18,5,11,8,4,4,9,9,4,4,3,7,6,2,5,4,10,8,11
2005-02-19,5,11,8,4,4,9,9,4,4,3,7,9,5,5,4,10,8,11
2005-02-25,5,14,8,7,4,9,12,4,4,3,7,9,5,5,7,13,11,14
2005-02-26,5,14,8,7,4,9,12,4,4,3,7,9,8,8,7,13,11,14
2005-03-04,5,14,9,7,4,9,13,4,5,6,10,12,8,8,7,14,11,17
2005-03-05,8,14,9,8,4,9,13,5,5,6,10,12,8,8,7,14,11,17
2005-03-07,8,14,9,8,4,9,13,5,5,6,10,12,9,8,7,14,12,17
2005-03-11,8,15,10,9,7,10,13,5,8,6,13,12,10,9,10,14,12,17
2005-03-12,8,15,10,9,7,10,13,5,8,6,13,15,10,9,10,14,12,20
2005-03-18,9,15,13,9,7,13,13,8,11,6,16,18,11,9,10,14,12,20
2005-03-19,9,18,13,9,10,13,13,8,11,6,16,18,11,9,10,14,12,20
2005-03-25,9,21,16,10,11,13,16,9,12,7,16,18,11,9,10,17,12,21
2005-03-26,9,21,16,10,11,13,16,9,12,7,17,18,11,9,11,17,15,21
2005-04-01,12,22,16,11,14,13,19,9,12,8,20,18,11,10,11,20,15,21
2005-04-02,12,22,16,11,14,13,19,9,12,8,20,21,11,10,14,20,15,21
2005-04-08,12,22,16,11,17,14,22,9,13,11,20,21,14,10,17,23,15,21
2005-04-09,12,22,16,11,17,14,22,9,13,11,20,24,14,11,17,23,15,22
2005-04-15,12,25,17,12,18,14,25,10,14,12,20,27,14,11,17,24,15,23
2005-04-16,12,25,17,12,18,15,25,10,14,12,23,27,15,11,17,24,15,23
2005-04-22,13,25,20,15,19,15,28,13,14,15,23,27,15,11,17,24,18,23
2005-04-23,13,26,20,15,19,15,28,13,15,15,23,27,15,11,17,25,18,24
2005-05-02,13,26,23,15,19,15,31,13,15,15,26,30,15,11,17,25,18,24
2005-05-03,13,29,23,15,19,15,31,14,18,15,26,30,15,11,17,28,19,27
2005-05-06,14,30,24,15,22,16,32,15,21,15,27,30,18,14,17,31,20,27
2005-05-13,17,31,25,16,22,17,33,15,22,18,30,30,18,15,17,34,21,30
2006-08-05,17,34,25,16,22,17,33,15,22,18,30,30,18,15,17,34,21,30
2006-08-06,17,34,26,17,23,18,33,15,22,21,30,33,19,16,17,37,21,30
2006-08-07,17,34,26,17,23,18,36,15,22,21,30,33,19,16,17,37,21,33
2006-08-13,18,37,26,18,26,19,36,15,22,21,31,36,19,16,17,37,24,36
2006-08-14,18,37,26,18,26,19,36,15,22,24,31,36,19,16,17,40,24,36
2006-08-27,19,40,26,21,26,20,36,18,22,24,31,37,20,16,17,41,27,37
2006-08-28,19,40,27,21,26,20,36,18,22,24,31,37,20,17,20,41,27,37
2006-09-10,22,43,27,21,26,23,37,18,22,24,31,40,21,17,21,44,27,38
2006-09-11,22,43,30,21,29,23,37,18,22,24,31,40,21,17,21,44,27,38
2006-09-17,22,46,30,22,29,23,37,19,22,27,32,41,24,17,22,47,28,38
2006-09-18,22,46,30,22,30,23,40,19,22,27,32,41,24,17,22,47,28,39
2006-09-20,25,49,33,25,30,23,40,19,22,27,32,41,24,17,22,47,28,39
2006-09-21,25,49,33,25,33,23,43,19,25,27,33,44,24,17,22,47,28,40
2006-09-24,28,49,34,28,33,23,43,19,26,27,33,47,24,20,22,50,28,43
2006-09-25,28,49,34,28,36,23,43,19,26,27,33,47,27,20,22,50,28,43
2006-10-01,31,52,34,28,36,24,44,19,26,27,36,47,27,21,23,53,28,46
2006-10-02,31,52,35,28,36,24,44,19,26,27,36,50,28,21,23,53,28,46
2006-10-15,32,53,36,31,36,24,44,19,29,27,36,50,29,21,26,56,29,47
2006-10-16,32,53,36,31,36,27,44,22,29,27,36,50,29,21,26,56,29,47
2006-10-22,35,56,36,32,39,28,44,25,29,27,36,50,29,21,29,57,29,48
2006-10-23,35,56,37,32,39,28,45,25,29,27,36,51,30,21,29,57,29,48
2006-10-29,35,59,40,32,40,28,46,25,29,27,36,54,31,24,29,60,30,48
2006-10-30,35,59,40,32,40,28,46,25,32,27,36,54,31,24,32,60,30,48
2006-11-05,35,62,40,33,43,29,49,28,33,28,36,54,31,24,32,60,30,51
2006-11-06,36,62,40,33,43,29,49,28,33,28,36,55,34,24,32,60,30,51
2006-11-19,37,65,43,33,43,29,50,29,34,29,39,55,34,24,32,63,30,52
2006-11-20,37,65,43,33,43,30,50,29,34,29,39,58,35,24,32,63,30,52
2006-11-26,37,68,46,34,43,33,50,29,34,29,39,61,35,24,33,63,30,55
2006-11-27,38,68,46,34,44,33,50,30,34,29,39,61,36,24,33,63,30,55
2006-12-03,38,69,46,34,44,36,50,30,34,29,42,64,37,24,33,66,30,58
2006-12-04,38,69,46,34,47,36,50,30,37,29,42,64,37,24,33,66,30,58
2006-12-06,38,69,46,34,47,36,50,30,37,30,42,64,37,25,33,66,30,58
2006-12-10,39,69,46,34,47,37,51,33,37,30,43,67,40,26,34,66,30,61
2006-12-11,39,72,46,34,47,37,51,33,37,30,43,67,40,26,34,69,30,61
2006-12-14,39,72,46,34,47,37,51,36,37,30,43,67,40,26,34,69,30,61
2006-12-17,42,75,46,34,47,38,52,36,38,30,43,67,43,27,37,69,33,61
2006-12-18,42,75,46,34,48,38,52,36,38,30,44,68,43,27,37,70,33,61
