,Dortmund,Bayern,Bielefeld,Hamburger SV,Bochum,Mainz,Cottbus,Monchengladbach,Frankfurt,Schalke,Hertha,Wolfsburg,Nurnberg,Stuttgart,Aachen,Leverkusen,Bremen,Hannover
2006-01-26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-27,3,0,1,1,0,3,3,0,0,3,3,0,3,0,0,0,0,0
2006-01-28,3,0,1,1,0,3,3,0,0,3,3,0,3,0,0,3,3,0
2006-01-30,3,1,1,1,1,3,3,1,1,3,3,1,4,3,0,3,3,0
2006-01-31,3,1,1,2,1,6,4,1,1,6,3,1,4,3,0,3,6,3
2006-02-02,3,1,1,2,1,6,4,1,1,6,3,1,7,3,0,3,6,3
2006-02-03,3,1,1,2,2,7,5,4,2,6,6,4,7,3,0,3,6,6
2006-02-04,3,1,1,2,2,7,5,4,2,9,6,4,7,6,0,3,6,6
2006-02-09,3,1,1,2,2,7,5,4,2,9,6,5,7,6,0,3,6,7
2006-02-10,3,1,1,5,2,10,5,5,3,12,6,5,7,9,1,4,6,7
2006-02-11,3,4,1,5,2,10,5,5,3,12,6,5,10,9,1,4,6,7
2006-02-16,3,4,1,5,2,10,5,5,3,12,6,5,10,12,1,4,6,7
2006-02-17,6,4,1,8,2,13,5,5,3,13,6,6,10,12,4,4,6,10
2006-02-18,6,4,1,8,5,13,5,5,3,13,6,6,13,12,4,4,6,10
2006-02-23,6,4,1,8,5,13,5,5,3,13,7,6,13,13,4,4,6,10
2006-02-24,6,7,1,11,6,16,8,5,3,13,7,6,13,13,5,4,6,13
2006-02-25,6,7,1,11,6,16,8,6,3,13,7,6,13,13,5,7,7,13
2006-03-02,6,7,1,14,6,16,8,6,3,13,7,6,13,13,5,7,7,13
2006-03-03,6,10,4,14,6,16,8,6,6,13,7,9,13,13,5,10,10,13
2006-03-04,6,10,4,14,6,16,11,6,6,13,7,9,13,13,8,10,10,13
2006-03-09,6,10,4,14,6,16,11,6,7,13,7,9,14,13,8,10,10,13
2006-03-10,6,10,4,14,9,19,11,9,7,14,7,10,14,14,11,10,10,14
2006-03-11,6,11,4,15,9,19,11,9,7,14,7,10,14,14,11,11,11,14
2006-03-16,6,11,4,15,9,19,14,9,7,14,7,10,14,14,11,11,11,14
2006-03-17,7,11,4,16,9,19,14,9,10,17,7,13,15,14,14,11,11,15
2006-03-18,7,11,4,16,9,19,14,9,10,17,7,13,15,14,14,14,14,15
2006-03-30,7,11,7,16,9,19,14,9,10,17,7,13,15,14,14,14,14,15
2006-03-31,7,14,7,16,9,19,15,10,11,17,7,13,18,17,14,17,15,15
2006-04-01,7,14,7,19,12,19,15,10,11,17,7,13,18,17,14,17,15,15
2006-04-07,10,17,8,19,12,19,18,10,11,20,8,16,18,20,14,17,15,15
2006-04-08,10,17,8,19,15,19,18,10,11,20,8,16,18,20,14,17,18,15
2006-04-13,10,17,8,22,15,19,18,10,11,20,8,16,18,20,14,17,18,15
2006-04-14,10,17,8,22,15,19,21,10,14,23,11,16,21,23,14,17,18,15
2006-04-15,10,20,8,22,15,19,21,10,14,23,11,16,21,23,14,17,21,15
2006-04-20,10,20,8,22,15,19,21,10,14,23,11,16,21,23,14,17,24,15
2006-04-21,13,20,11,22,18,19,21,10,14,26,11,16,21,26,14,20,24,15
2006-04-22,13,20,11,23,18,20,21,10,14,26,11,16,21,26,14,20,24,18
2006-04-27,13,20,11,23,21,20,21,10,14,26,11,16,21,26,14,20,24,18
2006-04-28,16,20,11,26,21,20,21,10,14,26,14,17,22,29,14,20,24,21
2006-04-29,16,20,14,26,21,20,24,10,14,26,14,17,22,29,14,20,24,21
2006-05-04,16,20,14,26,21,20,24,10,14,26,14,17,22,29,14,20,24,24
2006-05-05,19,21,14,26,24,20,24,11,17,29,14,17,22,32,14,20,24,24
2006-05-06,19,21,17,26,24,20,24,11,17,29,14,17,22,32,14,20,27,24
2006-05-12,22,24,20,29,24,23,24,11,20,29,14,18,22,35,15,23,27,24
2006-05-19,22,27,20,32,27,23,24,11,20,32,17,18,25,38,15,26,30,24
2007-08-11,22,30,20,32,27,23,24,11,20,32,17,18,25,38,15,26,30,24
2007-08-12,22,30,21,33,27,26,24,14,21,33,17,18,28,38,15,29,30,24
2007-08-13,22,30,21,33,27,26,24,14,21,33,18,19,28,38,15,29,33,24
2007-08-18,22,30,21,33,27,26,24,14,21,33,18,19,31,38,15,29,33,24
2007-08-19,23,30,21,34,27,27,25,14,22,36,21,20,31,38,15,29,36,24
2007-08-20,23,33,21,34,27,27,25,14,22,36,21,20,31,41,15,29,36,24
2007-08-25,23,33,21,34,27,27,25,14,22,39,21,20,31,41,15,29,36,24
2007-08-26,26,34,21,34,27,27,28,17,22,39,21,21,32,41,18,30,36,24
2007-08-27,26,34,21,35,27,28,28,17,23,39,22,21,32,41,18,30,36,24
2007-09-15,26,34,21,35,27,28,28,17,23,39,22,21,32,41,18,30,36,27
2007-09-16,29,34,24,35,28,28,31,17,23,39,22,21,33,44,21,30,36,27
2007-09-17,29,34,24,35,28,28,31,17,26,39,25,21,33,44,21,30,36,27
2007-09-22,29,34,24,35,28,28,31,20,26,39,25,21,33,44,21,30,36,27
2007-09-23,29,37,24,36,28,29,31,20,27,42,26,21,33,45,21,31,37,28
2007-09-24,29,37,24,36,31,29,32,20,27,42,26,21,34,45,21,31,37,28
2007-09-29,30,37,24,36,31,29,32,20,27,42,26,21,34,45,21,31,37,29
2007-09-30,30,37,27,37,31,30,32,20,28,42,26,24,35,45,24,31,40,29
2007-10-01,30,37,27,37,31,30,32,20,28,42,27,24,35,46,24,34,40,29
2007-10-13,30,37,27,37,31,30,32,20,28,42,27,24,35,46,27,34,40,29
2007-10-14,30,40,27,37,31,30,32,23,29,45,27,24,35,49,27,34,43,30
2007-10-15,33,40,28,37,31,30,32,23,29,45,27,24,36,49,27,34,43,30
2007-10-20,34,40,28,37,32,30,32,23,29,45,27,24,36,49,27,34,43,30
2007-10-21,34,40,31,37,32,30,35,23,29,48,30,25,36,50,27,34,46,30
2007-10-22,34,40,31,40,32,30,35,23,30,48,30,25,37,50,27,34,46,30
2007-10-27,34,40,31,40,32,30,35,23,30,48,30,25,37,50,27,34,49,30
2007-10-28,35,43,31,41,32,30,38,23,30,48,30,28,38,50,27,37,49,31
2007-10-29,35,43,34,41,32,30,38,23,30,48,30,28,38,53,27,37,49,31
2007-11-03,35,43,34,41,35,30,38,23,30,48,30,28,38,53,27,37,49,31
2007-11-04,36,43,35,41,35,31,39,23,30,48,33,31,38,56,27,38,50,31
2007-11-05,36,44,35,41,35,31,39,23,33,49,33,31,38,56,27,38,50,31
2007-11-07,37,44,35,41,35,31,39,23,33,49,33,34,38,59,28,38,53,31
2007-11-08,37,44,36,41,35,31,39,23,36,52,34,34,38,59,28,41,53,34
2007-11-10,40,44,36,41,35,31,39,23,36,52,34,34,38,59,28,41,53,34
2007-11-11,40,47,39,42,36,31,40,24,36,55,35,35,38,59,28,41,53,34
2007-11-12,40,47,39,42,36,31,40,24,36,55,35,35,39,62,29,41,53,34
2007-11-17,40,47,39,42,39,31,40,24,36,55,35,35,39,62,29,41,53,34
2007-11-18,40,50,39,43,39,32,40,24,36,58,38,35,42,62,30,41,54,34
2007-11-19,40,50,40,43,39,32,40,24,36,58,38,36,42,62,30,41,54,37
2007-11-24,40,50,40,43,39,32,40,24,36,61,38,36,42,62,30,41,54,37
2007-11-25,41,53,40,43,39,32,40,24,37,61,41,37,43,62,30,41,57,40
2007-11-26,41,53,40,43,39,32,40,24,37,61,41,37,43,65,30,44,57,40
2007-12-01,41,53,40,43,39,33,40,24,37,61,41,37,43,66,30,44,57,40
2007-12-02,44,54,41,43,42,33,40,25,37,61,41,37,43,66,30,45,60,43
2007-12-03,44,54,41,43,42,33,40,25,40,62,41,37,44,66,30,45,60,43
2007-12-08,44,54,41,43,42,33,40,25,40,62,41,37,44,66,30,48,60,43
2007-12-09,44,57,42,44,42,34,40,26,40,62,41,37,45,69,30,48,63,44
2007-12-10,44,57,42,44,42,34,40,26,40,65,41,37,45,69,33,48,63,44
2007-12-15,44,57,42,44,45,34,40,26,40,65,41,37,45,69,33,48,63,44
2007-12-16,44,60,42,45,45,34,41,26,40,68,44,37,48,70,34,48,63,44
2007-12-17,44,60,42,45,45,34,41,26,40,68,44,37,48,70,34,51,66,44
