,Rostock,Bayern,Bielefeld,Wolfsburg,Cottbus,Leverkusen,Duisburg,Dortmund,Hamburger SV,Hannover,Hertha,Frankfurt,Karlsruher,Nurnberg,Bremen,Bochum,Schalke,Stuttgart
2007-02-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-02,0,3,0,3,0,3,1,1,1,1,0,3,3,0,0,0,0,0
2007-02-03,0,3,0,3,0,3,1,1,1,1,0,3,3,0,0,3,3,0
2007-02-08,0,3,0,3,0,3,1,1,1,1,0,6,3,0,0,3,3,0
2007-02-09,1,3,0,6,1,4,1,1,2,2,3,6,4,1,0,4,3,0
2007-02-10,1,4,0,6,1,4,1,1,2,2,3,6,4,1,1,4,6,0
2007-02-15,1,4,0,9,1,4,1,1,2,2,3,6,4,1,1,4,6,0
2007-02-16,4,4,0,9,1,5,1,4,2,2,6,6,5,1,4,4,6,3
2007-02-17,4,7,0,9,1,5,1,4,5,2,6,6,5,1,4,4,6,3
2007-02-22,4,7,0,9,1,5,1,4,5,2,6,6,5,1,4,7,6,3
2007-02-23,4,7,0,10,1,8,4,7,5,2,7,9,5,1,4,7,6,6
2007-02-24,4,8,0,10,2,8,4,7,6,2,7,9,5,2,4,7,6,6
2007-02-29,4,8,0,10,2,8,4,7,6,2,10,9,5,2,4,7,6,6
2007-03-01,5,11,1,10,2,8,4,7,6,5,10,9,8,2,7,7,6,6
2007-03-02,5,11,1,10,2,8,4,7,9,5,10,9,8,2,7,10,6,6
2007-03-07,5,11,1,10,2,8,4,8,9,5,11,9,8,2,7,10,6,6
2007-03-08,6,14,1,13,2,8,5,8,9,5,11,10,8,2,7,11,9,9
2007-03-09,6,14,1,13,2,11,5,8,10,5,11,10,8,3,7,11,9,9
2007-03-11,6,14,1,13,2,11,5,8,10,5,11,10,8,3,7,11,9,12
2007-03-14,6,14,1,13,2,11,5,8,10,5,11,10,8,3,7,11,12,12
2007-03-15,7,14,2,13,5,11,5,8,13,6,12,13,8,3,7,12,12,13
2007-03-16,7,14,2,16,5,14,5,8,13,6,12,13,8,3,7,12,12,13
