,Hamburger SV,Bayern,Dortmund,Leverkusen,FC Koln,Wolfsburg,Hannover,Schalke,Hertha,Frankfurt,Hoffenheim,Cottbus,Stuttgart,Monchengladbach,Bochum,Karlsruher,Bremen,Bielefeld
2008-01-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-31,3,0,1,1,1,1,3,0,3,0,3,0,3,0,0,0,0,0
2008-02-01,3,0,1,1,1,1,3,0,3,0,3,0,3,0,3,0,0,3
2008-02-06,3,0,1,1,1,1,3,0,4,0,3,0,3,0,3,0,0,4
2008-02-07,3,0,1,1,2,4,3,3,4,1,4,0,6,1,3,3,0,4
2008-02-08,3,3,1,1,2,4,3,3,4,1,4,3,6,1,3,3,0,4
2008-02-13,3,3,1,4,2,4,3,3,4,1,4,3,6,1,3,3,0,4
2008-02-14,3,3,1,4,3,7,4,3,7,1,4,3,7,2,6,4,1,4
2008-02-15,6,3,2,4,3,7,4,3,7,1,4,4,7,2,6,4,1,4
2008-02-20,6,3,3,4,3,7,4,4,7,1,4,4,7,2,6,4,1,4
2008-02-21,6,3,3,4,6,10,4,4,7,4,5,7,8,5,7,4,1,5
2008-02-22,9,3,3,4,6,10,4,4,7,4,5,7,8,5,7,4,1,5
2008-02-27,9,3,3,4,7,10,4,4,7,4,5,7,8,5,7,4,1,6
2008-02-28,9,3,4,4,7,10,7,7,10,4,6,7,8,5,10,4,1,6
2008-03-01,9,4,4,4,7,13,7,7,10,4,6,7,11,5,10,4,2,6
2008-03-06,9,4,4,4,7,13,7,10,10,4,6,7,11,5,10,4,2,6
2008-03-07,9,7,4,4,7,16,7,10,13,4,7,7,14,8,10,4,3,6
2008-03-08,9,7,4,5,7,16,7,10,13,5,7,7,14,8,11,4,3,7
2008-03-13,9,7,4,5,7,19,7,10,13,5,7,7,14,8,11,4,3,7
2008-03-14,9,10,5,5,7,19,8,10,16,6,8,7,14,11,11,4,3,10
2008-03-15,12,10,5,5,7,19,8,10,16,6,8,7,14,11,11,4,6,10
2008-03-20,12,10,5,5,7,19,8,10,16,6,8,7,14,11,14,4,6,10
2008-03-21,12,13,8,6,10,22,9,10,16,7,9,7,17,11,14,4,6,10
2008-03-22,15,13,8,6,10,22,9,10,16,7,9,7,17,11,14,4,6,10
2008-04-03,15,13,8,6,10,22,9,13,16,7,9,7,17,11,14,4,6,10
2008-04-04,18,13,11,6,10,25,9,13,16,10,9,7,20,11,14,4,6,10
2008-04-05,18,13,11,9,10,25,9,13,16,10,9,7,20,12,14,5,9,10
2008-04-11,18,16,14,9,10,28,12,16,16,10,9,10,20,12,17,5,9,10
2008-04-12,18,16,14,10,10,28,12,16,16,10,9,10,23,12,17,5,10,10
2008-04-17,18,16,14,10,10,28,12,19,16,10,9,10,23,12,17,5,10,10
2008-04-18,18,19,17,10,10,31,12,19,16,13,10,10,26,12,17,6,10,10
2008-04-19,21,19,17,10,10,31,12,19,19,13,10,10,26,12,17,6,10,10
2008-04-24,21,19,17,10,10,31,12,19,22,13,10,10,26,12,17,6,10,10
2008-04-25,21,19,20,10,10,31,15,22,22,13,10,10,29,12,17,9,13,10
2008-04-26,21,19,20,10,10,31,15,22,22,13,10,13,29,13,17,9,13,11
2008-05-01,21,19,20,10,10,31,18,22,22,13,10,13,29,13,17,9,13,11
2008-05-02,21,22,23,13,10,34,18,22,22,13,10,14,30,13,17,10,13,12
2008-05-03,22,22,23,13,13,34,18,22,23,13,10,14,30,13,17,10,13,12
2008-05-08,22,22,23,14,13,34,18,22,23,13,10,14,30,13,17,10,13,13
2008-05-09,22,25,26,14,13,34,19,22,26,14,13,14,33,13,17,10,13,13
2008-05-10,22,25,26,14,13,34,19,22,26,14,13,14,33,16,17,10,16,13
2008-05-12,22,28,26,14,13,37,22,22,29,14,13,14,33,16,17,10,16,13
2008-05-13,25,28,26,14,13,37,22,22,29,14,16,14,36,19,17,10,19,13
2008-05-16,25,29,29,17,16,40,22,23,30,14,17,14,39,19,20,13,19,13
2008-05-23,28,32,30,17,17,43,23,23,30,14,20,17,39,20,21,16,19,14
2009-08-15,29,33,30,17,17,43,23,23,30,14,20,17,39,20,21,16,19,14
2009-08-16,29,33,33,17,17,46,23,26,30,14,23,17,39,20,21,19,20,15
2009-08-17,29,33,33,17,17,46,23,26,33,14,23,17,42,20,21,19,20,15
2009-08-22,29,33,33,17,17,46,24,26,33,14,23,18,42,20,21,19,20,15
2009-08-23,32,34,34,20,17,46,24,27,34,14,26,18,42,20,21,19,21,16
2009-08-24,32,34,34,20,18,47,24,27,34,15,26,18,42,20,22,19,21,16
2009-08-29,32,34,34,20,21,47,24,27,34,15,26,18,42,20,22,19,21,16
2009-08-30,35,34,37,23,21,48,24,30,34,16,26,18,42,23,22,19,21,16
2009-08-31,35,37,37,23,21,48,24,30,34,16,26,18,45,23,22,19,21,16
2009-09-13,38,40,38,23,21,49,24,31,35,16,27,18,46,23,22,19,24,16
2009-09-14,38,40,38,23,21,49,27,31,35,16,27,18,46,23,25,19,24,16
2009-09-19,38,40,38,26,21,49,27,31,35,16,27,18,46,23,25,19,24,16
2009-09-20,38,40,38,26,21,49,27,34,38,16,27,19,46,23,26,19,27,19
2009-09-21,38,40,38,26,21,52,27,34,38,16,30,19,49,23,26,19,27,19
2009-09-26,38,40,38,26,24,52,27,34,38,16,30,19,49,23,26,19,27,19
2009-09-27,41,40,41,29,24,52,30,34,38,16,30,22,49,23,26,19,30,19
2009-09-28,41,40,41,29,24,52,30,34,38,17,30,22,49,23,26,22,30,20
2009-10-03,41,40,41,29,24,52,30,34,38,17,30,22,49,23,26,25,30,20
2009-10-04,41,41,41,29,27,52,30,34,41,17,33,22,52,23,27,25,30,20
2009-10-05,44,41,42,29,27,53,31,35,41,17,33,22,52,23,27,25,30,20
2009-10-17,44,41,42,29,27,53,31,35,41,17,33,22,52,24,28,25,30,20
2009-10-18,44,44,43,32,30,56,31,35,44,17,36,22,52,24,28,25,31,20
2009-10-19,45,44,43,32,30,56,31,36,44,17,36,22,52,24,28,25,31,20
2009-10-22,45,44,43,32,30,56,31,36,44,20,36,22,52,24,28,25,31,20
2009-10-24,45,44,43,35,30,56,31,36,44,20,36,22,52,24,28,25,31,20
2009-10-25,45,47,43,35,30,56,32,37,44,23,36,22,52,27,28,25,32,21
2009-10-26,45,47,44,35,30,56,32,37,45,23,39,22,55,27,28,25,32,21
2009-10-28,45,47,44,38,30,59,32,40,45,23,39,23,55,27,28,25,32,22
2009-10-29,48,50,47,38,30,59,32,40,48,23,42,23,55,27,28,25,32,22
2009-10-31,48,50,47,41,30,59,32,40,48,23,42,23,55,27,28,25,32,22
2009-11-01,48,53,47,41,33,59,35,43,48,23,45,23,55,27,28,25,35,22
2009-11-02,48,53,48,41,33,59,35,43,48,26,45,23,55,27,29,25,35,22
2009-11-07,48,53,48,41,36,59,35,43,48,26,45,23,55,27,29,25,35,22
2009-11-08,51,53,48,42,36,62,35,43,48,26,45,23,55,30,30,26,36,22
2009-11-09,51,56,48,42,36,62,35,43,51,27,45,23,56,30,30,26,36,22
2009-11-14,51,56,48,42,36,62,36,43,51,27,45,23,56,30,31,26,36,22
2009-11-15,51,57,51,45,36,62,36,43,54,27,48,26,57,31,31,26,36,23
2009-11-16,51,57,51,45,36,62,36,43,54,27,48,26,57,31,31,26,39,23
2009-11-21,51,57,54,45,36,62,36,43,54,27,48,26,57,31,31,26,39,23
2009-11-22,51,60,54,45,36,65,36,46,57,30,51,26,57,31,31,26,39,26
2009-11-23,54,60,54,45,36,65,36,46,57,30,51,26,57,31,31,26,39,26
2009-11-28,54,60,54,45,36,65,36,46,60,30,51,26,57,31,31,26,39,26
2009-11-29,54,63,54,45,36,65,39,46,60,30,54,29,57,31,31,26,42,26
2009-11-30,55,63,55,45,36,66,39,46,60,30,54,29,60,31,32,26,42,26
