,Bayern Munich,Hoffenheim,VfB Stuttgart,Wolfsburg,Eintracht Frankfurt,Werder Bremen,Hamburger SV,Freiburg,Hannover 96,Hertha BSC,Bayer 04 Leverkusen,FSV Mainz 05,Borussia Mönchengladbach,Bochum,FC Koln,Borussia Dortmund,Schalke,Nürnberg
,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/160px-Logo_TSG_Hoffenheim.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/180px-Eintracht_Frankfurt_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/150px-SC_Freiburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hannover_96_Logo.svg/180px-Hannover_96_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/180px-Logo_Mainz_05.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/VfL_Bochum_logo.svg/170px-VfL_Bochum_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/180px-FC_Cologne_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/1._FC_N%C3%BCrnberg_logo.svg/180px-1._FC_N%C3%BCrnberg_logo.svg.png
2009-01-15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-16,3,0,3,0,3,0,3,0,0,3,3,0,0,3,0,0,0,0
2009-01-17,3,0,3,0,3,0,3,0,0,3,3,0,0,3,0,3,3,0
2009-01-22,3,0,6,0,3,0,3,0,0,3,3,0,0,3,0,3,3,0
2009-01-23,6,0,6,0,4,0,3,0,0,4,3,3,1,4,0,6,4,1
2009-01-24,6,0,6,0,4,0,3,0,0,4,6,3,1,4,3,6,4,1
2009-01-29,6,0,6,1,4,0,4,0,0,4,6,3,1,4,3,6,4,1
2009-01-30,9,0,6,1,4,0,4,0,0,5,6,3,4,5,6,6,7,4
2009-01-31,9,0,9,1,4,0,4,0,0,5,9,3,4,5,6,6,7,4
2009-02-05,9,0,9,1,4,3,4,0,0,5,9,3,4,5,6,6,7,4
2009-02-06,12,3,12,1,4,3,5,1,0,5,10,3,4,6,7,6,8,4
2009-02-07,12,3,12,1,7,3,5,1,0,5,10,6,4,6,7,6,8,4
2009-02-12,12,3,12,1,7,3,5,1,0,5,10,6,7,6,7,6,8,4
2009-02-13,15,3,12,1,7,6,8,1,0,6,13,7,7,9,7,6,8,4
2009-02-14,15,3,12,1,10,6,8,1,0,6,13,7,7,9,7,6,11,4
2009-02-19,15,4,12,1,10,6,8,1,0,6,13,7,8,9,7,6,11,4
2009-02-20,16,4,15,1,11,6,9,1,0,6,13,8,8,10,7,9,11,5
2009-02-21,16,4,15,4,11,7,9,1,0,9,14,8,8,10,7,9,11,5
2009-02-26,16,4,15,4,11,7,9,1,0,9,14,8,8,10,7,9,14,5
2009-02-27,16,7,18,4,11,10,9,2,0,9,15,8,9,11,8,9,14,6
2009-02-28,19,7,18,7,11,10,9,2,0,9,15,8,9,11,8,9,14,6
2009-03-06,20,7,19,10,11,11,12,2,3,9,15,8,9,11,9,12,17,6
2009-03-07,20,7,19,10,11,11,12,2,3,9,15,11,9,11,9,12,17,9
2009-03-12,20,7,19,10,11,11,12,2,3,9,15,11,9,11,9,12,20,9
2009-03-13,23,7,19,13,11,11,12,2,6,9,15,14,9,11,9,15,20,12
2009-03-14,23,7,19,13,11,14,12,2,6,9,18,14,9,11,9,15,20,12
2009-03-19,23,7,19,13,11,14,12,2,6,9,18,14,10,11,10,15,20,12
2009-03-20,23,8,22,13,14,17,12,5,6,9,18,14,10,11,10,18,20,13
2009-03-21,23,8,22,13,14,17,13,5,6,12,18,14,10,11,10,18,21,13
2009-03-26,23,8,22,13,17,17,13,5,6,12,18,14,10,11,10,18,21,13
2009-03-27,23,8,25,16,17,20,13,5,6,13,18,14,10,11,13,19,24,13
2009-03-28,23,9,25,16,17,20,13,6,6,13,18,14,13,11,13,19,24,13
2009-04-03,26,9,28,16,20,20,13,7,6,16,18,14,13,12,13,22,24,16
2009-04-04,26,9,28,19,20,20,14,7,7,16,18,14,13,12,13,22,24,16
2009-04-09,26,9,28,19,20,20,14,7,7,16,18,14,16,12,13,22,24,16
2009-04-10,27,9,31,19,20,23,14,7,10,16,19,17,16,12,16,22,24,16
2009-04-11,27,9,31,22,20,23,17,7,10,16,19,17,16,12,16,22,24,16
2009-04-16,27,9,31,22,20,23,17,7,10,16,19,17,16,12,19,22,24,16
2009-04-17,30,9,34,22,20,26,17,10,10,16,19,20,16,12,19,22,27,16
2009-04-18,30,10,34,22,21,26,17,10,10,17,19,20,16,12,19,23,27,16
2009-04-23,30,10,37,22,21,26,17,10,10,17,19,20,16,12,19,23,27,16
2009-04-24,31,10,37,22,22,29,17,10,10,17,22,21,17,12,19,26,30,16
2009-04-25,31,13,37,22,22,29,17,13,10,17,22,21,17,12,19,26,30,16
2009-05-01,34,16,38,23,22,32,20,14,13,18,23,22,17,12,20,27,30,16
2009-05-08,37,17,39,26,22,33,21,17,16,18,24,23,18,12,20,27,31,19
2010-08-07,37,17,39,29,22,33,21,17,16,18,24,23,18,12,20,27,31,19
2010-08-08,38,18,39,29,25,33,21,17,16,21,25,24,18,12,20,30,34,19
2010-08-09,38,18,39,29,25,33,22,18,16,21,25,24,19,13,20,30,34,19
2010-08-15,39,18,42,32,26,34,25,18,17,21,28,25,19,13,20,30,34,20
2010-08-16,39,18,42,32,26,34,25,18,17,21,28,25,22,13,20,30,37,20
2010-08-21,39,19,42,32,26,34,25,18,17,21,28,25,22,13,20,30,38,20
2010-08-22,39,19,43,32,27,34,25,18,20,21,31,28,22,13,21,31,38,20
2010-08-23,39,19,43,32,27,37,28,18,20,21,31,28,22,16,21,31,38,20
2010-08-28,39,19,43,32,27,37,28,18,20,21,31,28,25,16,21,31,38,20
2010-08-29,42,22,44,32,28,37,28,21,20,21,34,28,25,16,21,32,38,21
2010-08-30,42,22,44,32,28,40,31,21,20,21,34,28,25,16,21,32,38,21
2010-09-12,45,25,44,32,31,40,34,21,20,21,37,31,25,16,21,32,38,24
2010-09-13,45,25,44,32,31,41,34,21,21,21,37,31,25,16,21,32,41,24
2010-09-18,45,25,44,35,31,41,34,21,21,21,37,31,25,16,21,32,41,24
2010-09-19,48,28,44,35,31,41,34,21,22,21,37,34,25,16,24,33,41,24
2010-09-20,48,28,44,35,32,42,35,24,22,21,38,34,25,16,24,33,41,24
2010-09-25,48,28,44,35,32,42,35,24,22,21,38,34,25,19,24,33,41,24
2010-09-26,48,28,47,38,32,45,38,24,22,21,41,34,25,19,24,33,44,24
