,Leverkusen,Dortmund,Schalke,Hamburger SV,Bremen,Hoffenheim,Nurnberg,Monchengladbach,St. Pauli,Freiburg,Stuttgart,Mainz,Wolfsburg,Bayern,Kaiserslautern,FC Koln,Frankfurt,Hannover
2010-01-14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-15,0,3,0,3,3,0,0,3,1,1,3,0,1,1,0,0,0,0
2010-01-16,0,3,0,3,3,0,0,3,1,1,3,0,1,1,1,1,0,3
2010-01-21,0,3,0,6,3,0,0,3,1,1,3,0,1,1,1,1,0,3
2010-01-22,0,4,3,6,3,0,1,3,1,2,4,0,4,4,1,4,0,3
2010-01-23,3,4,3,6,3,1,1,3,2,2,4,0,4,4,1,4,0,3
2010-01-28,6,4,3,6,3,1,1,3,2,2,4,0,4,4,1,4,0,3
2010-01-29,6,7,3,6,3,4,4,3,5,2,4,3,4,7,1,4,0,3
2010-01-30,6,7,3,6,3,4,4,6,5,5,4,3,4,7,1,4,0,3
2010-02-04,6,8,4,6,3,4,4,6,5,5,4,3,4,7,1,4,0,3
2010-02-05,6,8,4,6,4,7,7,6,5,5,7,4,4,7,1,7,0,6
2010-02-06,6,8,4,6,4,7,7,6,5,6,7,4,4,7,1,7,1,6
2010-02-12,9,9,7,9,4,7,10,6,8,6,7,4,4,10,2,7,1,6
2010-02-13,9,9,7,9,5,7,10,6,8,6,7,4,4,10,2,10,1,7
2010-02-16,9,9,7,9,5,7,10,6,11,6,7,4,4,10,2,10,1,7
2010-02-18,9,9,7,9,5,7,13,6,11,6,7,4,4,10,2,10,1,7
2010-02-19,9,12,7,12,5,8,13,6,11,9,7,4,4,13,2,11,1,10
2010-02-20,12,12,7,12,5,8,13,9,11,9,7,4,4,13,2,11,1,10
2010-02-25,12,12,7,12,5,8,13,9,11,9,7,4,7,13,2,11,1,10
2010-02-26,12,15,8,13,5,8,14,9,11,9,7,7,7,13,3,14,1,13
2010-02-27,13,15,8,13,6,8,14,9,11,9,10,7,7,13,3,14,1,13
2010-03-04,13,18,8,13,6,8,14,9,11,9,10,7,7,13,3,14,1,13
2010-03-05,16,18,8,13,6,8,17,12,11,9,13,7,7,13,4,14,2,16
2010-03-06,16,18,8,13,9,8,17,12,11,9,13,10,7,13,4,14,2,16
2010-03-11,16,18,8,13,9,8,17,12,11,9,13,10,7,13,4,17,2,16
2010-03-12,16,18,11,13,10,11,20,13,11,9,13,10,7,16,7,17,2,16
2010-03-13,19,18,11,13,10,11,20,13,11,9,16,10,7,16,7,17,2,16
2010-03-18,19,18,11,13,10,11,20,13,11,9,16,10,7,16,10,17,2,16
2010-03-19,19,19,11,16,13,11,20,13,12,9,16,11,7,19,10,17,3,19
2010-03-20,20,19,12,16,13,11,20,13,12,9,17,11,8,19,10,17,3,19
2010-04-01,20,19,13,16,13,11,20,13,13,9,17,11,8,19,10,17,3,19
2010-04-02,23,22,13,17,14,12,20,13,13,10,18,12,8,22,10,17,3,19
2010-04-03,23,22,13,17,14,12,20,13,13,10,18,12,9,22,10,20,4,19
