,Monchengladbach,Bayern,Frankfurt,Hertha,Dortmund,Augsburg,Freiburg,Leverkusen,Nurnberg,Hoffenheim,Stuttgart,Mainz,Wolfsburg,Hannover,Hamburger SV,Schalke,Bremen,Braunschweig
2013-01-24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-25,0,3,3,0,1,1,3,0,3,0,0,3,0,3,0,0,0,0
2013-01-26,0,3,3,0,1,1,3,0,3,0,0,3,0,3,0,3,1,1
2013-01-29,0,6,3,0,1,1,3,0,3,0,0,3,0,3,0,3,1,1
2013-01-31,0,6,3,0,4,1,3,0,3,0,0,3,0,3,0,3,1,1
2013-02-01,0,6,3,0,4,4,3,3,3,3,0,6,0,6,0,6,1,1
2013-02-02,0,9,3,0,4,4,3,3,6,3,0,6,0,6,0,6,1,1
2013-02-07,0,9,3,0,4,4,3,6,6,3,0,6,0,6,0,6,1,1
2013-02-08,0,12,6,3,7,4,4,6,6,4,0,6,3,6,0,6,1,1
2013-02-09,0,12,6,3,7,7,4,6,6,4,0,6,3,6,0,9,1,1
2013-02-14,0,12,6,3,7,7,4,6,6,4,0,9,3,6,0,9,1,1
2013-02-15,1,15,6,3,10,7,4,6,6,7,0,9,3,6,0,12,2,4
2013-02-16,1,15,6,3,10,7,4,6,9,7,0,9,6,6,0,12,2,4
2013-02-21,1,15,6,3,10,7,4,6,9,7,0,10,6,6,0,13,2,4
2013-02-22,2,15,6,6,10,10,4,6,12,8,0,10,9,6,3,13,2,4
2013-02-23,2,18,7,6,10,10,4,6,12,8,0,10,9,6,3,13,3,4
2013-02-28,2,18,7,7,10,10,5,6,12,8,0,10,9,6,3,13,3,4
2013-03-01,3,21,7,7,13,11,5,6,12,8,0,13,9,7,3,13,6,5
2013-03-02,3,21,10,7,13,11,5,6,12,11,0,13,9,7,3,13,6,5
2013-03-08,3,24,11,7,13,14,5,7,12,11,1,13,9,8,4,16,9,6
2013-03-09,3,24,11,8,16,14,5,7,12,11,1,14,9,8,4,16,9,6
2013-03-14,3,24,11,8,16,14,5,7,12,11,1,14,9,8,4,19,9,6
2013-03-15,6,27,11,8,16,14,5,7,12,11,2,17,10,11,4,19,10,7
2013-03-16,6,27,11,8,16,14,8,7,12,11,2,17,10,11,7,19,10,7
2013-03-21,6,27,11,8,16,14,11,7,12,11,2,17,10,11,7,19,10,7
2013-03-22,9,30,11,8,19,15,11,7,12,11,5,17,11,11,7,22,10,7
2013-03-23,9,30,14,8,19,15,11,7,12,14,5,17,11,11,7,22,10,7
2013-03-25,9,33,14,8,20,15,11,7,12,14,5,17,14,11,7,23,10,10
2013-03-26,9,33,17,8,20,15,12,10,15,17,5,17,14,11,8,23,10,10
2013-03-28,9,33,17,8,20,15,12,10,15,17,5,17,14,11,8,26,10,10
2013-03-29,9,34,17,8,23,15,15,11,15,18,5,20,17,11,8,26,10,11
2013-03-30,12,34,17,8,23,15,15,11,15,18,5,20,17,11,8,26,13,11
2013-04-04,12,34,17,8,23,15,15,11,15,18,5,20,17,11,11,26,13,11
2013-04-05,15,34,20,8,26,18,15,11,15,18,8,20,17,11,11,27,14,11
