,Wolfsburg,Bayern,Leverkusen,Dortmund,Freiburg,Frankfurt,Hamburger SV,FC Koln,Mainz,Paderborn,Schalke,Hannover,Stuttgart,Monchengladbach,Augsburg,Hoffenheim,Bremen,Hertha
2014-01-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-31,3,0,1,1,3,0,0,3,3,0,3,0,0,3,0,0,0,0
2014-02-01,3,0,1,1,3,0,0,3,3,0,3,0,0,3,3,0,3,0
2014-02-03,4,1,1,1,3,1,0,3,4,0,4,1,0,6,3,0,3,0
2014-02-04,4,1,4,1,3,1,3,4,4,0,4,1,1,6,6,0,6,0
2014-02-06,4,1,4,1,3,1,3,4,4,0,7,1,1,6,6,0,6,0
2014-02-07,7,4,4,4,3,1,6,5,4,1,7,1,1,6,6,0,6,3
2014-02-08,7,4,4,4,3,2,6,5,4,1,7,1,1,6,7,0,9,3
2014-02-13,7,4,4,7,3,2,6,5,4,1,7,1,1,6,7,0,9,3
2014-02-14,10,7,4,7,3,5,6,5,4,1,7,1,1,9,7,3,12,3
2014-02-15,10,7,4,7,6,5,6,5,4,4,7,1,1,9,7,3,12,3
2014-02-20,10,7,4,10,6,5,6,5,4,4,7,1,1,9,7,3,12,3
2014-02-21,10,10,5,10,7,5,6,6,7,4,8,2,1,9,8,4,13,3
2014-02-22,13,10,5,10,7,5,7,6,7,4,8,2,1,10,8,4,13,3
2014-02-27,13,13,5,10,7,5,7,6,7,4,8,2,1,10,8,4,13,3
2014-02-28,13,13,8,13,7,8,7,6,7,4,8,3,2,10,8,7,13,6
2014-03-01,16,13,8,13,7,8,7,6,7,4,8,3,2,13,8,7,13,6
2014-03-06,16,13,8,13,7,8,7,6,7,4,8,3,3,13,8,7,13,7
2014-03-07,16,16,8,14,7,8,8,6,8,4,11,3,3,14,11,7,16,7
2014-03-08,16,16,11,14,7,8,8,9,8,4,11,3,3,14,11,7,16,7
2014-03-13,16,16,14,14,7,8,8,9,8,4,11,3,3,14,11,7,16,7
2014-03-14,16,19,14,15,7,11,8,10,11,4,12,3,3,14,11,10,16,8
2014-03-15,19,19,14,15,7,11,8,10,11,4,12,3,3,17,11,10,16,8
2014-03-20,19,19,14,15,7,11,8,10,11,4,12,3,3,17,11,10,16,11
2014-03-21,19,19,17,18,10,11,8,11,11,5,12,3,6,17,11,11,17,11
2014-03-22,20,19,17,18,10,11,8,11,12,5,12,3,6,20,11,11,17,11
2014-04-04,23,22,20,18,13,12,8,11,13,5,12,4,6,23,11,11,18,11
2014-04-05,23,22,20,18,13,12,8,11,13,5,13,4,6,23,12,11,18,14
2014-04-10,23,22,20,18,13,12,8,11,13,5,13,5,6,23,12,11,18,15
2014-04-11,26,25,23,18,14,12,8,11,13,8,14,5,6,26,12,11,18,15
2014-04-12,26,25,23,18,14,12,8,14,13,8,14,5,9,26,12,11,18,15
2014-04-17,26,25,23,18,14,13,8,14,13,8,14,5,9,27,12,11,18,15
2014-04-18,26,28,26,21,14,13,8,15,16,8,14,5,9,27,15,11,18,16
2014-04-19,27,28,26,21,14,13,8,15,16,8,15,5,9,27,15,11,21,16
2014-04-24,27,28,26,21,14,13,8,15,19,8,15,5,9,27,15,11,21,16
2014-04-25,27,31,27,24,15,13,11,16,19,8,15,5,10,27,15,14,21,16
2014-04-26,27,31,27,24,15,13,11,16,19,9,15,5,10,30,15,14,22,16
2014-05-02,28,31,30,25,15,13,11,17,19,12,18,6,10,30,16,15,25,16
2014-05-03,28,31,30,25,15,13,14,17,19,12,18,6,10,33,16,15,25,16
2014-05-08,28,31,30,25,16,13,15,17,19,12,18,6,10,33,16,15,25,16
2014-05-09,28,31,30,28,16,16,15,17,19,12,18,7,13,36,19,15,26,16
2014-05-10,31,31,30,28,16,16,15,20,19,12,18,7,13,36,19,15,26,16
2014-05-16,34,31,33,28,19,17,15,20,22,12,21,10,16,39,19,15,26,17
2014-05-23,35,34,33,31,19,20,18,21,22,12,21,13,19,39,22,18,26,17
2015-08-22,35,37,33,31,19,20,18,21,22,12,21,13,19,39,22,18,26,17
2015-08-23,35,37,36,31,19,23,19,22,22,12,21,16,19,39,22,21,27,18
2015-08-24,35,37,36,31,19,23,19,22,23,13,21,16,20,40,22,21,27,18
2015-08-29,35,37,36,34,19,23,19,22,23,13,21,16,20,40,22,21,27,18
2015-08-30,36,38,39,34,19,24,19,25,23,16,22,16,20,40,22,22,28,18
2015-08-31,36,38,39,34,20,24,19,25,24,16,22,17,20,41,22,22,28,18
2015-09-12,36,38,40,34,20,24,19,25,24,16,22,17,20,41,22,22,29,18
2015-09-13,37,41,40,37,20,24,19,26,27,17,22,17,20,44,22,23,29,18
2015-09-14,37,41,40,37,20,24,19,26,27,17,22,20,20,44,25,23,29,18
2015-09-19,37,41,40,37,21,24,19,26,27,17,22,20,20,44,25,23,29,19
2015-09-20,37,42,40,37,21,25,20,26,30,20,23,20,20,44,28,26,29,19
2015-09-21,40,42,40,37,21,25,20,27,30,20,23,20,20,45,28,26,29,19
2015-09-23,40,45,40,37,22,26,20,27,31,20,26,20,20,45,28,27,29,19
2015-09-24,40,45,43,38,22,26,20,27,31,20,26,23,21,48,28,27,29,22
2015-09-26,40,45,43,38,22,26,20,27,32,20,26,23,21,48,28,28,29,22
2015-09-27,43,48,44,38,23,26,20,27,32,20,29,23,24,51,28,28,29,22
2015-09-28,43,48,44,38,23,29,20,27,32,20,29,23,24,51,31,28,29,22
2015-10-03,43,48,44,38,23,29,20,27,32,20,29,23,24,51,31,28,29,25
2015-10-04,43,51,45,38,24,32,23,27,32,21,29,23,24,51,31,31,30,25
2015-10-05,46,51,45,38,24,32,23,27,33,21,29,23,24,52,31,31,30,25
