,Hamburger SV,Bayern,Monchengladbach,Dortmund,FC Koln,Stuttgart,Hannover,Darmstadt,Hertha,Augsburg,Hoffenheim,Leverkusen,Ingolstadt,Mainz,Schalke,Bremen,Frankfurt,Wolfsburg
2015-01-22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,0,3,0,3,0,3,0,3,1,1,1,1,3,0,0,0,0,0
2015-01-24,0,3,0,3,0,3,0,3,1,1,1,1,3,0,0,3,3,0
2015-01-29,0,3,0,3,0,3,0,3,1,1,1,1,3,3,0,3,3,0
2015-01-30,0,3,0,6,0,6,0,3,2,2,1,4,3,3,3,4,4,0
2015-01-31,0,6,0,6,1,6,0,3,2,2,1,4,3,3,3,4,4,1
2015-02-05,0,6,3,6,1,6,0,3,2,2,1,4,3,3,3,4,4,1
2015-02-06,0,7,3,7,1,9,0,3,3,2,1,5,6,6,6,4,4,1
2015-02-07,1,7,3,7,2,9,0,6,3,2,1,5,6,6,6,4,4,1
2015-02-12,1,7,3,7,2,9,0,6,3,2,1,5,6,9,6,4,4,1
2015-02-13,1,7,3,10,5,12,0,6,3,2,2,8,6,9,6,5,4,4
2015-02-14,4,10,3,10,5,12,0,6,3,2,2,8,6,9,6,5,4,4
2015-02-19,5,10,3,10,5,12,0,6,3,2,2,8,6,9,6,5,5,4
2015-02-20,5,13,6,10,5,12,0,6,4,2,5,8,9,9,6,5,5,5
2015-02-21,5,13,6,13,5,13,0,6,4,5,5,8,9,9,7,5,5,5
2015-02-26,5,13,6,13,5,13,0,6,7,5,5,8,9,9,7,5,5,5
2015-02-27,6,16,6,13,5,13,3,7,7,5,5,8,10,9,7,6,5,5
2015-02-28,6,16,7,16,5,13,3,7,7,6,5,8,10,12,8,6,6,5
2015-03-01,6,16,7,16,6,13,3,7,7,6,5,8,11,12,8,6,6,8
2015-03-02,6,16,10,19,6,13,3,7,10,6,8,8,11,15,11,9,6,8
2015-03-05,6,17,10,20,6,16,3,7,10,7,8,9,12,15,14,12,7,11
2015-03-06,9,17,10,20,6,16,3,8,10,7,8,9,12,16,14,12,7,11
2015-03-11,9,17,10,20,6,16,3,8,13,7,8,9,12,16,14,12,7,11
