,Freiburg,Bayern,RB Leipzig,Frankfurt,Augsburg,Hoffenheim,Bremen,Dortmund,Darmstadt,Monchengladbach,Schalke,Ingolstadt,Wolfsburg,Hamburger SV,Mainz,FC Koln,Leverkusen,Hertha
2016-01-20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-21,0,3,3,0,0,3,0,3,1,1,3,0,3,0,0,0,0,0
2016-01-22,0,3,3,0,0,3,0,3,1,1,3,0,3,0,1,1,3,0
2016-01-27,0,3,3,3,0,3,0,3,1,1,3,0,3,0,1,1,3,0
2016-01-28,0,6,6,3,3,3,0,3,1,4,3,3,3,0,1,4,3,0
2016-01-29,3,6,6,3,3,3,0,4,1,4,3,3,3,0,2,4,3,0
2016-02-03,3,6,6,3,3,3,0,4,1,4,3,3,3,3,2,4,3,0
2016-02-04,3,7,6,3,3,6,0,7,1,7,4,3,3,3,2,7,3,3
2016-02-05,3,7,6,6,6,6,0,7,1,7,4,3,3,3,2,7,3,3
2016-02-10,3,7,6,6,6,6,0,7,1,7,4,3,3,3,5,7,3,3
2016-02-11,3,10,6,6,6,6,0,7,4,10,7,3,3,6,5,7,6,3
2016-02-12,6,10,6,6,6,6,0,7,4,10,7,3,6,6,5,7,6,3
2016-02-17,6,10,6,6,6,6,0,7,4,10,7,3,6,6,5,7,9,3
2016-02-18,7,11,6,6,6,9,3,10,4,10,7,6,6,7,5,7,9,4
2016-02-19,7,11,9,6,6,9,3,10,4,10,8,6,6,7,5,8,9,4
2016-02-24,7,11,9,6,6,9,6,10,4,10,8,6,6,7,5,8,9,4
2016-02-25,7,14,12,6,9,9,6,13,4,10,8,6,6,7,8,8,9,7
2016-02-26,7,14,12,6,9,10,6,13,4,13,9,6,6,7,8,8,9,7
2016-03-03,7,14,13,6,10,10,6,13,4,13,9,6,6,7,8,8,9,7
2016-03-04,7,17,13,6,10,13,9,16,4,16,9,6,7,7,9,8,9,7
2016-03-05,10,17,13,6,10,13,9,16,4,16,9,6,7,10,9,8,9,7
2016-03-10,10,17,13,6,10,13,10,16,4,16,9,6,7,10,9,8,10,7
2016-03-11,11,20,13,6,10,14,10,16,7,16,9,7,10,10,9,9,10,10
2016-03-12,11,20,13,6,10,14,10,16,7,16,12,7,10,13,9,9,10,10
2016-03-17,11,20,13,6,10,14,10,19,7,16,12,7,10,13,9,9,10,10
2016-03-18,12,20,13,7,11,17,13,19,7,16,12,7,13,14,9,12,10,10
2016-03-19,12,23,13,7,11,17,13,19,7,16,15,7,13,14,9,12,10,10
2016-03-31,12,23,13,7,11,20,13,19,7,16,15,7,13,14,9,12,10,10
2016-04-01,12,26,16,8,11,20,16,20,7,17,16,7,13,17,9,12,10,10
2016-04-02,12,26,16,8,11,20,16,20,7,17,16,10,14,17,9,12,11,10
2016-04-04,12,26,16,8,11,23,19,23,7,17,16,10,14,17,9,15,11,10
2016-04-05,15,26,19,8,11,23,19,23,7,20,16,13,14,17,9,15,14,10
2016-04-07,15,26,19,9,11,23,20,23,7,20,16,13,14,17,9,15,14,10
2016-04-08,18,29,22,9,11,23,20,23,7,23,19,13,14,20,9,15,14,10
2016-04-09,18,29,22,9,11,23,20,23,7,23,19,16,14,20,9,15,14,13
2016-04-15,18,30,25,9,14,26,20,26,7,23,19,16,17,20,12,15,15,13
2016-04-16,18,30,25,9,14,26,23,26,10,23,19,16,17,20,12,15,15,13
2016-04-21,18,30,25,9,14,27,23,26,10,23,19,16,17,20,12,16,15,13
2016-04-22,18,31,25,12,14,27,26,29,13,23,19,16,17,20,13,16,15,16
2016-04-23,21,31,26,12,14,27,26,29,13,23,20,16,17,20,13,16,15,16
2016-04-28,21,31,26,12,14,27,26,29,13,23,23,16,17,20,13,16,15,16
2016-04-29,21,34,27,12,14,27,29,30,16,26,23,17,17,20,13,17,15,16
2016-04-30,21,34,27,12,17,30,29,30,16,26,23,17,17,20,13,17,15,16
2016-05-05,21,34,27,12,17,30,29,30,16,26,23,17,17,20,13,20,15,16
2016-05-06,21,37,30,12,18,30,29,33,16,27,23,18,20,20,13,20,16,16
2016-05-07,24,37,30,12,18,30,29,33,16,27,23,18,20,21,14,20,16,16
2016-05-13,25,40,30,12,19,33,29,34,16,28,24,19,21,22,17,21,17,19
2016-05-20,25,43,31,13,20,34,29,37,17,29,25,20,21,25,17,24,20,19
2017-08-26,25,46,31,13,20,34,29,37,17,29,25,20,21,25,17,24,20,19
2017-08-27,25,46,31,16,20,34,29,40,17,32,25,21,24,26,17,27,20,19
2017-08-28,25,46,32,16,20,35,29,40,17,32,25,21,24,26,17,27,20,22
2017-09-09,25,49,32,16,20,35,29,40,17,32,25,21,24,26,17,27,20,22
2017-09-10,28,49,35,16,20,35,29,40,20,32,25,21,25,26,17,28,23,25
2017-09-11,28,49,35,16,23,36,29,40,20,32,25,21,25,26,18,28,23,25
2017-09-16,28,49,35,16,23,36,29,40,20,32,25,21,25,26,18,31,23,25
2017-09-17,28,52,38,19,23,37,29,43,20,35,25,21,26,26,18,31,23,25
2017-09-18,28,52,38,19,23,37,29,43,20,35,25,21,26,26,21,31,23,28
2017-09-20,31,52,38,22,23,38,29,46,21,35,25,21,26,26,21,31,23,28
2017-09-21,31,55,39,22,24,38,29,46,21,36,25,21,26,26,24,34,24,28
2017-09-23,31,55,39,22,24,38,29,49,21,36,25,21,26,26,24,34,24,28
2017-09-24,31,58,39,23,27,38,32,49,21,39,25,21,26,26,24,34,27,29
2017-09-25,31,58,40,23,27,41,32,49,21,39,25,21,26,26,24,35,27,29
2017-09-30,31,58,43,23,27,41,32,49,21,39,25,21,26,26,24,35,27,29
2017-10-01,34,59,43,23,27,44,33,49,22,39,25,21,26,26,24,36,30,32
2017-10-02,34,59,43,23,27,44,33,49,22,39,28,21,27,26,25,36,30,32
2017-10-14,34,59,43,23,27,44,33,50,22,39,28,21,27,26,25,36,30,33
2017-10-15,34,60,43,24,28,47,36,50,22,40,29,21,27,27,25,39,30,33
2017-10-16,34,60,46,24,28,47,36,50,22,40,29,21,27,27,28,39,30,33
2017-10-21,34,60,46,27,28,47,36,50,22,40,29,21,27,27,28,39,30,33
2017-10-22,37,63,46,27,28,50,36,51,25,40,29,22,27,27,28,39,30,36
2017-10-23,37,63,49,27,28,50,36,51,25,40,32,22,27,27,28,39,30,36
2017-10-28,37,63,49,28,28,50,36,51,25,41,32,22,27,27,28,39,30,36
2017-10-29,40,66,52,28,28,50,36,52,25,41,33,22,27,27,31,39,33,36
2017-10-30,40,66,52,28,28,53,36,52,25,41,33,22,27,27,31,42,33,36
2017-11-04,40,66,52,28,28,53,36,52,25,41,33,22,27,27,31,42,33,39
2017-11-05,40,67,52,31,31,54,36,55,25,41,33,22,30,27,31,42,36,39
2017-11-06,40,67,55,31,31,54,36,55,25,41,36,22,30,27,31,42,36,39
2017-11-18,40,67,58,31,31,54,36,55,25,41,36,22,30,27,31,42,36,39
2017-11-19,40,67,58,31,32,54,36,58,25,41,39,25,30,27,34,45,36,40
2017-11-20,40,67,58,34,32,55,36,58,25,41,39,25,30,28,34,45,36,40
2017-11-25,40,67,61,34,32,55,36,58,25,41,39,25,30,28,34,45,36,40
2017-11-26,40,70,61,37,33,56,37,58,25,42,39,26,31,29,34,46,36,40
2017-11-27,40,70,61,37,33,56,37,58,25,42,42,26,31,29,34,46,36,43
2017-12-02,40,73,61,37,33,56,37,58,25,42,42,26,31,29,34,46,36,43
2017-12-03,41,73,64,37,33,59,40,61,25,42,42,26,31,29,34,46,37,46
2017-12-04,41,73,64,38,34,59,40,61,25,42,42,26,31,32,34,46,37,46
2017-12-09,41,73,64,39,34,60,40,61,25,42,42,26,31,32,34,46,37,46
2017-12-10,44,76,64,39,34,60,43,62,25,42,42,29,31,35,34,47,37,46
2017-12-11,44,76,64,39,34,60,43,62,25,45,42,29,31,35,34,47,40,46
2017-12-16,44,76,64,39,34,61,43,63,25,45,42,29,31,35,34,47,40,46
2017-12-17,45,76,67,39,37,61,44,63,25,45,43,29,34,35,37,48,40,46
2017-12-18,45,79,67,39,37,61,44,63,25,45,43,32,34,35,37,48,40,46
2017-12-20,45,79,67,42,38,61,44,64,25,45,43,32,37,38,37,48,40,46
2017-12-21,48,82,67,42,38,62,45,64,25,45,43,32,37,38,37,49,41,49
