,Bayer 04 Leverkusen,Bayern Munich,Leipzig,Schalke,Augsburg,Hamburger SV,Werder Bremen,Hoffenheim,Eintracht Frankfurt,Freiburg,Hannover 96,FSV Mainz 05,VfB Stuttgart,Hertha BSC,Borussia Dortmund,Wolfsburg,FC Koln,Borussia Mönchengladbach
,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/RB_Leipzig_2014_logo.svg/280px-RB_Leipzig_2014_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/FC_Augsburg_logo.svg/140px-FC_Augsburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/160px-Logo_TSG_Hoffenheim.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/180px-Eintracht_Frankfurt_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/150px-SC_Freiburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hannover_96_Logo.svg/180px-Hannover_96_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/180px-Logo_Mainz_05.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/180px-FC_Cologne_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png
2017-01-12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-13,0,3,3,0,3,0,1,1,1,1,3,0,3,0,0,0,0,0
2017-01-14,0,3,3,0,3,0,1,1,1,1,3,0,3,0,1,1,3,0
2017-01-19,0,3,3,0,3,0,1,1,1,1,3,0,3,1,2,1,3,0
2017-01-20,3,3,3,0,3,0,1,1,4,4,3,3,3,1,2,1,6,3
2017-01-21,3,6,3,1,3,0,1,1,4,4,4,3,3,1,2,1,6,3
2017-01-26,3,6,3,1,3,0,1,1,7,4,4,3,3,1,2,1,6,3
2017-01-27,3,9,4,4,4,1,2,1,7,5,4,3,3,2,3,1,7,3
2017-01-28,6,9,4,4,4,1,2,1,7,5,4,3,3,2,3,4,7,3
2017-02-02,6,9,4,4,4,1,2,1,7,5,4,3,3,2,6,4,7,3
2017-02-03,7,12,7,4,4,1,5,2,7,6,4,3,4,3,6,5,7,3
2017-02-04,7,12,7,4,7,2,5,2,7,6,5,3,4,3,6,5,7,3
2017-02-09,7,12,10,4,7,2,5,2,7,6,5,3,4,3,6,5,7,3
2017-02-10,7,15,10,4,7,2,5,5,10,6,8,3,4,6,9,5,7,3
2017-02-11,7,15,10,4,7,2,8,5,10,6,8,3,7,6,9,5,7,3
2017-02-16,7,15,10,4,7,2,8,5,10,6,8,6,7,6,9,5,7,3
2017-02-17,10,18,10,7,7,2,8,5,10,9,9,6,7,6,9,5,8,3
2017-02-18,10,18,10,7,7,2,8,5,10,9,9,6,10,6,12,5,8,3
2017-02-19,10,18,10,7,7,2,8,5,13,9,9,6,10,6,12,5,8,3
2017-02-23,10,18,10,7,7,2,8,5,13,9,9,7,10,6,12,6,8,3
2017-02-24,10,19,10,7,7,2,11,6,13,10,9,7,13,7,12,6,8,6
2017-02-25,10,19,10,10,7,2,11,6,13,10,9,7,13,7,12,6,11,6
2017-02-26,10,19,10,10,8,2,11,6,13,10,9,7,13,7,13,6,11,6
2017-03-02,10,19,10,10,8,2,12,6,13,10,9,7,13,7,13,6,11,7
2017-03-03,13,19,11,13,8,3,12,9,16,10,9,8,13,7,14,6,11,7
2017-03-04,13,22,11,13,8,3,12,9,16,10,9,8,16,7,14,6,11,7
2017-03-09,13,22,11,16,8,3,12,9,16,10,9,8,16,7,14,6,11,7
2017-03-10,16,25,11,16,11,3,12,12,16,11,9,8,16,8,14,6,11,7
2017-03-11,16,25,12,16,11,3,12,12,16,11,9,8,17,8,17,6,11,7
2017-03-12,16,25,12,16,11,3,15,12,16,11,9,8,17,8,17,6,11,7
2017-03-16,16,25,12,16,11,3,15,12,16,11,9,8,20,8,17,6,11,7
2017-03-17,16,25,12,19,11,3,18,13,19,11,9,8,20,11,17,6,11,8
2017-03-18,16,25,15,19,11,3,18,13,19,11,9,8,20,11,20,6,14,8
2017-03-31,17,28,18,22,12,4,18,16,19,11,9,8,21,12,20,7,14,8
2017-04-01,17,28,18,22,12,4,21,16,19,11,9,9,21,12,20,7,14,9
2017-04-06,17,28,18,22,12,4,21,16,19,11,12,9,21,12,20,7,14,9
2017-04-07,17,31,18,22,12,7,21,16,19,11,12,10,21,12,20,10,15,12
2017-04-08,17,31,18,22,12,7,21,17,20,11,12,10,21,12,23,10,15,12
2017-04-09,20,31,18,22,12,7,21,17,20,11,12,10,21,12,23,10,15,12
2017-04-13,20,31,18,22,13,7,21,17,20,11,12,10,21,12,23,11,15,12
2017-04-14,23,34,18,22,13,7,21,20,20,11,13,10,22,15,23,11,15,12
2017-04-15,23,34,19,25,13,7,22,20,20,11,13,10,22,15,23,11,15,12
2017-04-16,23,34,19,25,13,7,22,20,20,11,13,13,22,15,23,11,15,12
2017-04-20,23,34,19,25,13,7,22,20,20,11,13,13,22,15,23,11,15,15
2017-04-21,23,37,19,25,13,10,22,23,20,11,13,13,25,18,26,11,15,15
2017-04-22,23,37,19,26,16,10,22,23,20,11,13,13,25,18,26,11,16,15
2017-04-27,23,37,19,26,16,10,22,26,20,11,13,13,25,18,26,11,16,15
2017-04-28,23,40,19,27,17,13,22,26,20,14,13,13,28,19,26,11,16,16
2017-04-29,23,40,19,27,17,13,23,26,20,14,13,16,28,19,27,11,16,16
2017-05-05,24,43,22,30,17,13,24,26,23,14,16,19,31,19,27,11,16,19
2017-05-12,27,43,25,33,17,16,27,29,23,17,16,19,34,19,27,14,16,19
2018-08-18,27,46,25,33,17,16,27,29,23,17,16,19,34,19,27,14,16,19
2018-08-19,27,46,25,36,17,19,27,32,23,17,19,19,34,22,30,14,16,19
2018-08-20,27,46,25,36,17,19,27,32,24,18,19,19,34,22,30,14,16,22
2018-08-25,27,46,25,36,17,22,27,32,24,18,19,19,34,22,30,14,16,22
2018-08-26,28,49,25,36,18,22,27,33,24,18,19,19,37,22,33,17,16,23
2018-08-27,28,49,28,36,18,22,27,33,24,18,22,19,37,22,33,17,16,23
2018-09-08,28,49,31,36,18,22,27,33,24,18,22,19,37,22,33,17,16,23
2018-09-09,28,49,31,36,21,22,27,36,27,19,23,22,37,22,34,18,16,23
2018-09-10,28,49,31,39,21,22,28,36,27,19,23,22,37,23,34,18,16,23
2018-09-15,28,49,31,39,21,22,28,36,27,19,26,22,37,23,34,18,16,23
2018-09-16,28,52,32,42,24,22,28,36,27,19,26,22,40,23,34,18,16,24
2018-09-17,31,52,32,42,24,22,28,37,27,19,26,22,40,24,37,18,16,24
2018-09-19,31,55,32,42,27,22,29,37,27,19,26,22,40,24,37,19,16,27
2018-09-20,31,55,32,42,27,22,29,40,30,20,27,22,40,27,40,19,16,27
2018-09-22,31,56,32,42,27,22,29,40,30,20,27,22,40,27,40,20,16,27
2018-09-23,31,56,35,42,28,22,30,43,30,21,27,25,41,27,43,20,16,27
2018-09-24,34,56,35,42,28,22,30,43,30,21,28,25,41,27,43,20,17,27
2018-09-29,35,56,35,43,28,22,30,43,30,21,28,25,41,27,43,20,17,27
2018-09-30,35,56,35,43,28,23,31,43,33,21,28,26,41,27,46,21,17,30
2018-10-01,35,57,38,43,28,23,31,43,33,24,28,26,41,28,46,21,17,30
2018-10-13,35,57,38,43,28,23,31,43,33,24,28,26,44,28,46,21,17,30
2018-10-14,35,60,41,46,29,23,31,44,36,24,28,29,44,28,46,21,17,30
2018-10-15,36,60,41,46,29,23,31,44,36,24,28,29,44,28,46,22,17,33
2018-10-20,36,60,41,49,29,23,31,44,36,24,28,29,44,28,46,22,17,33
2018-10-21,39,63,44,49,29,23,31,44,37,24,31,29,44,28,47,22,17,33
2018-10-22,39,63,44,49,29,23,32,45,37,25,31,29,44,29,47,23,18,33
2018-10-27,39,63,44,49,29,23,32,45,38,25,31,30,44,29,47,23,18,33
2018-10-28,42,66,44,50,29,23,32,45,38,25,34,30,44,32,47,24,18,36
2018-10-29,42,66,44,50,32,23,32,45,38,25,34,30,47,32,47,24,18,36
2018-11-03,42,66,44,50,32,23,32,45,41,25,34,30,47,32,47,24,18,36
2018-11-04,43,69,47,53,33,26,32,45,41,25,34,31,47,32,47,24,18,37
2018-11-05,43,69,47,53,33,26,32,48,41,25,34,31,47,33,47,25,18,37
2018-11-17,43,69,47,53,33,26,32,48,41,25,34,31,50,33,47,25,18,37
2018-11-18,44,72,48,53,33,26,32,49,42,25,34,34,50,33,47,28,18,40
2018-11-19,44,72,48,56,33,26,35,49,42,25,34,34,50,33,47,28,18,40
2018-11-24,44,72,48,56,33,26,35,49,42,25,35,34,51,33,47,28,18,40
2018-11-25,47,72,51,57,36,26,35,49,42,28,35,34,51,33,48,28,18,43
2018-11-26,47,72,51,57,36,29,35,49,42,28,35,34,51,36,48,28,18,43
2018-12-01,47,72,51,57,36,30,35,49,42,29,35,34,51,36,48,28,18,43
2018-12-02,48,75,51,58,39,30,38,52,42,29,35,34,51,36,49,28,19,43
2018-12-03,48,75,51,58,39,30,38,52,45,29,35,34,51,36,49,31,19,43
2018-12-08,51,75,51,58,39,30,38,52,45,29,35,34,51,36,49,31,19,43
2018-12-09,51,78,52,59,39,31,41,52,45,29,35,35,51,36,49,32,19,44
2018-12-10,51,78,52,59,40,31,41,52,45,32,38,35,51,37,49,32,19,44
2018-12-12,51,78,53,59,40,31,41,52,48,35,38,35,51,37,52,33,19,44
2018-12-13,54,81,53,62,40,31,41,55,48,35,38,35,51,40,52,33,19,44
2018-12-15,54,81,53,62,40,31,41,55,48,35,38,35,51,40,52,33,19,47
2018-12-16,54,84,53,63,41,31,42,55,49,36,38,36,51,40,55,33,22,47
2018-12-17,55,84,53,63,41,31,42,55,49,36,39,36,51,43,55,33,22,47
