,Hoffenheim,Bayern Munich,Leipzig,Borussia Dortmund,Augsburg,Fortuna Düsseldorf,Eintracht Frankfurt,Freiburg,Hannover 96,Werder Bremen,Bayer 04 Leverkusen,Borussia Mönchengladbach,VfB Stuttgart,FSV Mainz 05,Schalke,Wolfsburg,Nürnberg,Hertha BSC
,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/160px-Logo_TSG_Hoffenheim.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/RB_Leipzig_2014_logo.svg/280px-RB_Leipzig_2014_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/FC_Augsburg_logo.svg/140px-FC_Augsburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/180px-Fortuna_D%C3%BCsseldorf.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/180px-Eintracht_Frankfurt_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/150px-SC_Freiburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hannover_96_Logo.svg/180px-Hannover_96_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/180px-Logo_Mainz_05.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/1._FC_N%C3%BCrnberg_logo.svg/180px-1._FC_N%C3%BCrnberg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png
2018-01-18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19,0,3,0,3,0,3,3,0,0,3,0,3,0,3,0,0,0,0
2018-01-20,0,3,0,3,0,3,3,0,0,3,0,3,0,3,3,0,0,3
2018-01-25,0,3,0,3,0,3,3,0,0,3,0,3,0,3,4,0,0,4
2018-01-26,3,3,0,6,0,3,4,0,0,4,3,6,0,6,4,0,0,4
2018-01-27,3,6,3,6,0,3,4,0,0,4,3,6,0,6,4,0,0,4
2018-02-01,3,6,6,6,0,3,4,0,0,4,3,6,0,6,4,0,0,4
2018-02-02,4,6,6,7,0,4,5,0,0,5,6,9,0,6,4,3,1,4
2018-02-03,4,6,6,7,3,4,5,1,0,5,6,9,1,6,4,3,1,4
2018-02-08,4,6,6,7,3,4,5,1,0,5,9,9,1,6,4,3,1,4
2018-02-09,5,9,7,8,3,4,6,2,3,5,9,9,1,6,4,4,1,7
2018-02-10,5,9,7,8,3,7,6,2,3,8,9,9,1,6,4,4,1,7
2018-02-15,5,12,7,8,3,7,6,2,3,8,9,9,1,6,4,4,1,7
2018-02-16,8,12,10,8,3,7,6,3,3,9,9,9,1,6,5,7,1,8
2018-02-17,8,12,10,8,3,7,7,3,3,9,12,10,1,6,5,7,1,8
2018-02-18,8,12,10,9,3,7,7,3,3,9,12,10,1,6,5,7,2,8
2018-02-22,8,12,10,9,3,7,7,3,3,10,12,10,2,6,5,7,2,8
2018-02-23,8,15,10,9,3,10,7,6,3,10,12,10,2,9,5,10,2,8
2018-02-24,8,15,10,12,3,10,10,6,3,10,12,10,2,9,5,10,2,8
2018-02-25,9,15,11,12,3,10,10,6,3,10,12,10,2,9,5,10,2,8
2018-03-01,9,15,11,12,6,10,10,6,3,10,12,10,2,9,5,10,2,8
2018-03-02,9,18,14,12,6,13,13,6,3,10,15,10,2,9,5,10,2,11
2018-03-03,9,18,14,12,6,13,13,6,3,11,15,10,5,9,5,11,2,11
2018-03-08,9,18,14,12,6,13,13,6,3,14,15,10,5,9,5,11,2,11
2018-03-09,9,21,15,15,7,13,13,9,3,14,15,13,5,9,5,11,2,11
2018-03-10,12,21,15,15,7,13,13,9,3,14,18,13,5,9,5,11,2,11
2018-03-11,12,21,15,15,7,13,16,9,3,14,18,13,5,9,5,11,2,11
2018-03-15,12,21,15,15,7,13,16,10,3,14,18,14,5,9,5,11,2,11
2018-03-16,13,21,18,18,10,13,16,10,3,14,18,14,6,9,5,14,2,11
2018-03-17,13,24,18,18,10,13,19,10,3,17,18,14,6,9,5,14,2,11
2018-03-29,16,24,18,18,10,13,19,10,3,17,18,14,6,9,5,14,2,11
2018-03-30,16,25,21,21,10,16,19,11,3,20,18,14,6,9,5,14,5,11
2018-03-31,16,25,21,21,10,16,22,11,3,20,18,14,6,9,8,14,5,11
2018-04-05,16,25,21,21,10,16,22,11,3,20,18,14,6,12,8,14,5,11
2018-04-06,16,28,24,21,10,19,25,11,3,20,18,14,7,12,8,17,6,11
2018-04-07,19,28,24,21,10,19,25,11,3,21,18,15,7,12,8,17,6,11
2018-04-12,19,28,24,21,10,19,25,11,3,21,18,15,7,12,9,17,7,11
2018-04-13,19,28,27,24,10,19,25,11,3,24,21,18,7,12,9,17,7,11
2018-04-14,22,31,27,24,13,19,25,11,3,24,21,18,7,12,9,17,7,11
2018-04-20,25,34,30,24,16,19,25,11,3,24,24,18,7,15,9,17,7,11
2018-04-21,25,34,30,27,16,19,25,11,4,24,24,18,7,15,9,17,7,12
2018-04-22,25,34,30,27,16,19,26,11,4,24,24,18,7,15,9,18,7,12
2018-04-26,25,34,30,27,16,19,26,11,4,24,27,18,7,15,9,18,7,12
2018-04-27,25,34,33,27,16,22,27,11,7,24,27,18,10,15,12,18,7,13
2018-04-28,25,35,33,27,16,22,27,11,7,24,27,18,10,15,12,21,8,13
2018-05-03,25,35,34,27,16,22,27,11,7,24,27,18,10,16,12,21,8,13
2018-05-04,26,38,34,28,16,22,27,11,7,25,27,19,10,16,12,24,8,16
2018-05-05,26,38,34,28,17,23,27,12,7,25,30,19,10,16,13,24,8,16
2018-05-11,26,39,35,31,17,23,27,12,10,28,31,22,13,16,14,24,8,19
2018-05-12,26,39,35,31,17,23,27,12,10,28,31,22,13,19,14,24,8,19
2018-05-18,26,42,35,34,17,26,27,15,10,31,34,22,14,22,15,27,8,19
2019-08-24,26,45,35,34,17,26,27,15,10,31,34,22,14,22,15,27,8,19
2019-08-25,26,45,35,34,20,26,30,15,11,32,34,25,14,22,15,30,8,22
2019-08-26,26,45,35,37,20,26,30,15,11,32,34,25,14,25,15,30,8,22
2019-08-31,26,45,35,38,20,26,30,15,12,32,34,25,14,25,15,30,8,22
2019-09-01,29,48,35,38,21,26,30,15,12,35,34,26,14,26,15,33,9,22
2019-09-02,29,48,36,38,21,27,30,15,12,35,34,26,14,26,15,33,9,25
2019-09-14,29,48,36,41,21,27,30,15,12,35,34,26,14,26,15,33,9,25
2019-09-15,29,51,39,41,21,30,30,15,12,35,34,29,14,29,15,34,9,26
2019-09-16,29,51,39,41,21,30,30,16,12,36,34,29,15,29,15,34,10,26
2019-09-21,29,51,39,41,21,31,30,16,12,36,34,29,16,29,15,34,10,26
2019-09-22,30,54,39,42,21,31,30,19,12,39,34,29,16,29,15,34,13,29
2019-09-23,30,54,40,42,21,31,31,19,12,39,37,29,16,29,15,34,13,29
2019-09-25,33,55,40,42,22,31,31,22,12,42,37,29,16,29,15,34,13,29
2019-09-26,33,55,43,45,22,31,31,22,12,42,40,32,16,30,15,35,13,29
2019-09-28,33,55,43,45,22,31,31,22,12,42,40,32,16,30,15,35,13,32
2019-09-29,33,55,46,48,22,31,31,22,12,42,40,33,19,30,18,36,16,32
2019-09-30,33,55,46,48,25,31,34,22,12,42,40,33,19,30,18,36,16,32
2019-10-05,33,55,46,48,25,31,34,22,12,45,40,33,19,30,18,36,16,32
2019-10-06,33,55,46,51,25,31,34,22,15,45,40,36,19,31,21,36,16,33
2019-10-07,33,55,49,51,25,31,37,23,15,45,41,36,19,31,21,36,16,33
2019-10-19,33,55,49,51,25,31,40,23,15,45,41,36,19,31,21,36,16,33
2019-10-20,36,58,50,54,26,31,40,23,16,48,42,36,19,31,21,36,16,33
2019-10-21,36,58,50,54,26,31,40,24,16,48,42,39,19,31,21,36,16,34
2019-10-26,36,58,50,54,26,31,40,27,16,48,42,39,19,31,21,36,16,34
2019-10-27,39,61,50,55,29,31,40,27,16,48,42,39,19,31,21,39,16,35
2019-10-28,39,61,51,55,29,31,41,27,16,48,45,39,19,31,22,39,17,35
2019-11-02,39,61,51,55,29,31,44,27,16,48,45,39,19,31,22,39,17,35
2019-11-03,42,62,54,58,30,31,44,28,16,48,45,39,19,31,25,39,18,35
