,Schalke,Borussia Mönchengladbach,Leipzig,Union Berlin,Augsburg,Borussia Dortmund,Fortuna Düsseldorf,Werder Bremen,FC Koln,Wolfsburg,Hoffenheim,Eintracht Frankfurt,FSV Mainz 05,Freiburg,Paderborn 07,Bayer 04 Leverkusen,Hertha BSC,Bayern Munich
,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/RB_Leipzig_2014_logo.svg/280px-RB_Leipzig_2014_logo.svg.png,https://www.symbols.com/images/symbol/1/5664_1-fc-union-berlin-symbol.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/FC_Augsburg_logo.svg/140px-FC_Augsburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/180px-Fortuna_D%C3%BCsseldorf.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/180px-FC_Cologne_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/160px-Logo_TSG_Hoffenheim.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/180px-Eintracht_Frankfurt_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/180px-Logo_Mainz_05.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/150px-SC_Freiburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/SC_Paderborn_07_logo.svg/220px-SC_Paderborn_07_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png
2019-01-17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-18,3,0,3,0,0,3,0,3,3,0,0,3,0,3,0,0,0,0
2019-01-19,3,0,3,0,0,3,0,3,3,0,0,3,0,3,0,3,0,3
2019-01-24,3,0,3,0,0,6,0,3,3,0,0,3,0,3,0,3,0,3
2019-01-25,3,3,3,3,0,6,0,3,3,0,0,6,0,3,3,3,3,6
2019-01-26,3,3,3,3,0,6,0,3,3,0,3,6,0,3,3,6,3,6
2019-01-31,4,3,3,3,0,6,0,3,3,0,3,6,0,3,3,6,4,6
2019-02-01,4,4,4,3,3,9,1,3,3,0,6,7,0,3,3,6,4,9
2019-02-02,4,4,4,3,3,9,1,3,6,3,6,7,0,3,3,6,4,9
2019-02-07,4,4,4,3,3,9,1,3,6,3,6,10,0,3,3,6,4,9
2019-02-08,5,4,4,6,3,9,2,3,6,4,6,10,3,6,4,9,4,9
2019-02-09,5,4,5,6,3,9,2,3,6,4,6,10,3,6,4,9,4,10
2019-02-14,5,4,5,6,3,12,2,3,6,4,6,10,3,6,4,9,4,10
2019-02-15,5,7,8,6,4,12,2,3,6,7,6,10,3,7,4,12,7,10
2019-02-16,6,7,8,6,4,12,2,3,6,7,6,10,4,7,4,12,7,13
2019-02-21,6,7,8,6,4,12,2,3,6,7,6,10,4,7,4,12,7,16
2019-02-22,6,8,11,6,4,15,5,3,9,7,7,10,4,7,4,12,7,16
2019-02-23,6,8,11,6,4,15,5,3,9,10,7,10,4,7,4,15,7,16
2019-02-24,6,8,11,9,4,15,5,3,9,10,7,10,4,7,4,15,7,16
2019-02-28,6,8,11,9,4,15,6,3,9,10,7,10,4,7,4,15,8,16
2019-02-29,6,11,11,9,4,18,6,3,12,10,7,10,7,7,4,15,8,19
2019-03-01,6,11,12,10,4,18,6,3,12,11,7,10,7,7,4,16,8,19
2019-03-06,6,11,12,10,4,18,6,3,15,11,7,10,7,7,4,16,8,19
2019-03-07,7,11,13,10,4,21,6,4,15,12,8,10,7,10,4,19,9,19
2019-03-08,7,11,13,10,4,21,7,4,15,12,8,10,8,10,4,19,9,22
2019-03-11,7,14,13,10,4,21,7,4,15,12,8,10,8,10,4,19,9,22
2019-05-16,7,17,14,10,4,24,8,4,15,15,8,10,8,11,5,19,12,22
2019-05-17,7,17,14,10,4,24,8,4,16,15,8,10,9,11,5,19,12,25
2019-05-18,7,17,14,10,4,24,8,4,16,15,8,10,9,11,5,22,12,25
2019-05-22,7,17,14,10,4,24,8,4,16,15,8,10,9,11,5,22,15,25
2019-05-23,7,17,14,10,4,27,8,7,16,15,9,10,9,11,6,25,15,28
2019-05-24,7,17,17,10,7,27,9,7,17,15,9,10,9,11,6,25,15,28
2019-05-26,7,18,17,10,7,27,9,8,17,18,9,11,9,12,6,25,15,31
2019-05-27,7,18,18,11,8,27,12,8,17,18,12,11,10,12,7,25,16,31
2019-05-29,7,18,18,11,8,27,12,8,17,18,12,11,10,12,7,28,16,31
2019-05-30,7,18,18,11,8,27,12,11,17,18,15,14,10,12,7,28,19,34
2019-05-31,7,21,18,11,8,30,12,11,17,18,15,14,10,12,7,28,19,34
2019-06-01,7,21,21,11,8,30,12,11,17,18,15,14,10,12,7,28,19,34
2019-06-03,7,21,21,11,8,30,12,11,17,18,15,17,10,12,7,28,19,34
2019-06-05,7,21,21,11,8,30,12,11,17,18,15,17,10,15,7,28,19,34
2019-06-06,7,21,22,11,8,33,13,11,17,18,16,17,13,15,8,28,19,37
2019-06-07,8,21,22,12,9,33,13,11,18,21,16,17,13,15,8,28,19,37
2019-06-12,8,21,25,12,9,33,13,11,18,21,16,17,13,15,8,28,19,37
2019-06-13,8,21,25,15,9,36,13,14,18,22,16,20,13,16,8,28,19,40
2019-06-14,9,21,25,15,12,36,13,14,18,22,16,20,13,16,8,29,19,40
2019-06-16,9,24,25,18,12,36,13,14,18,22,16,20,13,19,8,29,19,43
2019-06-17,9,24,26,18,12,36,14,14,18,22,19,23,16,19,8,32,19,43
2019-06-20,9,27,26,18,13,39,15,14,19,25,22,24,19,19,8,32,22,46
2019-06-27,9,30,29,21,13,39,15,17,19,25,25,27,19,22,8,35,22,49
2020-08-16,9,30,29,21,13,39,15,17,19,25,25,27,19,22,8,35,23,50
