,Bayern Munich,Borussia Mönchengladbach,Eintracht Frankfurt,Borussia Dortmund,Freiburg,Arminia Bielefeld,SpVgg Greuther Fürth,VfB Stuttgart,Hoffenheim,Augsburg,Bayer 04 Leverkusen,Union Berlin,Leipzig,FSV Mainz 05,Bochum,Wolfsburg,Hertha BSC,FC Koln,Hamburger SV
,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/180px-Eintracht_Frankfurt_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/150px-SC_Freiburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Arminia-wappen-2021.svg/180px-Arminia-wappen-2021.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/SpVgg_Greuther_F%C3%BCrth_logo_%282017%29.svg/180px-SpVgg_Greuther_F%C3%BCrth_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/160px-Logo_TSG_Hoffenheim.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/FC_Augsburg_logo.svg/140px-FC_Augsburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://www.symbols.com/images/symbol/1/5664_1-fc-union-berlin-symbol.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/RB_Leipzig_2014_logo.svg/280px-RB_Leipzig_2014_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Logo_Mainz_05.svg/180px-Logo_Mainz_05.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/VfL_Bochum_logo.svg/170px-VfL_Bochum_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/180px-FC_Cologne_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png
2021-01-07,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,3,0,3,1,1,1,1,3,0,1,1,3,0,0,0,0,0,0
2021-01-09,0,3,0,3,1,1,1,1,3,0,1,1,3,0,3,0,0,3,0
2021-01-14,0,3,0,6,1,1,1,1,3,0,1,1,3,0,3,0,0,3,0
2021-01-15,3,3,0,6,1,1,1,1,3,0,4,4,6,3,3,1,1,3,0
2021-01-16,3,3,1,6,1,2,2,1,3,1,4,4,6,3,3,1,1,3,0
2021-01-21,3,3,1,6,1,5,2,1,3,1,4,4,6,3,3,1,1,3,0
2021-01-22,3,3,1,9,4,5,5,1,3,1,7,7,6,3,4,1,1,4,0
2021-01-23,6,3,1,9,4,5,5,1,3,1,7,7,9,3,4,1,1,4,0
