,Kaiserslautern,Monchengladbach,Uerdingen,Homburg,Bayern,Nurnberg,Bochum,FC Koln,Dusseldorf,Hamburger SV,Frankfurt,Mannheim,Leverkusen,Dortmund,St. Pauli,Bremen,Stuttgart,Karlsruher
1989-07-28,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-07-29,3,0,3,0,3,0,0,3,1,1,3,0,3,0,1,1,3,0
1989-08-04,3,0,3,0,3,0,0,3,1,2,4,0,3,3,1,1,3,0
1989-08-05,4,1,4,1,4,1,0,3,2,2,4,3,4,3,1,2,3,1
1989-08-08,4,1,4,1,4,1,0,3,2,2,7,3,4,3,1,2,3,1
1989-08-09,4,1,4,1,7,1,0,4,2,2,7,3,4,3,1,2,4,1
1989-08-11,7,1,4,1,7,1,0,4,2,2,7,3,4,3,1,2,4,1
1989-08-12,7,2,4,1,7,4,3,7,2,2,7,3,5,3,1,5,7,1
1989-08-15,7,5,5,4,7,5,3,7,2,2,7,4,5,3,1,6,7,1
1989-08-16,7,5,5,4,8,5,3,10,2,5,10,4,5,6,1,6,7,2
1989-08-22,7,6,5,5,8,5,3,10,2,5,10,4,5,9,2,7,7,2
1989-08-23,7,6,8,5,11,5,4,10,3,5,11,7,6,9,2,7,8,3
1989-08-26,7,7,8,6,11,8,7,11,3,8,14,10,7,10,3,8,8,4
1989-08-31,7,7,8,6,14,8,7,11,3,8,14,10,7,10,3,8,8,4
1989-09-01,7,7,11,6,14,8,7,11,3,8,14,10,7,10,3,11,8,4
1989-09-02,10,7,11,6,14,11,7,12,6,8,14,10,10,13,4,11,8,4
1989-09-08,10,10,11,6,14,11,7,12,6,8,14,10,10,13,4,11,8,4
1989-09-09,10,10,11,6,17,14,10,15,6,8,14,10,13,13,7,11,11,7
1989-09-15,10,11,11,7,17,14,10,15,6,8,14,10,16,13,7,11,11,7
1989-09-16,10,11,11,7,20,17,10,16,9,9,14,13,16,14,8,11,14,7
1989-09-19,10,14,14,10,20,17,10,16,9,9,17,13,16,14,8,11,14,7
1989-09-20,10,14,14,10,20,17,10,19,9,12,17,16,19,14,8,11,17,7
1989-09-29,10,14,14,10,20,17,10,19,9,12,17,16,19,14,11,11,17,7
1989-09-30,11,14,14,13,23,20,10,22,10,12,20,16,20,17,11,11,18,7
1989-10-07,12,14,14,13,24,20,11,25,11,15,20,19,23,20,11,12,21,8
