,Dortmund,Stuttgart,Hertha,St. Pauli,Nurnberg,Uerdingen,Bayern,Leverkusen,FC Koln,Dusseldorf,Frankfurt,Karlsruher,Hamburger SV,Kaiserslautern,Monchengladbach,Bochum,Wattenscheid,Bremen
1990-08-08,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-08-09,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-08-10,0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1990-08-11,0,3,0,3,1,1,1,1,1,1,3,0,0,3,0,3,3,0
1990-08-14,0,3,0,4,1,1,2,1,1,1,3,0,0,3,0,3,3,0
1990-08-17,0,6,0,4,1,1,2,1,1,1,3,0,0,3,0,3,3,3
1990-08-18,3,6,0,4,2,1,2,2,1,4,4,0,0,4,0,6,6,3
1990-08-24,3,6,0,4,2,1,2,2,1,4,7,0,3,7,0,6,6,3
1990-08-25,3,6,1,4,5,2,5,3,4,4,7,1,3,7,1,6,7,3
1990-08-31,3,6,1,4,5,2,5,3,4,4,7,1,3,10,1,6,7,3
1990-09-01,3,9,1,5,5,3,8,3,5,4,8,1,3,10,2,7,7,6
1990-09-02,4,9,1,5,5,3,8,3,5,5,8,1,3,10,2,7,7,6
1990-09-04,4,9,1,5,5,3,8,6,5,5,8,1,3,10,2,7,7,6
1990-09-07,7,9,1,5,5,6,11,6,5,5,8,1,3,10,2,7,7,6
1990-09-08,7,9,1,5,6,6,11,9,8,8,9,2,6,10,2,7,7,7
1990-09-14,7,9,1,6,6,6,11,9,8,8,9,5,6,13,2,7,8,7
1990-09-15,8,9,1,6,6,6,14,12,11,8,10,5,6,13,3,10,8,8
1990-09-21,8,9,1,6,6,6,14,12,11,8,10,5,9,13,3,10,8,8
1990-09-22,9,10,2,7,6,6,15,15,11,8,13,5,9,16,4,11,8,9
1990-09-23,9,10,2,7,9,6,15,15,11,8,13,5,9,16,4,11,8,9
1990-09-28,9,10,2,7,9,6,15,15,11,8,13,5,9,19,7,11,8,12
1990-09-29,12,10,2,8,10,9,15,15,11,8,16,6,9,19,7,12,11,12
1990-10-05,12,10,2,8,10,12,15,15,11,8,16,6,9,19,7,12,11,12
1990-10-06,13,11,3,11,10,12,18,16,12,9,16,7,10,19,7,12,14,15
1990-10-12,13,11,3,11,10,12,18,16,12,9,16,7,10,19,7,12,17,15
1990-10-13,13,11,3,12,10,12,18,16,15,10,19,7,10,22,10,15,17,18
1990-10-14,13,11,3,12,10,12,18,16,15,10,19,7,13,22,10,15,17,18
1990-10-19,14,11,3,13,10,12,18,17,15,10,19,7,13,22,10,16,18,19
1990-10-20,14,12,6,13,10,13,21,17,18,11,19,10,13,22,11,16,18,19
1990-10-26,14,13,6,13,10,13,21,17,18,11,19,10,13,22,11,17,18,22
1990-10-27,17,13,6,13,10,13,24,18,21,14,19,10,16,23,12,17,19,22
1990-11-09,17,13,6,13,10,13,24,18,21,14,19,10,16,23,12,17,22,22
1990-11-10,20,13,6,14,10,14,24,21,21,15,22,13,17,24,13,17,22,25
1990-11-16,20,13,6,14,13,14,24,21,24,18,22,13,17,24,13,17,22,25
1990-11-17,20,13,7,14,13,14,25,21,24,18,25,13,20,27,16,17,22,28
