,Bayern,Stuttgart,Bremen,Kaiserslautern,Dortmund,Leverkusen,Duisburg,Lokomotive Leipzig,FC Koln,Schalke,Frankfurt,Nurnberg,Hamburger SV,Freiburg,Monchengladbach,Karlsruher,Wattenscheid,Dresden
1993-02-12,0,3,3,0,3,0,3,0,1,1,1,1,1,1,0,3,1,1
1993-02-19,3,6,3,3,3,0,6,0,4,4,1,1,4,1,0,6,1,4
1993-02-26,6,9,4,4,3,1,6,1,5,7,1,2,5,2,1,7,2,5
1993-03-05,9,12,4,4,6,1,9,1,6,10,4,2,5,2,4,10,2,6
1993-03-12,12,12,4,7,9,1,9,1,9,10,7,5,8,2,7,13,2,6
1993-03-19,13,15,5,7,10,4,9,1,12,13,10,6,11,3,7,13,3,6
1993-03-26,16,16,5,8,13,7,9,1,15,16,11,6,11,3,10,16,3,7
1993-04-02,19,17,5,9,16,10,12,4,15,19,11,7,11,3,10,16,6,8
1993-04-03,22,17,5,9,16,10,12,4,15,19,11,7,11,3,10,16,6,8
1993-04-06,22,17,8,12,17,11,15,4,18,20,11,10,12,3,13,19,6,8
1993-04-09,25,20,9,15,20,14,15,4,18,20,11,13,13,3,13,19,9,11
1993-04-16,25,23,12,18,21,14,16,4,21,20,14,14,13,3,14,22,9,14
1993-04-23,25,23,15,21,24,15,16,5,21,21,14,14,13,6,17,25,9,15
1993-04-30,26,24,15,24,24,16,19,5,21,21,15,17,14,9,20,26,9,18
1993-05-07,29,27,18,27,27,19,19,5,21,21,18,17,14,12,20,26,12,18
1994-08-07,32,27,21,30,30,20,20,6,21,21,21,17,17,12,20,26,15,19
1994-08-14,32,28,22,33,30,23,23,7,21,24,22,20,17,15,20,29,15,19
1994-08-21,35,29,25,33,33,26,24,7,24,24,25,20,20,15,23,29,15,19
1994-08-28,36,30,28,33,33,29,25,8,27,24,28,20,23,15,23,32,16,20
1994-09-01,39,33,28,36,36,29,28,8,30,24,31,20,26,15,26,32,16,20
1994-09-04,40,34,31,37,37,32,29,9,30,24,34,20,27,16,27,33,17,21
1994-09-08,40,34,34,38,37,33,32,12,30,25,37,21,30,16,28,34,17,24
1994-09-18,41,35,37,41,38,34,33,12,31,25,38,24,33,16,28,34,18,27
1994-09-25,42,38,38,44,39,34,36,12,34,26,41,25,33,17,28,35,19,27
1994-10-02,45,38,39,44,42,37,37,13,35,27,44,25,33,18,29,36,19,30
1994-10-09,48,38,42,47,42,37,37,13,35,27,47,28,36,21,32,39,19,30
1994-10-16,51,41,43,48,45,40,40,14,36,27,47,28,36,22,32,40,20,31
1994-10-23,52,42,43,51,45,40,40,14,39,28,48,31,39,25,33,41,21,32
1994-10-30,55,45,44,51,48,41,43,17,42,28,49,31,39,28,33,41,22,32
1994-11-06,55,45,44,54,48,42,43,17,45,31,52,34,40,31,34,44,22,33
1994-11-13,58,45,44,54,51,45,46,18,45,31,52,34,43,32,37,44,25,36
1994-11-20,59,45,44,57,52,48,49,18,48,32,52,35,43,32,40,47,25,39
1994-11-27,59,46,45,60,53,51,49,18,48,35,52,35,46,35,43,48,25,42
1994-12-04,60,47,48,60,54,52,50,19,48,36,52,38,47,35,46,49,28,43
1994-12-11,61,50,49,61,54,53,50,20,48,39,53,38,47,38,49,52,29,44
