,Freiburg,Monchengladbach,Kaiserslautern,Dortmund,Karlsruher,Frankfurt,Munich 1860,St. Pauli,Hamburger SV,Bayern,FC Koln,Dusseldorf,Uerdingen,Stuttgart,Leverkusen,Rostock,Schalke,Bremen
1995-02-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-02-10,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
1995-02-11,1,1,1,1,1,1,3,0,3,0,0,0,0,0,0,0,0,0
1995-02-14,1,1,1,1,1,1,3,0,3,0,1,1,0,0,0,0,0,0
1995-02-16,1,1,1,1,1,4,3,0,3,0,1,1,0,0,0,0,0,0
1995-02-17,1,1,1,1,4,4,6,0,3,0,1,1,0,0,0,0,0,0
1995-02-23,1,2,2,1,4,4,6,1,3,0,1,1,0,0,1,0,0,0
1995-02-24,4,2,2,1,5,4,9,1,3,0,1,4,0,0,1,3,0,1
1995-02-25,4,2,2,1,5,4,9,1,3,3,1,4,0,0,1,3,0,1
1995-03-01,4,2,2,1,5,4,9,1,3,3,1,4,0,0,1,3,0,4
1995-03-02,7,3,2,2,8,4,9,1,3,6,1,4,0,3,1,3,3,4
1995-03-03,7,3,2,2,8,4,9,1,3,6,1,5,0,3,1,4,3,4
1995-03-05,8,3,2,2,8,4,9,2,3,6,2,5,0,3,1,4,4,7
1995-03-08,8,3,2,2,8,4,9,2,6,6,2,5,0,4,2,4,4,7
1995-03-09,11,3,3,5,8,5,10,2,6,6,3,5,1,4,2,4,7,8
1995-03-10,11,6,3,5,8,5,10,2,6,6,3,5,1,4,2,4,7,8
1995-03-12,11,6,3,5,8,5,10,2,6,6,3,6,1,4,2,4,7,9
1995-03-15,14,6,3,5,8,5,10,2,6,6,6,6,1,4,2,4,7,9
1995-03-16,14,9,3,8,8,6,10,2,6,9,6,6,2,4,3,4,8,9
1995-03-17,14,9,3,8,8,6,10,2,6,9,6,9,2,4,3,4,8,9
1995-03-19,14,9,3,8,8,6,10,2,7,9,7,9,2,7,6,4,8,9
1995-03-22,14,9,3,8,11,6,11,2,7,9,7,9,2,7,6,4,9,9
1995-03-23,17,9,4,11,11,6,11,2,7,12,7,12,2,7,6,4,9,10
1995-03-24,17,10,4,11,11,6,11,5,7,12,7,12,2,8,6,4,9,10
1995-03-29,17,10,7,11,11,6,11,5,8,12,7,12,3,8,6,4,9,10
1995-03-30,17,13,7,11,12,6,11,6,8,15,7,12,3,9,6,5,12,13
1995-03-31,17,13,7,11,12,6,12,6,8,15,7,13,3,9,6,5,12,13
1995-04-02,17,13,7,11,12,6,12,9,8,15,7,13,3,9,6,5,12,13
1995-04-04,17,13,8,11,15,6,12,9,8,15,7,13,3,10,6,6,13,13
1995-04-06,18,13,8,12,15,6,15,12,8,15,10,14,3,10,6,6,13,14
1995-04-07,18,16,8,12,15,6,15,12,8,15,10,14,3,10,6,6,13,14
1995-04-09,18,16,8,13,16,7,16,12,8,15,11,14,3,11,7,9,14,14
1995-04-10,19,16,8,13,16,7,16,13,9,16,11,17,3,11,7,9,14,17
1995-04-12,19,16,8,13,16,7,19,13,9,16,11,17,3,11,7,12,14,17
1995-04-13,19,19,8,14,19,7,19,13,12,19,11,17,3,11,7,12,15,20
1995-04-14,19,19,8,14,19,7,19,13,12,19,11,18,3,11,8,12,15,20
1995-04-16,19,20,9,14,19,7,19,13,12,19,11,18,3,11,8,12,15,20
1995-04-17,19,20,9,14,19,7,19,13,12,19,11,18,3,11,8,15,15,20
1995-04-19,19,20,10,14,20,7,19,13,12,19,11,18,6,11,8,15,15,20
1995-04-20,19,20,10,17,20,8,22,13,12,20,14,18,6,12,8,15,15,21
1995-04-21,19,21,10,17,20,8,22,13,12,20,14,18,6,12,8,15,16,21
1995-04-24,19,21,10,17,20,8,22,13,13,20,14,18,6,12,9,15,16,21
1995-04-26,19,21,13,17,20,8,22,16,13,20,14,18,6,12,9,15,16,21
1995-04-27,22,21,13,18,23,11,22,16,14,20,17,18,6,12,9,18,16,21
1995-04-28,22,22,13,18,23,11,22,16,14,20,17,19,6,12,9,18,16,21
1995-04-30,22,22,13,18,26,11,22,16,14,20,17,19,9,12,9,21,19,21
1995-05-01,22,22,13,18,26,11,22,16,17,20,20,22,9,12,9,21,19,21
1995-05-03,23,22,14,21,26,11,22,16,17,20,20,22,9,12,9,21,19,21
1995-05-04,23,22,14,21,29,11,22,16,17,23,20,25,9,12,12,24,22,21
1995-05-05,23,22,14,21,29,11,22,17,18,23,20,25,9,12,12,24,22,21
1995-05-07,23,22,15,24,29,11,23,17,18,23,20,25,9,12,12,24,25,24
1995-05-11,26,25,18,25,30,12,24,18,21,23,20,26,9,12,12,24,28,27
