,Borussia Dortmund,Bayer 04 Leverkusen,FC Koln,Fortuna Düsseldorf,Bayern Munich,St. Pauli,Werder Bremen,Freiburg,MSV Duisburg,Bochum,Hamburger SV,1860 Munich,Karlsruher,Hansa Rostock,Schalke,VfB Stuttgart,Arminia Bielefeld,Borussia Mönchengladbach
,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/180px-FC_Cologne_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/180px-Fortuna_D%C3%BCsseldorf.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/FC_St._Pauli_logo_%282018%29.svg/180px-FC_St._Pauli_logo_%282018%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/150px-SC_Freiburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/MSV_Duisburg_Anniversary_22-23_Logo.svg/180px-MSV_Duisburg_Anniversary_22-23_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/VfL_Bochum_logo.svg/170px-VfL_Bochum_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/TSV_1860_M%C3%BCnchen.svg/180px-TSV_1860_M%C3%BCnchen.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Karlsruher_SC_Logo_2.svg/180px-Karlsruher_SC_Logo_2.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/F.C._Hansa_Rostock_Logo.svg/180px-F.C._Hansa_Rostock_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Arminia-wappen-2021.svg/180px-Arminia-wappen-2021.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png
1996-02-14,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-02-15,3,0,3,0,3,0,3,0,1,1,0,3,1,1,3,0,0,0
1996-02-16,3,0,3,0,3,0,3,0,1,1,0,3,1,1,3,0,0,3
1996-02-21,3,0,3,3,3,0,3,0,1,1,3,3,1,1,3,0,3,3
1996-02-22,3,3,3,3,4,0,6,0,1,2,3,6,1,1,4,3,3,4
1996-02-28,3,3,3,3,4,1,6,0,1,2,3,6,1,1,5,3,6,4
1996-03-01,6,4,6,4,7,1,7,0,1,2,3,6,2,1,5,4,6,5
1996-03-02,6,4,6,4,7,1,7,0,1,2,4,6,2,2,5,4,6,5
1996-03-07,6,4,7,4,7,1,7,0,1,2,4,6,2,3,8,4,6,5
