,Bochum,Borussia Dortmund,VfB Stuttgart,MSV Duisburg,Bayern Munich,Hamburger SV,Werder Bremen,Arminia Bielefeld,FC Koln,Borussia Mönchengladbach,Hertha BSC,Wolfsburg,Hansa Rostock,1860 Munich,Schalke,Kaiserslautern,Karlsruher,Bayer 04 Leverkusen
,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/VfL_Bochum_logo.svg/170px-VfL_Bochum_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/MSV_Duisburg_Anniversary_22-23_Logo.svg/180px-MSV_Duisburg_Anniversary_22-23_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Arminia-wappen-2021.svg/180px-Arminia-wappen-2021.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/FC_Cologne_logo.svg/180px-FC_Cologne_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/F.C._Hansa_Rostock_Logo.svg/180px-F.C._Hansa_Rostock_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/TSV_1860_M%C3%BCnchen.svg/180px-TSV_1860_M%C3%BCnchen.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Logo_1_FC_Kaiserslautern.svg/200px-Logo_1_FC_Kaiserslautern.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Karlsruher_SC_Logo_2.svg/180px-Karlsruher_SC_Logo_2.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png
1997-01-30,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-01-31,3,0,1,1,3,0,3,0,3,0,3,0,3,0,1,1,0,0
1997-02-01,3,0,1,1,3,0,3,0,3,0,3,0,3,0,1,1,1,1
1997-02-06,3,0,1,4,3,0,3,0,3,0,3,0,3,0,1,4,1,1
1997-02-07,3,3,1,4,6,1,3,1,3,0,4,0,3,1,4,4,1,4
1997-02-08,3,3,1,4,6,1,3,1,4,0,4,1,3,1,4,4,1,4
1997-02-13,3,6,1,5,6,4,4,1,4,0,4,1,3,1,4,4,1,4
1997-02-14,6,6,1,5,6,4,4,1,4,0,7,2,6,1,5,7,1,7
1997-02-27,6,7,1,5,6,4,5,1,4,0,7,2,6,1,5,8,2,7
1997-02-28,9,7,2,5,6,5,5,2,7,1,7,2,6,4,6,8,2,8
1997-03-01,9,7,2,5,6,5,5,2,7,1,8,2,7,4,6,8,2,8
1997-03-06,10,7,2,5,6,6,6,2,7,1,8,2,7,4,6,9,2,8
1997-03-07,10,7,2,6,6,6,6,3,10,4,8,2,7,7,6,9,2,11
1997-03-08,10,7,5,6,6,6,6,3,10,4,8,2,7,7,9,9,2,11
1997-03-13,10,7,5,7,6,6,6,3,10,4,8,2,7,7,12,9,2,12
1997-03-14,11,10,6,7,7,7,7,3,10,5,8,2,7,7,12,12,5,12
1997-03-15,11,10,6,7,7,7,7,3,11,5,8,2,8,7,12,12,5,12
1997-03-21,11,10,6,7,7,10,10,3,11,5,8,2,11,10,12,12,5,12
1997-03-22,11,10,6,7,10,10,10,3,11,5,8,2,11,10,12,12,5,12
1997-03-27,11,10,6,7,10,13,10,3,11,5,8,5,11,10,12,12,5,12
1997-03-28,11,13,6,7,11,13,10,4,11,6,11,5,12,10,13,12,6,15
1997-03-29,11,13,6,7,11,13,10,4,14,6,11,5,12,10,13,12,6,15
1997-04-03,11,13,6,8,11,13,10,4,14,6,14,5,12,10,13,13,6,15
1997-04-04,14,13,6,8,14,14,10,4,14,7,14,8,15,11,13,13,6,16
1997-04-05,14,13,7,8,14,14,10,4,15,7,14,8,15,11,13,13,6,16
1997-04-09,14,14,7,8,14,14,10,4,15,7,14,8,18,11,13,14,6,16
1997-04-11,14,14,10,8,17,17,13,4,15,7,14,11,18,11,13,14,9,16
1997-04-12,14,14,10,11,17,17,13,4,15,7,14,11,18,11,13,14,9,16
1997-04-17,14,14,10,12,17,17,16,4,15,7,14,12,18,11,13,14,9,16
