,Wolfsburg,Hansa Rostock,MSV Duisburg,Bayern Munich,Hertha BSC,Borussia Dortmund,Bayer 04 Leverkusen,Freiburg,1860 Munich,Eintracht Frankfurt,Nürnberg,Werder Bremen,VfB Stuttgart,Schalke,Borussia Mönchengladbach,Kaiserslautern,Bochum,Hamburger SV
,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Logo-VfL-Wolfsburg.svg/200px-Logo-VfL-Wolfsburg.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/F.C._Hansa_Rostock_Logo.svg/180px-F.C._Hansa_Rostock_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/MSV_Duisburg_Anniversary_22-23_Logo.svg/180px-MSV_Duisburg_Anniversary_22-23_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg/180px-FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Hertha_BSC_Logo_2012.svg/190px-Hertha_BSC_Logo_2012.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Borussia_Dortmund_logo.svg/185px-Borussia_Dortmund_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Bayer_04_Leverkusen_logo.svg/220px-Bayer_04_Leverkusen_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/SC_Freiburg_logo.svg/150px-SC_Freiburg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/TSV_1860_M%C3%BCnchen.svg/180px-TSV_1860_M%C3%BCnchen.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Eintracht_Frankfurt_Logo.svg/180px-Eintracht_Frankfurt_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/1._FC_N%C3%BCrnberg_logo.svg/180px-1._FC_N%C3%BCrnberg_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/SV-Werder-Bremen-Logo.svg/150px-SV-Werder-Bremen-Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/VfB_Stuttgart_1893_Logo.svg/180px-VfB_Stuttgart_1893_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/180px-FC_Schalke_04_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Borussia_M%C3%B6nchengladbach_logo.svg/130px-Borussia_M%C3%B6nchengladbach_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Logo_1_FC_Kaiserslautern.svg/200px-Logo_1_FC_Kaiserslautern.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/VfL_Bochum_logo.svg/170px-VfL_Bochum_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hamburger_SV_logo.svg/200px-Hamburger_SV_logo.svg.png
1998-02-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-02-20,1,1,0,3,3,0,1,1,3,0,1,1,3,0,0,0,0,0
1998-02-21,1,1,0,3,3,0,1,1,3,0,1,1,3,0,0,3,0,0
1998-02-26,1,1,0,3,3,0,1,1,3,0,1,2,4,0,0,4,1,0
1998-02-27,2,1,1,6,3,3,2,2,4,1,1,2,4,0,1,4,1,1
1998-02-28,2,1,1,6,4,3,2,2,4,1,1,2,4,1,1,4,1,1
1998-03-05,2,1,4,6,4,3,2,2,4,1,4,2,4,1,1,4,1,1
1998-03-06,5,1,4,9,5,6,2,2,4,1,4,2,7,1,4,5,1,1
1998-03-07,5,1,4,9,5,6,5,2,4,1,4,2,7,1,4,5,1,1
1998-03-12,5,1,4,9,5,9,5,5,4,1,4,2,7,1,4,5,1,1
1998-03-13,8,1,7,12,5,9,5,5,5,1,4,2,8,2,4,8,2,1
1998-03-14,8,1,7,12,6,9,5,5,5,2,4,2,8,2,4,8,2,1
1998-03-16,8,1,7,12,6,9,5,5,5,2,4,2,8,2,4,8,5,1
1998-03-19,9,1,7,12,6,10,6,5,5,2,4,2,8,3,4,8,5,1
1998-03-20,9,1,10,15,9,10,6,5,5,3,5,2,9,3,5,11,5,1
1998-03-21,9,1,10,15,9,10,6,5,5,3,5,2,9,3,5,11,5,4
1998-04-03,9,4,11,16,9,11,9,5,5,3,8,2,10,6,5,11,5,7
1998-04-04,9,4,11,16,12,11,9,5,5,6,8,2,10,6,5,11,5,7
1998-04-09,9,4,11,16,12,11,9,5,5,6,8,5,10,6,5,11,5,10
1998-04-10,12,7,11,17,15,11,12,5,5,6,11,5,10,7,5,11,5,10
1998-04-11,12,7,11,17,15,11,12,5,5,6,11,5,10,7,5,11,8,10
1998-04-13,15,7,11,17,15,11,12,5,5,6,12,6,11,10,5,14,8,11
1998-04-14,15,7,14,17,15,14,15,5,5,6,12,6,11,10,6,14,9,11
1998-04-16,15,10,14,20,15,14,15,5,5,6,12,6,11,10,6,14,9,11
1998-04-17,18,10,17,20,16,14,18,5,5,6,13,6,12,13,6,14,10,11
1998-04-18,18,10,17,20,16,15,18,5,5,6,13,6,12,13,6,14,10,12
1998-04-23,18,10,17,20,16,18,21,5,5,6,13,6,12,13,6,14,10,12
1998-04-24,18,11,20,20,19,18,21,8,5,7,13,6,12,13,9,14,10,15
1998-04-25,18,11,20,21,19,18,21,8,6,7,13,6,12,13,9,14,10,15
1998-04-30,18,11,20,21,19,18,21,11,6,7,16,6,12,13,9,14,10,15
1998-05-01,21,14,20,24,20,18,22,11,6,7,16,6,12,13,9,14,10,18
1998-05-02,21,14,23,24,20,18,22,11,6,7,16,6,12,13,9,14,10,18
1998-05-04,21,15,23,27,20,18,22,11,6,8,16,6,12,13,10,17,10,19
1998-05-05,21,15,26,27,23,19,23,11,9,8,17,6,12,14,10,17,10,19
1998-05-07,21,18,26,27,23,19,23,11,9,11,17,6,12,14,10,17,10,19
1998-05-08,22,18,26,27,23,22,26,14,9,11,18,6,12,17,10,17,10,22
1998-05-09,22,18,26,28,24,22,26,14,9,11,18,6,12,17,10,17,10,22
1998-05-11,22,18,26,28,24,22,26,14,9,11,18,9,12,17,10,17,10,22
1998-05-14,22,18,26,28,27,22,26,14,9,11,18,9,12,17,11,17,10,23
1998-05-15,25,18,27,28,27,22,27,14,9,14,21,12,15,17,11,17,10,23
1998-05-16,25,18,27,28,27,22,27,14,9,14,21,12,15,17,11,20,10,23
