,Dortmund,Kaiserslautern,Rostock,Hertha,Bielefeld,Schalke,Bremen,Stuttgart,Freiburg,Ulm,Leverkusen,Duisburg,Munich 1860,Wolfsburg,Hamburger SV,Bayern,Unterhaching,Frankfurt
1999-02-04,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-02-05,0,3,0,3,0,3,3,0,3,0,3,0,0,3,0,0,0,0
1999-02-06,0,3,0,3,0,3,3,0,3,0,3,0,0,3,1,1,3,0
1999-02-08,0,4,1,6,0,6,3,0,3,3,3,0,0,3,1,1,3,0
1999-02-09,0,4,1,6,0,6,3,0,3,3,3,3,0,6,4,4,3,3
1999-02-11,0,7,1,6,0,6,6,0,3,3,3,3,0,6,4,4,3,3
1999-02-12,1,7,2,6,0,6,6,0,3,4,6,3,0,7,4,7,3,6
1999-02-13,1,7,2,6,0,6,6,0,3,4,6,3,3,7,7,7,3,6
1999-02-18,1,7,2,9,0,7,6,0,3,4,7,3,3,7,7,7,3,6
1999-02-19,2,10,2,9,0,7,6,0,4,4,7,3,3,7,7,10,6,9
1999-02-20,2,10,3,9,0,7,6,0,4,5,7,3,3,10,7,10,6,9
1999-02-25,2,10,4,9,0,7,6,0,5,5,7,3,3,10,7,10,6,9
1999-02-26,2,10,4,9,0,7,7,3,5,5,10,3,3,11,10,13,6,9
1999-02-27,3,10,4,9,0,7,7,3,5,5,10,3,4,11,10,13,9,9
1999-02-28,3,10,4,9,3,7,7,3,5,5,10,3,4,11,10,13,9,9
1999-03-03,3,10,4,9,4,7,7,3,6,5,10,3,4,12,11,13,9,9
1999-03-04,3,10,4,12,4,10,7,6,6,5,13,3,7,12,11,13,9,9
1999-03-05,4,10,4,12,4,10,7,6,6,8,13,3,7,12,11,13,9,10
1999-03-10,4,13,4,12,4,10,7,6,6,8,13,3,7,12,11,13,9,13
1999-03-11,4,13,4,13,5,10,7,6,6,11,16,4,8,12,11,16,9,13
1999-03-12,4,13,7,13,5,10,10,6,6,11,16,4,8,12,11,16,9,13
1999-03-17,4,13,8,13,5,10,10,6,6,11,16,4,8,13,11,16,10,14
1999-03-18,4,16,8,14,5,13,10,6,6,11,19,4,8,13,14,17,10,14
1999-03-19,4,16,8,14,8,13,10,6,6,11,19,4,11,13,14,17,10,14
1999-03-24,4,16,9,14,9,13,10,6,6,11,19,4,11,13,14,17,13,14
1999-03-25,4,17,9,14,9,13,10,9,7,11,20,4,11,16,17,18,13,14
1999-03-26,4,17,9,14,9,14,13,9,7,11,20,4,11,16,17,18,13,15
1999-03-31,4,17,9,14,9,14,13,9,10,11,20,7,11,16,17,18,13,15
1999-04-01,4,17,9,17,9,14,13,9,10,11,23,7,11,17,20,19,13,18
1999-04-02,4,17,10,17,9,14,14,12,10,11,23,7,11,17,20,19,13,18
1999-04-07,4,17,10,17,9,14,14,12,10,11,23,7,12,17,23,19,14,18
1999-04-08,4,20,10,20,9,14,14,12,10,11,26,7,12,20,23,22,14,18
1999-04-09,4,20,10,20,9,14,17,12,13,11,26,7,12,20,23,22,14,18
1999-04-11,4,20,10,23,9,15,17,13,13,12,26,7,12,21,23,22,17,18
1999-04-12,4,20,11,23,12,15,17,13,13,12,27,7,15,21,23,25,17,21
1999-04-14,4,20,11,24,12,16,17,13,13,13,27,7,15,22,23,25,17,21
1999-04-15,5,23,11,24,12,16,18,16,13,13,27,8,18,22,24,25,17,21
1999-04-16,5,23,12,24,12,16,18,16,13,13,30,8,18,22,24,25,18,21
1999-04-20,5,23,12,24,12,16,18,16,13,13,33,8,18,22,24,25,18,24
1999-04-22,5,23,15,27,12,16,18,17,16,13,33,8,19,25,24,25,18,24
1999-04-23,5,23,15,27,15,16,18,17,16,13,33,8,19,25,24,28,18,24
1999-04-27,5,23,15,27,18,16,18,17,16,13,33,8,19,25,24,28,18,24
1999-04-28,5,23,15,28,18,16,18,17,17,13,33,8,19,25,24,28,18,27
1999-04-29,8,26,15,28,18,17,18,17,17,13,33,8,20,25,24,31,18,27
1999-04-30,8,26,15,28,18,17,18,17,17,13,36,8,20,25,24,31,21,27
1999-05-13,9,26,15,28,18,18,21,20,20,16,39,8,23,25,27,34,21,27
1999-05-20,12,27,18,28,19,18,21,21,20,16,39,9,24,28,28,37,24,30
2000-08-13,12,27,18,28,19,18,21,21,20,16,40,10,24,31,28,37,24,30
2000-08-14,12,30,18,28,20,19,22,22,20,16,40,10,24,31,29,38,24,33
2000-08-15,12,30,18,31,20,19,22,22,21,17,40,10,24,31,29,38,24,33
2000-08-20,12,30,18,32,21,19,22,22,21,17,40,10,24,31,29,38,27,33
2000-08-21,15,30,18,32,21,22,22,22,21,17,40,10,27,31,32,38,27,36
2000-08-22,15,30,21,32,21,22,22,22,21,17,43,10,27,31,32,38,27,36
2000-08-27,15,30,21,32,24,22,22,22,21,17,43,10,27,31,35,38,27,36
2000-08-28,15,30,21,33,24,22,23,22,24,17,46,10,27,34,35,41,27,36
2000-08-29,18,30,21,33,24,22,23,22,24,17,46,11,27,34,35,41,27,37
2000-09-10,18,30,24,33,25,22,23,22,24,17,46,11,27,35,35,41,27,37
2000-09-11,19,30,24,33,25,22,23,22,25,17,49,11,27,35,38,44,30,37
2000-09-12,19,30,24,33,25,22,26,22,25,17,49,11,30,35,38,44,30,37
2000-09-17,22,30,24,33,25,22,26,22,28,17,49,11,30,35,38,44,30,37
2000-09-18,22,30,24,34,25,25,26,25,28,20,50,11,30,35,38,47,30,37
2000-09-19,22,33,24,34,25,25,29,25,28,20,50,11,30,35,38,47,30,37
2000-09-24,22,33,24,34,25,25,29,28,28,20,50,11,30,36,39,47,30,37
2000-09-25,25,33,25,35,25,26,30,28,28,21,50,12,31,36,39,47,31,37
2000-09-26,25,33,25,35,28,26,30,28,28,21,53,12,31,36,39,47,31,37
2000-10-01,25,33,25,35,28,26,30,31,28,21,53,12,34,36,39,47,31,37
2000-10-02,28,33,25,38,28,27,30,31,28,21,53,12,34,39,42,48,31,37
2000-10-03,28,36,25,38,28,27,30,31,31,21,53,12,34,39,42,48,31,37
2000-10-15,31,36,25,38,28,27,30,31,31,21,56,12,34,39,42,48,31,37
2000-10-16,31,37,28,38,28,27,30,31,31,21,56,13,37,39,45,51,31,37
2000-10-17,31,37,28,38,28,30,30,31,31,21,56,13,37,40,45,51,32,37
2000-10-22,31,37,31,38,28,33,30,31,31,21,56,13,37,40,45,51,32,37
2000-10-23,31,37,31,39,28,33,30,32,32,24,57,13,38,40,46,54,32,37
2000-10-24,31,37,31,39,28,33,33,32,32,24,57,13,38,43,46,54,32,37
2000-10-29,31,37,31,39,29,33,36,32,32,24,57,13,38,43,46,54,32,38
2000-10-30,32,37,31,40,29,34,36,32,32,25,58,14,39,43,47,57,32,38
2000-10-31,32,40,31,40,29,34,36,32,32,25,58,14,39,43,47,57,35,38
2000-11-05,32,40,32,40,29,34,36,32,35,25,58,14,39,43,48,57,35,38
2000-11-06,33,40,32,40,29,34,36,35,35,25,59,14,42,43,48,60,35,41
2000-11-07,33,43,32,40,30,34,37,35,35,25,59,14,42,43,48,60,35,41
2000-11-19,33,43,32,40,30,34,40,35,35,25,59,14,42,43,48,60,35,41
2000-11-20,33,46,33,40,30,35,40,38,35,25,60,14,42,44,48,63,35,41
2000-11-21,33,46,33,40,30,35,40,38,35,25,60,17,42,44,51,63,35,41
2000-11-26,33,46,33,40,30,36,40,41,35,26,60,17,42,44,51,63,35,41
2000-11-27,33,46,34,43,30,36,40,41,35,26,63,17,45,44,51,63,36,41
2000-11-28,34,49,34,43,30,36,43,41,35,26,63,18,45,44,51,63,36,41
2000-12-01,34,49,34,43,30,36,43,41,35,26,63,18,45,44,51,63,39,41
2000-12-03,34,49,35,43,30,36,43,41,35,26,63,19,45,44,54,63,39,41
2000-12-04,35,49,35,46,30,37,43,41,36,26,66,19,48,44,54,64,39,41
2000-12-05,35,50,35,46,30,37,43,41,36,26,66,19,48,45,54,64,42,41
2000-12-10,35,50,35,46,30,37,44,41,36,26,66,22,48,45,54,64,43,41
2000-12-11,36,50,35,49,30,38,44,42,36,26,66,22,49,45,54,67,43,41
2000-12-12,36,50,35,49,30,38,44,42,36,29,67,22,49,48,55,67,43,41
2000-12-14,36,50,35,50,30,38,47,45,36,29,67,22,50,48,55,70,43,41
2000-12-15,37,50,35,50,30,39,47,45,39,32,70,22,50,48,56,70,44,41
2000-12-17,37,50,35,50,30,39,47,48,39,32,70,22,50,48,56,73,44,41
2000-12-18,37,50,35,50,30,39,47,48,40,35,73,22,53,49,59,73,44,41
2000-12-19,40,50,38,50,30,39,47,48,40,35,73,22,53,49,59,73,44,41
