team,points,date
Leverkusen,0,2010-01-14
Dortmund,3,2010-01-14
Schalke,0,2010-01-15
Hamburger SV,3,2010-01-15
Bremen,3,2010-01-15
Hoffenheim,0,2010-01-15
Nurnberg,0,2010-01-15
Monchengladbach,3,2010-01-15
St. Pauli,1,2010-01-15
Freiburg,1,2010-01-15
Stuttgart,3,2010-01-15
Mainz,0,2010-01-15
Wolfsburg,1,2010-01-15
Bayern,1,2010-01-15
Kaiserslautern,1,2010-01-16
FC Koln,1,2010-01-16
Frankfurt,0,2010-01-16
Hannover,3,2010-01-16
Hamburger SV,3,2010-01-21
Frankfurt,0,2010-01-21
FC Koln,3,2010-01-22
Bremen,0,2010-01-22
Bayern,3,2010-01-22
Kaiserslautern,0,2010-01-22
Dortmund,1,2010-01-22
Stuttgart,1,2010-01-22
Freiburg,1,2010-01-22
Nurnberg,1,2010-01-22
Hannover,0,2010-01-22
Schalke,3,2010-01-22
Mainz,0,2010-01-22
Wolfsburg,3,2010-01-22
Hoffenheim,1,2010-01-23
St. Pauli,1,2010-01-23
Monchengladbach,0,2010-01-23
Leverkusen,3,2010-01-23
Leverkusen,3,2010-01-28
Hannover,0,2010-01-28
Kaiserslautern,0,2010-01-29
Mainz,3,2010-01-29
Bremen,0,2010-01-29
Bayern,3,2010-01-29
Nurnberg,3,2010-01-29
Hamburger SV,0,2010-01-29
Schalke,0,2010-01-29
Hoffenheim,3,2010-01-29
St. Pauli,3,2010-01-29
FC Koln,0,2010-01-29
Wolfsburg,0,2010-01-29
Dortmund,3,2010-01-29
Frankfurt,0,2010-01-30
Monchengladbach,3,2010-01-30
Stuttgart,0,2010-01-30
Freiburg,3,2010-01-30
Dortmund,1,2010-02-04
Schalke,1,2010-02-04
Monchengladbach,0,2010-02-05
Stuttgart,3,2010-02-05
FC Koln,3,2010-02-05
Bayern,0,2010-02-05
Hannover,3,2010-02-05
Wolfsburg,0,2010-02-05
Hoffenheim,3,2010-02-05
Kaiserslautern,0,2010-02-05
Mainz,1,2010-02-05
Bremen,1,2010-02-05
Nurnberg,3,2010-02-05
Leverkusen,0,2010-02-05
Freiburg,1,2010-02-06
Frankfurt,1,2010-02-06
Kaiserslautern,1,2010-02-12
Dortmund,1,2010-02-12
Bayern,3,2010-02-12
Hoffenheim,0,2010-02-12
Frankfurt,0,2010-02-12
Leverkusen,3,2010-02-12
Schalke,3,2010-02-12
Freiburg,0,2010-02-12
St. Pauli,3,2010-02-12
Monchengladbach,0,2010-02-12
Stuttgart,0,2010-02-12
Nurnberg,3,2010-02-12
Wolfsburg,0,2010-02-12
Hamburger SV,3,2010-02-12
Bremen,1,2010-02-13
Hannover,1,2010-02-13
FC Koln,3,2010-02-13
Mainz,0,2010-02-13
Hamburger SV,0,2010-02-16
St. Pauli,3,2010-02-16
Nurnberg,3,2010-02-18
Frankfurt,0,2010-02-18
Mainz,0,2010-02-19
Bayern,3,2010-02-19
Dortmund,3,2010-02-19
St. Pauli,0,2010-02-19
Freiburg,3,2010-02-19
Wolfsburg,0,2010-02-19
Hamburger SV,3,2010-02-19
Bremen,0,2010-02-19
Hannover,3,2010-02-19
Kaiserslautern,0,2010-02-19
Hoffenheim,1,2010-02-19
FC Koln,1,2010-02-19
Monchengladbach,3,2010-02-20
