date,name,points
1971-02-01,K.R. Stackpole,141
1971-02-01,R. Illingworth,132
1971-02-01,A.A. Mallett,128
1971-02-01,K. Shuttleworth,90
1971-02-01,G.D. McKenzie,83
1971-02-01,A.L. Thomson,83
1971-02-01,J.A. Snow,71
1971-02-01,B.L. D'Oliveira,49
1971-02-01,P. Lever,43
1971-02-01,A.N. Connolly,40
1971-02-01,G.S. Chappell,0
1971-02-01,R.W. Marsh,0
1971-02-01,M.C. Cowdrey,0
1971-02-01,I.M. Chappell,0
1971-02-01,A.P.E. Knott,0
1971-02-01,K.W.R. Fletcher,0
1971-02-01,G. Boycott,0
1971-02-01,I.R. Redpath,0
1971-02-01,W.M. Lawry,0
1971-02-01,J.H. Hampshire,0
1971-02-01,J.H. Edrich,0
1971-02-01,K.D. Walters,0
1971-03-01,K.R. Stackpole,141
1971-03-01,R. Illingworth,132
1971-03-01,A.A. Mallett,128
1971-03-01,K. Shuttleworth,90
1971-03-01,G.D. McKenzie,83
1971-03-01,A.L. Thomson,83
1971-03-01,J.A. Snow,71
1971-03-01,B.L. D'Oliveira,49
1971-03-01,P. Lever,43
1971-03-01,A.N. Connolly,40
1971-03-01,G.S. Chappell,0
1971-03-01,R.W. Marsh,0
1971-03-01,M.C. Cowdrey,0
1971-03-01,I.M. Chappell,0
1971-03-01,A.P.E. Knott,0
1971-03-01,K.W.R. Fletcher,0
1971-03-01,G. Boycott,0
1971-03-01,I.R. Redpath,0
1971-03-01,W.M. Lawry,0
1971-03-01,J.H. Hampshire,0
1971-03-01,J.H. Edrich,0
1971-03-01,K.D. Walters,0
1971-04-01,K.R. Stackpole,141
1971-04-01,R. Illingworth,132
1971-04-01,A.A. Mallett,128
1971-04-01,K. Shuttleworth,90
1971-04-01,G.D. McKenzie,83
1971-04-01,A.L. Thomson,83
1971-04-01,J.A. Snow,71
1971-04-01,B.L. D'Oliveira,49
1971-04-01,P. Lever,43
1971-04-01,A.N. Connolly,40
1971-04-01,G.S. Chappell,0
1971-04-01,R.W. Marsh,0
1971-04-01,M.C. Cowdrey,0
1971-04-01,I.M. Chappell,0
