Date,Player,Points
1980-01-01,A.M.E. Roberts (WI),646
1980-01-01,C.M. Old (ENG),613
1980-01-01,R.G.D. Willis (ENG),612
1980-01-01,D.K. Lillee (AUS),567
1980-01-01,Sarfraz Nawaz (PAK),561
1980-01-01,I.T. Botham (ENG),525
1980-01-01,J. Garner (WI),514
1980-01-01,M.A. Holding (WI),501
1980-01-01,R.J. Hadlee (NZ),494
1980-01-01,M.H.N. Walker (AUS),491
1980-01-01,M. Hendrick (ENG),489
1980-01-01,D.L. Underwood (ENG),473
1980-01-01,C.E.H. Croft (WI),469
1980-01-01,G. Dymock (AUS),452
1980-01-01,J.K. Lever (ENG),451
1980-01-01,B.L. Cairns (NZ),446
1980-01-01,Imran Khan (PAK),425
1980-01-01,B.J. McKechnie (NZ),407
1980-01-01,Sikander Bakht (PAK),396
1980-01-01,L.S. Pascoe (AUS),394
1980-01-01,J.R. Thomson (AUS),373
1980-01-01,S. Venkataraghavan (IND),365
1980-01-01,G.R. Dilley (ENG),362
1980-01-01,P.H. Edmonds (ENG),343
1980-01-01,G.S. Chappell (AUS),341
1980-01-01,R.M. Hogg (AUS),327
1980-01-01,M. Amarnath (IND),321
1980-01-01,Majid Khan (PAK),307
1980-01-01,D.S. de Silva (SL),298
1980-01-01,G.B. Troup (NZ),293
1980-01-01,G. Miller (ENG),291
1980-01-01,C.L. King (WI),280
1980-01-01,D.R. Parry (WI),274
1980-01-01,Madan Lal (IND),272
1980-01-01,B. Wood (ENG),267
1980-01-01,K.D. Ghavri (IND),255
1980-01-01,P. Willey (ENG),253
1980-01-01,R.D. Jackman (ENG),251
1980-01-01,Javed Miandad (PAK),245
1980-01-01,I.V.A. Richards (WI),245
1980-01-01,Iqbal Qasim (PAK),244
1980-01-01,C.H. Lloyd (WI),241
1980-01-01,L.W. Kaluperuma (SL),236
1980-01-01,Mudassar Nazar (PAK),236
1980-01-01,Wasim Raja (PAK),226
1980-01-01,Kapil Dev (IND),221
1980-01-01,J.V. Coney (NZ),216
1980-01-01,G.A. Gooch (ENG),206
1980-01-01,A.R. Border (AUS),203
1980-01-01,B. Warnapura (SL),202
1980-01-01,G. Boycott (ENG),192
1980-01-01,R.J. Bright (AUS),188
1980-01-01,I.W. Callen (AUS),179
1980-01-01,K.D. Walters (AUS),178
1980-01-01,M.F. Malone (AUS),157
1980-01-01,G.R.A. de Silva (SL),138
1980-01-01,W.W. Daniel (WI),104
1980-01-01,G.N. Yallop (AUS),99
1980-01-01,A.N. Ranasinghe (SL),97
1980-01-01,E.J. Chatfield (NZ),80
1980-01-01,J.F.M. Morrison (NZ),56
1980-01-01,S.T. Clarke (WI),53
1980-01-01,Sadiq Mohammad (PAK),52
1980-01-01,B. Yardley (AUS),50
1980-01-01,I.M. Chappell (AUS),45
1980-01-01,S.L. Boock (NZ),31
1980-01-01,J.M. Wiener (AUS),28
1980-01-01,G.P. Howarth (NZ),27
1980-01-01,W. Larkins (ENG),26
1980-01-01,M.W. Gatting (ENG),21
1980-01-01,J.M. Parker (NZ),20
1980-01-01,H.A. Gomes (WI),20
1980-01-01,M.G. Burgess (NZ),19
1980-01-01,A.I. Kallicharran (WI),19
1980-01-01,S.M. Gavaskar (IND),18
1980-01-01,D.W. Hookes (AUS),16
1980-01-01,G.N. Edwards (NZ),9
1980-01-01,D. Lloyd (ENG),5
1980-01-01,D.W. Randall (ENG),4
1980-01-01,Zaheer Abbas (PAK),0
1980-01-01,B. Reddy (IND),0
1980-01-01,B.A. Edgar (NZ),0
1980-01-01,C.P.S. Chauhan (IND),0
1980-01-01,Yashpal Sharma (IND),0
1980-01-01,J.G. Wright (NZ),0
1980-01-01,G.M. Turner (NZ),0
1980-01-01,A.M.J. Hilditch (AUS),0
1980-01-01,L.R.D. Mendis (SL),0
