Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,,,
Australia,England,Australia,England,5 wickets,Melbourne,1/5/1971,ODI # 1,1,Australia,,,
England,Australia,England,Australia,6 wickets,Manchester,8/24/1972,ODI # 2,2,England,,,
England,Australia,Australia,England,5 wickets,Lord's,8/26/1972,ODI # 3,3,England,,,
England,Australia,England,Australia,2 wickets,Birmingham,8/28/1972,ODI # 4,4,England,,,
New Zealand,Australia,Australia,New Zealand,7 wickets,Dunedin,3/30/1974,ODI # 10,10,New Zealand,,,
New Zealand,Australia,Australia,New Zealand,31 runs,Christchurch,3/31/1974,ODI # 11,11,New Zealand,,,
Australia,England,England,Australia,3 wickets,Melbourne,1/1/1975,ODI # 16,16,Australia,,, 
Australia,Pakistan,Australia,Pakistan,73 runs,Leeds,6/7/1975,ODI # 21,21,England,,,
Australia,Sri Lanka,Australia,Sri Lanka,52 runs,The Oval,6/11/1975,ODI # 25,25,England,,,
Australia,West Indies,West Indies,Australia,7 wickets,The Oval,6/14/1975,ODI # 29,29,England,,,
England,Australia,Australia,England,4 wickets,Leeds,6/18/1975,ODI # 31,31,England,,,
Australia,West Indies,West Indies,Australia,17 runs,Lord's,6/21/1975,ODI # 33,33,England,,,
Australia,West Indies,Australia,West Indies,5 wickets,Adelaide,12/20/1975,ODI # 34,34,Australia,,,
England,Australia,England,Australia,2 wickets,Manchester,6/2/1977,ODI # 42,42,England,,,
England,Australia,England,Australia,101 runs,Birmingham,6/4/1977,ODI # 43,43,England,,,
England,Australia,Australia,England,2 wickets,The Oval,6/6/1977,ODI # 44,44,England,,,
West Indies,Australia,West Indies,Australia,44 runs,St John's,2/22/1978,ODI # 48,48,West Indies,,,
West Indies,Australia,Australia,West Indies,2 wickets,Castries,4/12/1978,ODI # 49,49,West Indies,,,
Australia,England,no result,Australia,,Sydney,1/13/1979,ODI # 57,57,Australia,,,
Australia,England,England,Australia,7 wickets,Melbourne,1/24/1979,ODI # 58,58,Australia,,,
Australia,England,Australia,England,4 wickets,Melbourne,2/4/1979,ODI # 59,59,Australia,,,
Australia,England,Australia,England,6 wickets,Melbourne,2/7/1979,ODI # 60,60,Australia,,,
England,Australia,England,Australia,6 wickets,Lord's,6/9/1979,ODI # 63,63,England,,,
Australia,Pakistan,Pakistan,Australia,89 runs,Nottingham,6/13/1979,ODI # 66,66,England,,,
Australia,Canada,Australia,Canada,7 wickets,Birmingham,6/16/1979,ODI # 70,70,England,,,
Australia,West Indies,Australia,West Indies,5 wickets,Sydney,11/27/1979,ODI # 75,75,Australia,,,
Australia,England,England,Australia,3 wickets,Melbourne,12/8/1979,ODI # 77,77,Australia,,,
Australia,West Indies,West Indies,Australia,80 runs,Melbourne,12/9/1979,ODI # 78,78,Australia,,,
Australia,England,England,Australia,72 runs,Sydney,12/11/1979,ODI # 79,79,Australia,,,
Australia,West Indies,Australia,West Indies,7 runs,Sydney,12/21/1979,ODI # 80,80,Australia,,,
Australia,England,England,Australia,4 wickets,Sydney,12/26/1979,ODI # 82,82,Australia,,,
Australia,England,England,Australia,2 wickets,Sydney,1/14/1980,ODI # 83,83,Australia,,,
Australia,West Indies,Australia,West Indies,9 runs,Sydney,1/18/1980,ODI # 85,85,Australia,,,
England,Australia,England,Australia,23 runs,The Oval,8/20/1980,ODI # 91,91,England,,,
England,Australia,England,Australia,47 runs,Birmingham,8/22/1980,ODI # 92,92,England,,,
Australia,New Zealand,New Zealand,Australia,3 wickets,Adelaide,11/23/1980,ODI # 94,94,Australia,,,
Australia,New Zealand,Australia,New Zealand,94 runs,Sydney,11/25/1980,ODI # 95,95,Australia,,,
Australia,India,India,Australia,66 runs,Melbourne,12/6/1980,ODI # 97,97,Australia,,,
Australia,New Zealand,Australia,New Zealand,4 wickets,Melbourne,12/7/1980,ODI # 98,98,Australia,,,
Australia,India,Australia,India,9 wickets,Sydney,12/18/1980,ODI # 100,100,Australia,,,
Australia,India,Australia,India,9 wickets,Sydney,1/8/1981,ODI # 104,104,Australia,,,
Australia,India,Australia,India,7 wickets,Melbourne,1/11/1981,ODI # 106,106,Australia,,,
Australia,New Zealand,New Zealand,Australia,1 run,Sydney,1/13/1981,ODI # 107,107,Australia,,,
Australia,India,Australia,India,27 runs,Sydney,1/15/1981,ODI # 108,108,Australia,,,
Australia,New Zealand,no result,Australia,,Sydney,1/21/1981,ODI # 110,110,Australia,,,
Australia,New Zealand,New Zealand,Australia,78 runs,Sydney,1/29/1981,ODI # 111,111,Australia,,,
Australia,New Zealand,Australia,New Zealand,7 wickets,Melbourne,1/31/1981,ODI # 112,112,Australia,,,
Australia,New Zealand,Australia,New Zealand,6 runs,Melbourne,2/1/1981,ODI # 113,113,Australia,,,
Australia,New Zealand,Australia,New Zealand,6 wickets,Sydney,2/3/1981,ODI # 114,114,Australia,,,
England,Australia,England,Australia,6 wickets,Lord's,6/4/1981,ODI # 119,119,England,,,
England,Australia,Australia,England,2 runs,Birmingham,6/6/1981,ODI # 120,120,England,,,
England,Australia,Australia,England,71 runs,Leeds,6/8/1981,ODI # 121,121,England,,,
