Team1,Team2,Winner,Result,Venue,Date,Type
RCB,KKR,KKR,140 runs,Bengaluru,2008-04-18,T20
Kings XI,Super Kings,Super Kings,33 runs,Mohali,2008-04-19,T20
Daredevils,Royals,Daredevils,9 wickets,Delhi,2008-04-19,T20
KKR,Chargers,KKR,5 wickets,Eden Gardens,2008-04-20,T20
Mumbai,RCB,RCB,5 wickets,Wankhede,2008-04-20,T20
Royals,Kings XI,Royals,6 wickets,Jaipur,2008-04-21,T20
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad (Deccan),2008-04-22,T20
Super Kings,Mumbai,Super Kings,6 runs,Chennai,2008-04-23,T20
Chargers,Royals,Royals,3 wickets,Hyderabad (Deccan),2008-04-24,T20
Kings XI,Mumbai,Kings XI,66 runs,Mohali,2008-04-25,T20
Super Kings,KKR,Super Kings,9 wickets,Chennai,2008-04-26,T20
RCB,Royals,Royals,7 wickets,Bengaluru,2008-04-26,T20
Kings XI,Daredevils,Kings XI,4 wickets,Mohali,2008-04-27,T20
Mumbai,Chargers,Chargers,10 wickets,DY Patil,2008-04-27,T20
RCB,Super Kings,Super Kings,13 runs,Bengaluru,2008-04-28,T20
KKR,Mumbai,Mumbai,7 wickets,Eden Gardens,2008-04-29,T20
Daredevils,RCB,Daredevils,10 runs,Delhi,2008-04-30,T20
Royals,KKR,Royals,45 runs,Jaipur,2008-05-01,T20
Chargers,Kings XI,Kings XI,7 wickets,Hyderabad (Deccan),2008-05-01,T20
Super Kings,Daredevils,Daredevils,8 wickets,Chennai,2008-05-02,T20
RCB,Chargers,RCB,3 runs,Bengaluru,2008-05-03,T20
Kings XI,KKR,Kings XI,9 runs,Mohali,2008-05-03,T20
Mumbai,Daredevils,Mumbai,29 runs,DY Patil,2008-05-04,T20
Royals,Super Kings,Royals,8 wickets,Jaipur,2008-05-04,T20
RCB,Kings XI,Kings XI,6 wickets,Bengaluru,2008-05-05,T20
Super Kings,Chargers,Chargers,7 wickets,Chennai,2008-05-06,T20
Mumbai,Royals,Mumbai,7 wickets,DY Patil,2008-05-07,T20
Daredevils,Super Kings,Super Kings,4 wickets,Delhi,2008-05-08,T20
KKR,RCB,KKR,5 runs,Eden Gardens,2008-05-08,T20
Royals,Chargers,Royals,8 wickets,Jaipur,2008-05-09,T20
Super Kings,Kings XI,Super Kings,18 runs,Chennai,2008-05-10,T20
Chargers,KKR,KKR,23 runs,Hyderabad (Deccan),2008-05-11,T20
Royals,Daredevils,Royals,3 wickets,Jaipur,2008-05-11,T20
Kings XI,RCB,Kings XI,9 wickets,Mohali,2008-05-12,T20
KKR,Daredevils,KKR,23 runs,Eden Gardens,2008-05-13,T20
Mumbai,Super Kings,Mumbai,9 wickets,Wankhede,2008-05-14,T20
Daredevils,Chargers,Daredevils,12 runs,Delhi,2008-05-15,T20
Mumbai,KKR,Mumbai,8 wickets,Wankhede,2008-05-16,T20
Royals,RCB,Royals,65 runs,Jaipur,2008-05-17,T20
Daredevils,Kings XI,Kings XI,6 runs,Delhi,2008-05-17,T20
KKR,Super Kings,Super Kings,3 runs,Eden Gardens,2008-05-18,T20
Chargers,Mumbai,Mumbai,25 runs,Hyderabad (Deccan),2008-05-18,T20
RCB,Daredevils,Daredevils,5 wickets,Bengaluru,2008-05-19,T20
