,Australia,England,New Zealand,Pakistan,West Indies,India,Sri Lanka,South Africa,Zimbabwe,Bangladesh,Ireland,Canada,Scotland,Afghanistan,Netherlands,East Africa,U.A.E.,Kenya,Namibia
1971-01-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-08-24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-08-26,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-08-28,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-07-18,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-07-20,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-09-05,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973-09-07,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-07-13,2,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-07-15,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-08-31,2,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-09-03,2,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-01-01,3,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-03-08,3,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-03-09,3,6,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-06-07,3,6,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-06-11,3,6,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1975-06-14,3,6,4,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1975-06-18,3,7,4,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1976-08-26,3,8,4,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1976-08-28,3,9,4,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0
