,England,East Africa,India,New Zealand,Pakistan,Australia,West Indies,Sri Lanka,Bangladesh,Zimbabwe,South Africa,U.A.E.,Kenya,Bermuda,Ireland,Scotland,Hong Kong,Afghanistan,Netherlands,Namibia
7/13/1974,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/1974,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/7/1975,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/1975,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/14/1975,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/1976,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/1976,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/1978,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/1978,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/3/1978,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/9/1979,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/13/1979,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/16/1979,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/1980,0,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/9/1980,0,1,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/1980,0,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/1980,0,1,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/23/1980,0,1,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/1981,0,1,14,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
