Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,India
England,India,England,India,4 wickets,Leeds,7/13/1974,ODI # 12,12,England,India
England,India,England,India,6 wickets,The Oval,7/15/1974,ODI # 13,13,England,India
England,India,England,India,202 runs,Lord's,6/7/1975,ODI # 19,19,England,India
East Africa,India,India,East Africa,10 wickets,Leeds,6/11/1975,ODI # 24,24,England,India
India,New Zealand,New Zealand,India,4 wickets,Manchester,6/14/1975,ODI # 28,28,England,India
New Zealand,India,New Zealand,India,9 wickets,Christchurch,2/21/1976,ODI # 35,35,New Zealand,India
New Zealand,India,New Zealand,India,80 runs,Auckland,2/22/1976,ODI # 36,36,New Zealand,India
Pakistan,India,India,Pakistan,4 runs,Quetta,10/1/1978,ODI # 54,54,Pakistan,India
Pakistan,India,Pakistan,India,8 wickets,Sialkot,10/13/1978,ODI # 55,55,Pakistan,India
Pakistan,India,Pakistan,India,,Sahiwal,11/3/1978,ODI # 56,56,Pakistan,India
India,West Indies,West Indies,India,9 wickets,Birmingham,6/9/1979,ODI # 61,61,England,India
India,New Zealand,New Zealand,India,8 wickets,Leeds,6/13/1979,ODI # 65,65,England,India
India,Sri Lanka,Sri Lanka,India,47 runs,Manchester,6/16/1979,ODI # 68,68,England,India
Australia,India,India,Australia,66 runs,Melbourne,12/6/1980,ODI # 97,97,Australia,India
India,New Zealand,India,New Zealand,5 runs,Perth,12/9/1980,ODI # 99,99,Australia,India
Australia,India,Australia,India,9 wickets,Sydney,12/18/1980,ODI # 100,100,Australia,India
India,New Zealand,New Zealand,India,3 wickets,Brisbane,12/21/1980,ODI # 102,102,Australia,India
India,New Zealand,India,New Zealand,6 runs,Adelaide,12/23/1980,ODI # 103,103,Australia,India
Australia,India,Australia,India,9 wickets,Sydney,1/8/1981,ODI # 104,104,Australia,India
India,New Zealand,New Zealand,India,10 wickets,Melbourne,1/10/1981,ODI # 105,105,Australia,India
Australia,India,Australia,India,7 wickets,Melbourne,1/11/1981,ODI # 106,106,Australia,India
Australia,India,Australia,India,27 runs,Sydney,1/15/1981,ODI # 108,108,Australia,India
India,New Zealand,New Zealand,India,22 runs,Brisbane,1/18/1981,ODI # 109,109,Australia,India
New Zealand,India,New Zealand,India,78 runs,Auckland,2/14/1981,ODI # 116,116,New Zealand,India
New Zealand,India,New Zealand,India,57 runs,Hamilton,2/15/1981,ODI # 117,117,New Zealand,India
India,England,England,India,5 wickets,Ahmedabad,11/25/1981,ODI # 125,125,India,India
