Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,22 runs,Christchurch,2/11/1973,ODI # 5,5,New Zealand,New Zealand
England,New Zealand,England,New Zealand,7 wickets,Swansea,7/18/1973,ODI # 6,6,Wales,New Zealand
England,New Zealand,no result,England,,Manchester,7/20/1973,ODI # 7,7,England,New Zealand
New Zealand,Australia,Australia,New Zealand,7 wickets,Dunedin,3/30/1974,ODI # 10,10,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,31 runs,Christchurch,3/31/1974,ODI # 11,11,New Zealand,New Zealand
New Zealand,England,no result,New Zealand,,Dunedin,3/8/1975,ODI # 17,17,New Zealand,New Zealand
New Zealand,England,no result,New Zealand,,Wellington,3/9/1975,ODI # 18,18,New Zealand,New Zealand
East Africa,New Zealand,New Zealand,East Africa,181 runs,Birmingham,6/7/1975,ODI # 20,20,England,New Zealand
England,New Zealand,England,New Zealand,80 runs,Nottingham,6/11/1975,ODI # 23,23,England,New Zealand
India,New Zealand,New Zealand,India,4 wickets,Manchester,6/14/1975,ODI # 28,28,England,New Zealand
New Zealand,West Indies,West Indies,New Zealand,5 wickets,The Oval,6/18/1975,ODI # 32,32,England,New Zealand
New Zealand,India,New Zealand,India,9 wickets,Christchurch,2/21/1976,ODI # 35,35,New Zealand,New Zealand
New Zealand,India,New Zealand,India,80 runs,Auckland,2/22/1976,ODI # 36,36,New Zealand,New Zealand
Pakistan,New Zealand,New Zealand,Pakistan,1 run,Sialkot,10/16/1976,ODI # 40,40,Pakistan,New Zealand
England,New Zealand,England,New Zealand,19 runs,Scarborough,7/15/1978,ODI # 52,52,England,New Zealand
England,New Zealand,England,New Zealand,126 runs,Manchester,7/17/1978,ODI # 53,53,England,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,9 wickets,Nottingham,6/9/1979,ODI # 62,62,England,New Zealand
India,New Zealand,New Zealand,India,8 wickets,Leeds,6/13/1979,ODI # 65,65,England,New Zealand
New Zealand,West Indies,West Indies,New Zealand,32 runs,Nottingham,6/16/1979,ODI # 69,69,England,New Zealand
England,New Zealand,England,New Zealand,9 runs,Manchester,6/20/1979,ODI # 72,72,England,New Zealand
New Zealand,West Indies,New Zealand,West Indies,1 wicket,Christchurch,2/6/1980,ODI # 88,88,New Zealand,New Zealand
Australia,New Zealand,New Zealand,Australia,3 wickets,Adelaide,11/23/1980,ODI # 94,94,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,94 runs,Sydney,11/25/1980,ODI # 95,95,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,4 wickets,Melbourne,12/7/1980,ODI # 98,98,Australia,New Zealand
India,New Zealand,India,New Zealand,5 runs,Perth,12/9/1980,ODI # 99,99,Australia,New Zealand
India,New Zealand,New Zealand,India,3 wickets,Brisbane,12/21/1980,ODI # 102,102,Australia,New Zealand
India,New Zealand,India,New Zealand,6 runs,Adelaide,12/23/1980,ODI # 103,103,Australia,New Zealand
India,New Zealand,New Zealand,India,10 wickets,Melbourne,1/10/1981,ODI # 105,105,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,1 run,Sydney,1/13/1981,ODI # 107,107,Australia,New Zealand
India,New Zealand,New Zealand,India,22 runs,Brisbane,1/18/1981,ODI # 109,109,Australia,New Zealand
Australia,New Zealand,no result,Australia,,Sydney,1/21/1981,ODI # 110,110,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,78 runs,Sydney,1/29/1981,ODI # 111,111,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,7 wickets,Melbourne,1/31/1981,ODI # 112,112,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,6 runs,Melbourne,2/1/1981,ODI # 113,113,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,6 wickets,Sydney,2/3/1981,ODI # 114,114,Australia,New Zealand
New Zealand,India,New Zealand,India,78 runs,Auckland,2/14/1981,ODI # 116,116,New Zealand,New Zealand
New Zealand,India,New Zealand,India,57 runs,Hamilton,2/15/1981,ODI # 117,117,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,46 runs,Auckland,2/13/1982,ODI # 144,144,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,6 wickets,Dunedin,2/17/1982,ODI # 147,147,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,8 wickets,Wellington,2/20/1982,ODI # 148,148,New Zealand,New Zealand
Australia,New Zealand,Australia,New Zealand,8 wickets,Melbourne,1/9/1983,ODI # 165,165,Australia,New Zealand
England,New Zealand,New Zealand,England,2 runs,Melbourne,1/13/1983,ODI # 167,167,Australia,New Zealand
England,New Zealand,England,New Zealand,54 runs,Brisbane,1/15/1983,ODI # 168,168,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,47 runs,Sydney,1/18/1983,ODI # 170,170,Australia,New Zealand
England,New Zealand,England,New Zealand,8 wickets,Sydney,1/20/1983,ODI # 171,171,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,58 runs,Melbourne,1/22/1983,ODI # 173,173,Australia,New Zealand
