,New Zealand,England,Australia,Pakistan,West Indies,Canada,India,Sri Lanka,Bangladesh,South Africa,Zimbabwe,U.A.E.,Kenya,Netherlands,Namibia,Hong Kong,Scotland,Ireland,Afghanistan
2/11/1973,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/1974,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/1974,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/7/1975,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/1975,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/14/1975,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10/16/1976,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3/16/1977,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12/23/1977,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12/30/1977,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1/13/1978,0,3,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5/24/1978,0,3,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5/26/1978,0,3,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10/1/1978,0,3,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10/13/1978,0,3,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11/3/1978,0,3,0,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
6/9/1979,0,3,0,10,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
6/13/1979,0,3,1,10,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
6/16/1979,0,3,1,11,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
6/20/1979,0,3,1,12,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
11/21/1980,0,3,1,13,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
12/5/1980,0,3,1,14,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
12/19/1980,0,3,1,15,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
11/21/1981,0,3,1,16,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
11/22/1981,0,3,2,16,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
12/5/1981,0,3,2,16,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
12/6/1981,0,3,2,17,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
12/17/1981,0,3,3,17,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
12/19/1981,0,3,3,18,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
1/9/1982,0,3,4,18,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
1/12/1982,0,3,4,19,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
1/14/1982,0,3,4,20,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
1/16/1982,0,3,4,21,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
3/12/1982,0,3,4,21,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
3/29/1982,0,3,4,22,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
3/31/1982,0,3,4,22,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
7/17/1982,0,3,4,23,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
7/19/1982,0,3,4,24,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
9/20/1982,0,3,5,24,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
10/8/1982,0,3,6,24,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
10/22/1982,0,3,6,25,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0
12/3/1982,0,3,6,25,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0
12/17/1982,0,3,6,25,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0
12/31/1982,0,3,6,26,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0
1/21/1983,0,3,6,26,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0
6/9/1983,0,3,6,26,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0
6/11/1983,0,3,6,27,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0
6/13/1983,0,3,6,28,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0
6/16/1983,0,3,6,28,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0
6/18/1983,0,3,6,29,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0
6/20/1983,1,3,6,29,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0
6/22/1983,1,3,6,30,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0
9/10/1983,1,3,6,31,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0
10/2/1983,1,3,6,32,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0
1/10/1984,1,3,6,33,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0
1/12/1984,1,3,6,33,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
1/14/1984,1,3,6,34,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
1/15/1984,1,3,7,34,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
1/19/1984,1,3,7,35,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
1/21/1984,1,3,7,36,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
1/25/1984,1,3,7,37,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
1/28/1984,1,3,7,38,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
1/30/1984,1,3,7,39,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
2/4/1984,1,3,7,40,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
3/9/1984,1,4,7,40,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
3/26/1984,1,4,7,41,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
4/6/1984,1,4,7,42,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
4/13/1984,1,4,7,43,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0
10/12/1984,1,4,7,43,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
10/31/1984,1,4,7,44,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
11/12/1984,2,4,7,44,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
11/23/1984,3,4,7,44,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
12/2/1984,3,4,7,45,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
12/7/1984,4,4,7,45,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
1/12/1985,4,4,7,46,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
1/15/1985,4,4,7,47,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
2/6/1985,4,4,7,48,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
2/16/1985,5,4,7,48,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
2/20/1985,5,4,7,49,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
2/24/1985,5,4,8,49,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
3/2/1985,5,5,8,49,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0
3/6/1985,5,5,8,49,3,1,6,5,0,0,0,0,0,0,0,0,0,0,0
3/10/1985,5,5,8,50,3,1,6,5,0,0,0,0,0,0,0,0,0,0,0
