Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Pakistan
New Zealand,Pakistan,New Zealand,Pakistan,22 runs,Christchurch,2/11/1973,ODI # 5,5,New Zealand,Pakistan
England,Pakistan,Pakistan,England,7 wickets,Nottingham,8/31/1974,ODI # 14,14,England,Pakistan
England,Pakistan,Pakistan,England,8 wickets,Birmingham,9/3/1974,ODI # 15,15,England,Pakistan
Australia,Pakistan,Australia,Pakistan,73 runs,Leeds,6/7/1975,ODI # 21,21,England,Pakistan
Pakistan,West Indies,West Indies,Pakistan,1 wicket,Birmingham,6/11/1975,ODI # 26,26,England,Pakistan
Pakistan,Sri Lanka,Pakistan,Sri Lanka,192 runs,Nottingham,6/14/1975,ODI # 30,30,England,Pakistan
Pakistan,New Zealand,New Zealand,Pakistan,1 run,Sialkot,10/16/1976,ODI # 40,40,Pakistan,Pakistan
West Indies,Pakistan,West Indies,Pakistan,4 wickets,Albion,3/16/1977,ODI # 41,41,West Indies,Pakistan
Pakistan,England,England,Pakistan,3 wickets,Sahiwal,12/23/1977,ODI # 45,45,Pakistan,Pakistan
Pakistan,England,England,Pakistan,6 wickets,Sialkot,12/30/1977,ODI # 46,46,Pakistan,Pakistan
Pakistan,England,Pakistan,England,36 runs,Lahore,1/13/1978,ODI # 47,47,Pakistan,Pakistan
England,Pakistan,England,Pakistan,132 runs,Manchester,5/24/1978,ODI # 50,50,England,Pakistan
England,Pakistan,England,Pakistan,94 runs,The Oval,5/26/1978,ODI # 51,51,England,Pakistan
Pakistan,India,India,Pakistan,4 runs,Quetta,10/1/1978,ODI # 54,54,Pakistan,Pakistan
Pakistan,India,Pakistan,India,8 wickets,Sialkot,10/13/1978,ODI # 55,55,Pakistan,Pakistan
Pakistan,India,Pakistan,India,,Sahiwal,11/3/1978,ODI # 56,56,Pakistan,Pakistan
Canada,Pakistan,Pakistan,Canada,8 wickets,Leeds,6/9/1979,ODI # 64,64,England,Pakistan
Australia,Pakistan,Pakistan,Australia,89 runs,Nottingham,6/13/1979,ODI # 66,66,England,Pakistan
England,Pakistan,England,Pakistan,14 runs,Leeds,6/16/1979,ODI # 71,71,England,Pakistan
Pakistan,West Indies,West Indies,Pakistan,43 runs,The Oval,6/20/1979,ODI # 73,73,England,Pakistan
Pakistan,West Indies,West Indies,Pakistan,4 wickets,Karachi,11/21/1980,ODI # 93,93,Pakistan,Pakistan
Pakistan,West Indies,West Indies,Pakistan,7 wickets,Sialkot,12/5/1980,ODI # 96,96,Pakistan,Pakistan
Pakistan,West Indies,West Indies,Pakistan,7 runs,Lahore,12/19/1980,ODI # 101,101,Pakistan,Pakistan
Pakistan,West Indies,West Indies,Pakistan,18 runs,Melbourne,11/21/1981,ODI # 122,122,Australia,Pakistan
Australia,Pakistan,Pakistan,Australia,4 wickets,Melbourne,11/22/1981,ODI # 123,123,Australia,Pakistan
Pakistan,West Indies,Pakistan,West Indies,8 runs,Adelaide,12/5/1981,ODI # 126,126,Australia,Pakistan
Australia,Pakistan,Australia,Pakistan,38 runs,Adelaide,12/6/1981,ODI # 127,127,Australia,Pakistan
Australia,Pakistan,Pakistan,Australia,6 wickets,Sydney,12/17/1981,ODI # 128,128,Australia,Pakistan
Pakistan,West Indies,West Indies,Pakistan,7 wickets,Perth,12/19/1981,ODI # 129,129,Australia,Pakistan
Australia,Pakistan,Pakistan,Australia,25 runs,Melbourne,1/9/1982,ODI # 132,132,Australia,Pakistan
Pakistan,West Indies,West Indies,Pakistan,7 wickets,Sydney,1/12/1982,ODI # 134,134,Australia,Pakistan
Australia,Pakistan,Australia,Pakistan,76 runs,Sydney,1/14/1982,ODI # 135,135,Australia,Pakistan
Pakistan,West Indies,West Indies,Pakistan,1 wicket,Brisbane,1/16/1982,ODI # 136,136,Australia,Pakistan
Pakistan,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Karachi,3/12/1982,ODI # 149,149,Pakistan,Pakistan
