Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,9 wickets,Manchester,6/7/1975,ODI # 22,22,England,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,52 runs,The Oval,6/11/1975,ODI # 25,25,England,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,192 runs,Nottingham,6/14/1975,ODI # 30,30,England,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,9 wickets,Nottingham,6/9/1979,ODI # 62,62,England,Sri Lanka
India,Sri Lanka,Sri Lanka,India,47 runs,Manchester,6/16/1979,ODI # 68,68,England,Sri Lanka
Sri Lanka,England,England,Sri Lanka,5 runs,Colombo (SSC),2/13/1982,ODI # 145,145,Sri Lanka,Sri Lanka
Sri Lanka,England,Sri Lanka,England,3 runs,Colombo (SSC),2/14/1982,ODI # 146,146,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Karachi,3/12/1982,ODI # 149,149,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,30 runs,Lahore,3/29/1982,ODI # 150,150,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Karachi,3/31/1982,ODI # 151,151,Pakistan,Sri Lanka
India,Sri Lanka,India,Sri Lanka,78 runs,Amritsar,9/12/1982,ODI # 156,156,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Delhi,9/15/1982,ODI # 157,157,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Bengaluru,9/26/1982,ODI # 159,159,India,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,65 runs,Dunedin,3/2/1983,ODI # 186,186,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Napier,3/19/1983,ODI # 189,189,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,116 runs,Auckland,3/20/1983,ODI # 190,190,New Zealand,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,2 wickets,Colombo (PSS),4/13/1983,ODI # 193,193,Sri Lanka,Sri Lanka
Sri Lanka,Australia,Sri Lanka,Australia,4 wickets,Colombo (PSS),4/16/1983,ODI # 194,194,Sri Lanka,Sri Lanka
Sri Lanka,Australia,no result,Sri Lanka,,Colombo (SSC),4/29/1983,ODI # 195,195,Sri Lanka,Sri Lanka
Sri Lanka,Australia,no result,Sri Lanka,,Colombo (SSC),4/30/1983,ODI # 196,196,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,50 runs,Swansea,6/9/1983,ODI # 198,198,Wales,Sri Lanka
England,Sri Lanka,England,Sri Lanka,47 runs,Taunton,6/11/1983,ODI # 201,201,England,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Bristol,6/13/1983,ODI # 206,206,England,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,11 runs,Leeds,6/16/1983,ODI # 211,211,England,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,New Zealand,3 wickets,Derby,6/18/1983,ODI # 214,214,England,Sri Lanka
England,Sri Lanka,England,Sri Lanka,9 wickets,Leeds,6/20/1983,ODI # 217,217,England,Sri Lanka
Sri Lanka,New Zealand,New Zealand,Sri Lanka,104 runs,Colombo (SSC),3/3/1984,ODI # 253,253,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,41 runs,Moratuwa,3/31/1984,ODI # 257,257,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,New Zealand,Sri Lanka,86 runs,Colombo (PSS),4/1/1984,ODI # 258,258,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,5 wickets,Sharjah,4/6/1984,ODI # 259,259,United Arab Emirates,Sri Lanka
India,Sri Lanka,India,Sri Lanka,10 wickets,Sharjah,4/8/1984,ODI # 260,260,United Arab Emirates,Sri Lanka
Sri Lanka,New Zealand,Sri Lanka,New Zealand,4 wickets,Colombo (PSS),11/3/1984,ODI # 274,274,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,New Zealand,Sri Lanka,7 wickets,Moratuwa,11/4/1984,ODI # 275,275,Sri Lanka,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,6 wickets,Sydney,1/8/1985,ODI # 283,283,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,8 wickets,Hobart,1/10/1985,ODI # 284,284,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,90 runs,Brisbane,1/12/1985,ODI # 286,286,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,65 runs,Sydney,1/17/1985,ODI # 290,290,Australia,Sri Lanka
Australia,Sri Lanka,Sri Lanka,Australia,4 wickets,Melbourne,1/19/1985,ODI # 291,291,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,3 wickets,Sydney,1/23/1985,ODI # 294,294,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,8 wickets,Adelaide,1/26/1985,ODI # 296,296,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,232 runs,Adelaide,1/28/1985,ODI # 299,299,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,82 runs,Perth,2/2/1985,ODI # 300,300,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,9 wickets,Perth,2/3/1985,ODI # 301,301,Australia,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,51 runs,Melbourne,2/23/1985,ODI # 310,310,Australia,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,8 wickets,Melbourne,2/27/1985,ODI # 313,313,Australia,Sri Lanka
Sri Lanka,India,India,Sri Lanka,2 wickets,Colombo (SSC),8/25/1985,ODI # 332,332,Sri Lanka,Sri Lanka
Sri Lanka,India,Sri Lanka,India,14 runs,Colombo (PSS),9/21/1985,ODI # 333,333,Sri Lanka,Sri Lanka
Sri Lanka,India,no result,Sri Lanka,,Colombo (PSS),9/22/1985,ODI # 334,334,Sri Lanka,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Peshawar,10/13/1985,ODI # 335,335,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,15 runs,Gujranwala,10/23/1985,ODI # 336,336,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,5 wickets,Lahore,10/25/1985,ODI # 337,337,Pakistan,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,89 runs,Hyderabad (Sind),11/3/1985,ODI # 338,338,India,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,8 wickets,Kandy,3/2/1986,ODI # 365,365,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,no result,Sri Lanka,,Moratuwa,3/8/1986,ODI # 367,367,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,8 wickets,Colombo (SSC),3/11/1986,ODI # 368,368,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,81 runs,Colombo (PSS),3/30/1986,ODI # 374,374,Sri Lanka,Sri Lanka
Sri Lanka,Bangladesh,Sri Lanka,Bangladesh,7 wickets,Kandy,4/2/1986,ODI # 377,377,Sri Lanka,Sri Lanka
Sri Lanka,New Zealand,New Zealand,Sri Lanka,6 wickets,Colombo (RPS),4/5/1986,ODI # 378,378,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,5 wickets,Colombo (SSC),4/6/1986,ODI # 379,379,Sri Lanka,Sri Lanka
India,Sri Lanka,India,Sri Lanka,3 wickets,Sharjah,4/13/1986,ODI # 383,383,United Arab Emirates,Sri Lanka
India,Sri Lanka,India,Sri Lanka,7 wickets,Sharjah,11/27/1986,ODI # 401,401,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,4 wickets,Sharjah,12/2/1986,ODI # 404,404,United Arab Emirates,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,193 runs,Sharjah,12/3/1986,ODI # 405,405,United Arab Emirates,Sri Lanka
India,Sri Lanka,Sri Lanka,India,117 runs,Kanpur,12/24/1986,ODI # 407,407,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,8 wickets,Guwahati,1/11/1987,ODI # 415,415,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Delhi,1/13/1987,ODI # 416,416,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,94 runs,Vadodara,1/15/1987,ODI # 417,417,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,10 runs,Wankhede,1/17/1987,ODI # 419,419,India,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,15 runs,Hyderabad (Sind),10/8/1987,ODI # 451,451,India,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,191 runs,Karachi,10/13/1987,ODI # 457,457,Pakistan,Sri Lanka
England,Sri Lanka,England,Sri Lanka,108 runs,Peshawar,10/17/1987,ODI # 460,460,Pakistan,Sri Lanka
Sri Lanka,West Indies,West Indies,Sri Lanka,25 runs,Kanpur,10/21/1987,ODI # 464,464,India,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,113 runs,Faisalabad,10/25/1987,ODI # 467,467,Pakistan,Sri Lanka
England,Sri Lanka,England,Sri Lanka,8 wickets,Pune,10/30/1987,ODI # 472,472,India,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,81 runs,Perth,1/2/1988,ODI # 484,484,Australia,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,6 wickets,Sydney,1/5/1988,ODI # 486,486,Australia,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Adelaide,1/9/1988,ODI # 490,490,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,81 runs,Adelaide,1/10/1988,ODI # 491,491,Australia,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,New Zealand,4 wickets,Hobart,1/12/1988,ODI # 492,492,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,38 runs,Melbourne,1/14/1988,ODI # 493,493,Australia,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Brisbane,1/16/1988,ODI # 494,494,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,3 wickets,Sydney,1/19/1988,ODI # 496,496,Australia,Sri Lanka
India,Sri Lanka,India,Sri Lanka,18 runs,Sharjah,3/25/1988,ODI # 512,512,United Arab Emirates,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,99 runs,Sharjah,3/29/1988,ODI # 514,514,United Arab Emirates,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,43 runs,Sharjah,3/31/1988,ODI # 516,516,United Arab Emirates,Sri Lanka
England,Sri Lanka,England,Sri Lanka,5 wickets,The Oval,9/4/1988,ODI # 521,521,England,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,5 wickets,Dhaka,10/27/1988,ODI # 528,528,Bangladesh,Sri Lanka
India,Sri Lanka,Sri Lanka,India,17 runs,Dhaka,10/29/1988,ODI # 530,530,Bangladesh,Sri Lanka
Bangladesh,Sri Lanka,Sri Lanka,Bangladesh,9 wickets,Dhaka,11/2/1988,ODI # 533,533,Bangladesh,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 wickets,Dhaka,11/4/1988,ODI # 534,534,Bangladesh,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,30 runs,Sharjah,3/23/1989,ODI # 564,564,United Arab Emirates,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Sharjah,3/24/1989,ODI # 565,565,United Arab Emirates,Sri Lanka
England,Sri Lanka,England,Sri Lanka,5 wickets,Delhi,10/15/1989,ODI # 571,571,India,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,4 wickets,Rajkot,10/19/1989,ODI # 576,576,India,Sri Lanka
India,Sri Lanka,India,Sri Lanka,6 runs,Ahmedabad,10/22/1989,ODI # 580,580,India,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,28 runs,Margao,10/25/1989,ODI # 585,585,India,Sri Lanka
Pakistan,Sri Lanka,Pakistan,Sri Lanka,6 runs,Lucknow,10/27/1989,ODI # 588,588,India,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,30 runs,Melbourne,12/26/1989,ODI # 596,596,Australia,Sri Lanka
Australia,Sri Lanka,Australia,Sri Lanka,9 wickets,Perth,12/30/1989,ODI # 597,597,Australia,Sri Lanka
Pakistan,Sri Lanka,Sri Lanka,Pakistan,3 wickets,Perth,12/31/1989,ODI # 598,598,Australia,Sri Lanka
