,England,Sri Lanka,Pakistan,Australia,New Zealand,West Indies,India,South Africa,Kenya,Bangladesh,Scotland,Zimbabwe,Canada,Netherlands,Ireland,Bermuda,U.A.E.,P.N.G.,Afghanistan
9/5/1973,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9/7/1973,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/7/1975,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/11/1975,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/14/1975,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/18/1975,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/1975,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/1975,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8/26/1976,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/1976,3,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8/30/1976,4,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/1977,4,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/1978,4,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/1978,4,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6/9/1979,4,1,2,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6/16/1979,4,1,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6/20/1979,4,1,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6/23/1979,5,1,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
11/27/1979,5,1,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
11/28/1979,5,1,3,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0
12/9/1979,5,1,3,4,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0
