Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,West Indies
England,West Indies,England,West Indies,1 wicket,Leeds,9/5/1973,ODI # 8,8,England,West Indies
England,West Indies,West Indies,England,8 wickets,The Oval,9/7/1973,ODI # 9,9,England,West Indies
Sri Lanka,West Indies,West Indies,Sri Lanka,9 wickets,Manchester,6/7/1975,ODI # 22,22,England,West Indies
Pakistan,West Indies,West Indies,Pakistan,1 wicket,Birmingham,6/11/1975,ODI # 26,26,England,West Indies
Australia,West Indies,West Indies,Australia,7 wickets,The Oval,6/14/1975,ODI # 29,29,England,West Indies
New Zealand,West Indies,West Indies,New Zealand,5 wickets,The Oval,6/18/1975,ODI # 32,32,England,West Indies
Australia,West Indies,West Indies,Australia,17 runs,Lord's,6/21/1975,ODI # 33,33,England,West Indies
Australia,West Indies,Australia,West Indies,5 wickets,Adelaide,12/20/1975,ODI # 34,34,Australia,West Indies
England,West Indies,West Indies,England,6 wickets,Scarborough,8/26/1976,ODI # 37,37,England,West Indies
England,West Indies,West Indies,England,36 runs,Lord's,8/28/1976,ODI # 38,38,England,West Indies
England,West Indies,West Indies,England,50 runs,Birmingham,8/30/1976,ODI # 39,39,England,West Indies
West Indies,Pakistan,West Indies,Pakistan,4 wickets,Albion,3/16/1977,ODI # 41,41,West Indies,West Indies
West Indies,Australia,West Indies,Australia,44 runs,St John's,2/22/1978,ODI # 48,48,West Indies,West Indies
West Indies,Australia,Australia,West Indies,2 wickets,Castries,4/12/1978,ODI # 49,49,West Indies,West Indies
India,West Indies,West Indies,India,9 wickets,Birmingham,6/9/1979,ODI # 61,61,England,West Indies
New Zealand,West Indies,West Indies,New Zealand,32 runs,Nottingham,6/16/1979,ODI # 69,69,England,West Indies
Pakistan,West Indies,West Indies,Pakistan,43 runs,The Oval,6/20/1979,ODI # 73,73,England,West Indies
England,West Indies,West Indies,England,92 runs,Lord's,6/23/1979,ODI # 74,74,England,West Indies
Australia,West Indies,Australia,West Indies,5 wickets,Sydney,11/27/1979,ODI # 75,75,Australia,West Indies
England,West Indies,England,West Indies,2 runs,Sydney,11/28/1979,ODI # 76,76,Australia,West Indies
Australia,West Indies,West Indies,Australia,80 runs,Melbourne,12/9/1979,ODI # 78,78,Australia,West Indies
Australia,West Indies,Australia,West Indies,7 runs,Sydney,12/21/1979,ODI # 80,80,Australia,West Indies
England,West Indies,West Indies,England,9 wickets,Brisbane,12/23/1979,ODI # 81,81,Australia,West Indies
England,West Indies,West Indies,England,107 runs,Adelaide,1/16/1980,ODI # 84,84,Australia,West Indies
Australia,West Indies,Australia,West Indies,9 runs,Sydney,1/18/1980,ODI # 85,85,Australia,West Indies
England,West Indies,West Indies,England,2 runs,Melbourne,1/20/1980,ODI # 86,86,Australia,West Indies
England,West Indies,West Indies,England,8 wickets,Sydney,1/22/1980,ODI # 87,87,Australia,West Indies
New Zealand,West Indies,New Zealand,West Indies,1 wicket,Christchurch,2/6/1980,ODI # 88,88,New Zealand,West Indies
England,West Indies,West Indies,England,24 runs,Leeds,5/28/1980,ODI # 89,89,England,West Indies
England,West Indies,England,West Indies,3 wickets,Lord's,5/30/1980,ODI # 90,90,England,West Indies
Pakistan,West Indies,West Indies,Pakistan,4 wickets,Karachi,11/21/1980,ODI # 93,93,Pakistan,West Indies
Pakistan,West Indies,West Indies,Pakistan,7 wickets,Sialkot,12/5/1980,ODI # 96,96,Pakistan,West Indies
Pakistan,West Indies,West Indies,Pakistan,7 runs,Lahore,12/19/1980,ODI # 101,101,Pakistan,West Indies
West Indies,England,West Indies,England,2 runs,Kingstown,2/4/1981,ODI # 115,115,West Indies,West Indies
West Indies,England,West Indies,England,6 wickets,Albion,2/26/1981,ODI # 118,118,West Indies,West Indies
Pakistan,West Indies,West Indies,Pakistan,18 runs,Melbourne,11/21/1981,ODI # 122,122,Australia,West Indies
Australia,West Indies,Australia,West Indies,7 wickets,Sydney,11/24/1981,ODI # 124,124,Australia,West Indies
Pakistan,West Indies,Pakistan,West Indies,8 runs,Adelaide,12/5/1981,ODI # 126,126,Australia,West Indies
Pakistan,West Indies,West Indies,Pakistan,7 wickets,Perth,12/19/1981,ODI # 129,129,Australia,West Indies
Australia,West Indies,West Indies,Australia,8 wickets,Perth,12/20/1981,ODI # 130,130,Australia,West Indies
Australia,West Indies,West Indies,Australia,5 wickets,Melbourne,1/10/1982,ODI # 133,133,Australia,West Indies
Pakistan,West Indies,West Indies,Pakistan,7 wickets,Sydney,1/12/1982,ODI # 134,134,Australia,West Indies
Pakistan,West Indies,West Indies,Pakistan,1 wicket,Brisbane,1/16/1982,ODI # 136,136,Australia,West Indies
Australia,West Indies,West Indies,Australia,5 wickets,Brisbane,1/17/1982,ODI # 137,137,Australia,West Indies
Australia,West Indies,Australia,West Indies,5 runs,Sydney,1/19/1982,ODI # 138,138,Australia,West Indies
Australia,West Indies,West Indies,Australia,86 runs,Melbourne,1/23/1982,ODI # 139,139,Australia,West Indies
Australia,West Indies,West Indies,Australia,128 runs,Melbourne,1/24/1982,ODI # 140,140,Australia,West Indies
Australia,West Indies,Australia,West Indies,46 runs,Sydney,1/26/1982,ODI # 141,141,Australia,West Indies
Australia,West Indies,West Indies,Australia,18 runs,Sydney,1/27/1982,ODI # 142,142,Australia,West Indies
West Indies,India,West Indies,India,52 runs,Port of Spain,3/9/1983,ODI # 187,187,West Indies,West Indies
West Indies,India,India,West Indies,27 runs,Albion,3/29/1983,ODI # 191,191,West Indies,West Indies
West Indies,India,West Indies,India,7 wickets,St George's,4/7/1983,ODI # 192,192,West Indies,West Indies
India,West Indies,India,West Indies,34 runs,Manchester,6/9/1983,ODI # 200,200,England,West Indies
Australia,West Indies,West Indies,Australia,101 runs,Leeds,6/11/1983,ODI # 203,203,England,West Indies
West Indies,Zimbabwe,West Indies,Zimbabwe,8 wickets,Worcester,6/13/1983,ODI # 208,208,England,West Indies
India,West Indies,West Indies,India,66 runs,The Oval,6/15/1983,ODI # 210,210,England,West Indies
Australia,West Indies,West Indies,Australia,7 wickets,Lord's,6/18/1983,ODI # 215,215,England,West Indies
West Indies,Zimbabwe,West Indies,Zimbabwe,10 wickets,Birmingham,6/20/1983,ODI # 220,220,England,West Indies
Pakistan,West Indies,West Indies,Pakistan,8 wickets,The Oval,6/22/1983,ODI # 222,222,England,West Indies
India,West Indies,India,West Indies,43 runs,Lord's,6/25/1983,ODI # 223,223,England,West Indies
India,West Indies,West Indies,India,28 runs,Srinagar,10/13/1983,ODI # 226,226,India,West Indies
India,West Indies,West Indies,India,4 wickets,Vadodara,11/9/1983,ODI # 227,227,India,West Indies
India,West Indies,West Indies,India,8 wickets,Indore,12/1/1983,ODI # 228,228,India,West Indies
India,West Indies,West Indies,India,104 runs,Jamshedpur,12/7/1983,ODI # 229,229,India,West Indies
India,West Indies,West Indies,India,6 wickets,Guwahati,12/17/1983,ODI # 230,230,India,West Indies
Australia,West Indies,West Indies,Australia,27 runs,Melbourne,1/8/1984,ODI # 231,231,Australia,West Indies
Pakistan,West Indies,Pakistan,West Indies,97 runs,Melbourne,1/12/1984,ODI # 233,233,Australia,West Indies
Pakistan,West Indies,West Indies,Pakistan,5 wickets,Brisbane,1/14/1984,ODI # 234,234,Australia,West Indies
Australia,West Indies,West Indies,Australia,28 runs,Sydney,1/17/1984,ODI # 236,236,Australia,West Indies
Pakistan,West Indies,West Indies,Pakistan,5 wickets,Sydney,1/19/1984,ODI # 237,237,Australia,West Indies
Australia,West Indies,West Indies,Australia,26 runs,Melbourne,1/22/1984,ODI # 239,239,Australia,West Indies
Pakistan,West Indies,West Indies,Pakistan,1 wicket,Adelaide,1/28/1984,ODI # 241,241,Australia,West Indies
Australia,West Indies,West Indies,Australia,6 wickets,Adelaide,1/29/1984,ODI # 242,242,Australia,West Indies
Pakistan,West Indies,West Indies,Pakistan,7 wickets,Perth,2/4/1984,ODI # 244,244,Australia,West Indies
