Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Afghanistan
Afghanistan,Scotland,Afghanistan,Scotland,89 runs,Benoni,2009-04-19,ODI # 2842,2842,South Africa,Afghanistan
Netherlands,Afghanistan,Netherlands,Afghanistan,8 runs,Amstelveen,2009-08-30,ODI # 2880,2880,Netherlands,Afghanistan
Netherlands,Afghanistan,Afghanistan,Netherlands,6 wickets,Amstelveen,2009-09-01,ODI # 2881,2881,Netherlands,Afghanistan
Afghanistan,Canada,Afghanistan,Canada,1 run,Sharjah,2010-02-16,ODI # 2957,2957,United Arab Emirates,Afghanistan
Afghanistan,Canada,Canada,Afghanistan,4 wickets,Sharjah,2010-02-18,ODI # 2959,2959,United Arab Emirates,Afghanistan
Afghanistan,Canada,Afghanistan,Canada,6 wickets,The Hague,2010-07-01,ODI # 3005,3005,Netherlands,Afghanistan
Afghanistan,Ireland,Ireland,Afghanistan,39 runs,Rotterdam,2010-07-03,ODI # 3008,3008,Netherlands,Afghanistan
Afghanistan,Kenya,Afghanistan,Kenya,1 wicket,Amstelveen,2010-07-05,ODI # 3012,3012,Netherlands,Afghanistan
Netherlands,Afghanistan,Afghanistan,Netherlands,6 wickets,The Hague,2010-07-07,ODI # 3017,3017,Netherlands,Afghanistan
Afghanistan,Scotland,Scotland,Afghanistan,2 wickets,Rotterdam,2010-07-09,ODI # 3019,3019,Netherlands,Afghanistan
Netherlands,Afghanistan,Afghanistan,Netherlands,5 wickets,Rotterdam,2010-07-10,ODI # 3024,3024,Netherlands,Afghanistan
Scotland,Afghanistan,Afghanistan,Scotland,9 wickets,Ayr,2010-08-16,ODI # 3033,3033,Scotland,Afghanistan
Scotland,Afghanistan,Scotland,Afghanistan,6 wickets,Ayr,2010-08-17,ODI # 3035,3035,Scotland,Afghanistan
Kenya,Afghanistan,Kenya,Afghanistan,92 runs,Nairobi (Gym),2010-10-07,ODI # 3052,3052,Kenya,Afghanistan
Kenya,Afghanistan,Afghanistan,Kenya,6 wickets,Nairobi (Gym),2010-10-09,ODI # 3053,3053,Kenya,Afghanistan
Kenya,Afghanistan,Kenya,Afghanistan,8 wickets,Nairobi (Gym),2010-10-11,ODI # 3055,3055,Kenya,Afghanistan
Canada,Afghanistan,Afghanistan,Canada,2 wickets,King City (NW),2011-08-07,ODI # 3173,3173,Canada,Afghanistan
Canada,Afghanistan,Afghanistan,Canada,17 runs,Toronto,2011-08-09,ODI # 3174,3174,Canada,Afghanistan
Afghanistan,Pakistan,Pakistan,Afghanistan,7 wickets,Sharjah,2012-02-10,ODI # 3236,3236,United Arab Emirates,Afghanistan
Afghanistan,Netherlands,Netherlands,Afghanistan,9 wickets,Sharjah,2012-03-29,ODI # 3270,3270,United Arab Emirates,Afghanistan
Afghanistan,Netherlands,Afghanistan,Netherlands,5 wickets,Sharjah,2012-03-31,ODI # 3271,3271,United Arab Emirates,Afghanistan
Ireland,Afghanistan,Ireland,Afghanistan,59 runs,Dublin,2012-07-05,ODI # 3282,3282,Ireland,Afghanistan
Afghanistan,Australia,Australia,Afghanistan,66 runs,Sharjah,2012-08-25,ODI # 3297,3297,United Arab Emirates,Afghanistan
Afghanistan,Scotland,Afghanistan,Scotland,7 wickets,Sharjah,2013-03-06,ODI # 3341,3341,United Arab Emirates,Afghanistan
Afghanistan,Scotland,Afghanistan,Scotland,5 wickets,Sharjah,2013-03-08,ODI # 3342,3342,United Arab Emirates,Afghanistan
Afghanistan,Kenya,Afghanistan,Kenya,8 wickets,Sharjah,2013-10-02,ODI # 3417,3417,United Arab Emirates,Afghanistan
Afghanistan,Kenya,Afghanistan,Kenya,7 wickets,Sharjah,2013-10-04,ODI # 3418,3418,United Arab Emirates,Afghanistan
Afghanistan,Pakistan,Pakistan,Afghanistan,72 runs,Fatullah,2014-02-27,ODI # 3475,3475,Bangladesh,Afghanistan
Bangladesh,Afghanistan,Afghanistan,Bangladesh,32 runs,Fatullah,2014-03-01,ODI # 3478,3478,Bangladesh,Afghanistan
Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,129 runs,Mirpur,2014-03-03,ODI # 3481,3481,Bangladesh,Afghanistan
Afghanistan,India,India,Afghanistan,8 wickets,Mirpur,2014-03-05,ODI # 3483,3483,Bangladesh,Afghanistan
Afghanistan,Hong Kong,Afghanistan,Hong Kong,6 wickets,Kuala Lumpur,2014-05-01,ODI # 3487,3487,Indonesia,Afghanistan
Afghanistan,U.A.E.,Afghanistan,U.A.E.,70 runs,Kuala Lumpur,2014-05-02,ODI # 3488,3488,Indonesia,Afghanistan
Zimbabwe,Afghanistan,Zimbabwe,Afghanistan,6 wickets,Bulawayo,2014-07-18,ODI # 3503,3503,Zimbabwe,Afghanistan
Zimbabwe,Afghanistan,Zimbabwe,Afghanistan,8 wickets,Bulawayo,2014-07-20,ODI # 3504,3504,Zimbabwe,Afghanistan
Zimbabwe,Afghanistan,Afghanistan,Zimbabwe,2 wickets,Bulawayo,2014-07-22,ODI # 3505,3505,Zimbabwe,Afghanistan
Zimbabwe,Afghanistan,Afghanistan,Zimbabwe,100 runs,Bulawayo,2014-07-24,ODI # 3506,3506,Zimbabwe,Afghanistan
U.A.E.,Afghanistan,U.A.E.,Afghanistan,5 wickets,ICCA Dubai,2014-11-28,ODI # 3556,3556,United Arab Emirates,Afghanistan
U.A.E.,Afghanistan,U.A.E.,Afghanistan,6 wickets,ICCA Dubai,2014-11-30,ODI # 3558,3558,United Arab Emirates,Afghanistan
U.A.E.,Afghanistan,Afghanistan,U.A.E.,2 wickets,ICCA Dubai,2014-12-02,ODI # 3560,3560,United Arab Emirates,Afghanistan
U.A.E.,Afghanistan,U.A.E.,Afghanistan,30 runs,ICCA Dubai,2014-12-04,ODI # 3562,3562,United Arab Emirates,Afghanistan
Afghanistan,Scotland,Afghanistan,Scotland,8 wickets,ICCA Dubai,2015-01-08,ODI # 3572,3572,United Arab Emirates,Afghanistan
Afghanistan,Ireland,Ireland,Afghanistan,3 wickets,Dubai (DSC),2015-01-10,ODI # 3573,3573,United Arab Emirates,Afghanistan
Afghanistan,Scotland,Scotland,Afghanistan,150 runs,Abu Dhabi,2015-01-14,ODI # 3576,3576,United Arab Emirates,Afghanistan
Afghanistan,Ireland,Afghanistan,Ireland,71 runs,Dubai (DSC),2015-01-17,ODI # 3581,3581,United Arab Emirates,Afghanistan
Afghanistan,Bangladesh,Bangladesh,Afghanistan,105 runs,Canberra,2015-02-18,ODI # 3605,3605,Australia,Afghanistan
Afghanistan,Sri Lanka,Sri Lanka,Afghanistan,4 wickets,Dunedin,2015-02-22,ODI # 3609,3609,New Zealand,Afghanistan
Afghanistan,Scotland,Afghanistan,Scotland,1 wicket,Dunedin,2015-02-26,ODI # 3614,3614,New Zealand,Afghanistan
Australia,Afghanistan,Australia,Afghanistan,275 runs,Perth,2015-03-04,ODI # 3623,3623,Australia,Afghanistan
New Zealand,Afghanistan,New Zealand,Afghanistan,6 wickets,Napier,2015-03-08,ODI # 3628,3628,New Zealand,Afghanistan
