Team1,Team2,Winner,Result,Venue,Date,MatchNumber
New Zealand,Australia,Australia,44 runs,Auckland,2005-02-17,T20I # 1
England,Australia,England,100 runs,Southampton,2005-06-13,T20I # 2
South Africa,New Zealand,New Zealand,5 wickets,Johannesburg,2005-10-21,T20I # 3
Australia,South Africa,Australia,95 runs,Brisbane,2006-01-09,T20I # 4
New Zealand,West Indies,tied,,Auckland,2006-02-16,T20I # 5
South Africa,Australia,South Africa,2 runs,Johannesburg,2006-02-24,T20I # 6
England,Sri Lanka,Sri Lanka,2 runs,Southampton,2006-06-15,T20I # 7
England,Pakistan,Pakistan,5 wickets,Bristol,2006-08-28,T20I # 8
Bangladesh,Zimbabwe,Bangladesh,43 runs,Khulna,2006-11-28,T20I # 9
South Africa,India,India,6 wickets,Johannesburg,2006-12-01,T20I # 10
New Zealand,Sri Lanka,Sri Lanka,18 runs,Wellington,2006-12-22,T20I # 11
New Zealand,Sri Lanka,New Zealand,5 wickets,Auckland,2006-12-26,T20I # 12
Australia,England,Australia,77 runs,Sydney,2007-01-09,T20I # 13
South Africa,Pakistan,South Africa,10 wickets,Johannesburg,2007-02-02,T20I # 14
England,West Indies,West Indies,15 runs,The Oval,2007-06-28,T20I # 15
England,West Indies,England,5 wickets,The Oval,2007-06-29,T20I # 16
Kenya,Bangladesh,Bangladesh,5 wickets,Nairobi (Gym),2007-09-01,T20I # 17
Bangladesh,Pakistan,Pakistan,30 runs,Nairobi (Gym),2007-09-02,T20I # 18
Kenya,Pakistan,Pakistan,8 wickets,Nairobi (Gym),2007-09-04,T20I # 19
South Africa,West Indies,South Africa,8 wickets,Johannesburg,2007-09-11,T20I # 20
Kenya,New Zealand,New Zealand,9 wickets,Durban,2007-09-12,T20I # 21
Pakistan,Scotland,Pakistan,51 runs,Durban,2007-09-12,T20I # 22
Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,2007-09-12,T20I # 23
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,2007-09-13,T20I # 24
England,Zimbabwe,England,50 runs,Cape Town,2007-09-13,T20I # 25
India,Scotland,no result,,Durban,2007-09-13,T20I # 26
Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,2007-09-14,T20I # 27
Australia,England,Australia,8 wickets,Cape Town,2007-09-14,T20I # 28
India,Pakistan,tied,,Durban,2007-09-14,T20I # 29
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,2007-09-15,T20I # 30
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,2007-09-15,T20I # 31
India,New Zealand,New Zealand,10 runs,Johannesburg,2007-09-16,T20I # 32
Australia,Bangladesh,Australia,9 wickets,Cape Town,2007-09-16,T20I # 33
South Africa,England,South Africa,19 runs,Cape Town,2007-09-16,T20I # 34
Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,2007-09-17,T20I # 35
England,New Zealand,New Zealand,5 runs,Durban,2007-09-18,T20I # 36
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,2007-09-18,T20I # 37
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,2007-09-18,T20I # 38
South Africa,New Zealand,South Africa,6 wickets,Durban,2007-09-19,T20I # 39
England,India,India,18 runs,Durban,2007-09-19,T20I # 40
Australia,Sri Lanka,Australia,10 wickets,Cape Town,2007-09-20,T20I # 41
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,2007-09-20,T20I # 42
South Africa,India,India,37 runs,Durban,2007-09-20,T20I # 43
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,2007-09-22,T20I # 44
Australia,India,India,15 runs,Durban,2007-09-22,T20I # 45
India,Pakistan,India,5 runs,Johannesburg,2007-09-24,T20I # 46
India,Australia,India,7 wickets,Brabourne,2007-10-20,T20I # 47
South Africa,New Zealand,South Africa,3 wickets,Johannesburg,2007-11-23,T20I # 48
Australia,New Zealand,Australia,54 runs,Perth,2007-12-11,T20I # 49
South Africa,West Indies,West Indies,5 wickets,Gqeberha,2007-12-16,T20I # 50
South Africa,West Indies,South Africa,4 wickets,Johannesburg,2008-01-18,T20I # 51
Australia,India,Australia,9 wickets,Melbourne,2008-02-01,T20I # 52
New Zealand,England,England,32 runs,Auckland,2008-02-05,T20I # 53
New Zealand,England,England,50 runs,Christchurch,2008-02-07,T20I # 54
Pakistan,Bangladesh,Pakistan,102 runs,Karachi,2008-04-20,T20I # 55
England,New Zealand,England,9 wickets,Manchester,2008-06-13,T20I # 56
West Indies,Australia,West Indies,7 wickets,Bridgetown,2008-06-20,T20I # 57
Kenya,Netherlands,Netherlands,19 runs,Belfast,2008-08-02,T20I # 58
Ireland,Scotland,Ireland,4 wickets,Belfast,2008-08-02,T20I # 59
Canada,Netherlands,Canada,4 wickets,Belfast,2008-08-02,T20I # 60
Bermuda,Scotland,Scotland,8 wickets,Belfast,2008-08-03,T20I # 61
Canada,Kenya,Kenya,4 wickets,Belfast,2008-08-03,T20I # 62
