Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Afghanistan
Australia,England,Australia,England,5 wickets,Melbourne,1971-01-05,ODI # 1,1,Australia,
England,Australia,England,Australia,6 wickets,Manchester,1972-08-24,ODI # 2,2,England,
England,Australia,Australia,England,5 wickets,Lord's,1972-08-26,ODI # 3,3,England,
England,Australia,England,Australia,2 wickets,Birmingham,1972-08-28,ODI # 4,4,England,
New Zealand,Pakistan,New Zealand,Pakistan,22 runs,Christchurch,1973-02-11,ODI # 5,5,New Zealand,
England,New Zealand,England,New Zealand,7 wickets,Swansea,1973-07-18,ODI # 6,6,Wales,
England,New Zealand,no result,England,,Manchester,1973-07-20,ODI # 7,7,England,
England,West Indies,England,West Indies,1 wicket,Leeds,1973-09-05,ODI # 8,8,England,
England,West Indies,West Indies,England,8 wickets,The Oval,1973-09-07,ODI # 9,9,England,
New Zealand,Australia,Australia,New Zealand,7 wickets,Dunedin,1974-03-30,ODI # 10,10,New Zealand,
New Zealand,Australia,Australia,New Zealand,31 runs,Christchurch,1974-03-31,ODI # 11,11,New Zealand,
England,India,England,India,4 wickets,Leeds,1974-07-13,ODI # 12,12,England,
England,India,England,India,6 wickets,The Oval,1974-07-15,ODI # 13,13,England,
England,Pakistan,Pakistan,England,7 wickets,Nottingham,1974-08-31,ODI # 14,14,England,
England,Pakistan,Pakistan,England,8 wickets,Birmingham,1974-09-03,ODI # 15,15,England,
Australia,England,England,Australia,3 wickets,Melbourne,1975-01-01,ODI # 16,16,Australia,
New Zealand,England,no result,New Zealand,,Dunedin,1975-03-08,ODI # 17,17,New Zealand,
New Zealand,England,no result,New Zealand,,Wellington,1975-03-09,ODI # 18,18,New Zealand,
England,India,England,India,202 runs,Lord's,1975-06-07,ODI # 19,19,England,
East Africa,New Zealand,New Zealand,East Africa,181 runs,Birmingham,1975-06-07,ODI # 20,20,England,
Australia,Pakistan,Australia,Pakistan,73 runs,Leeds,1975-06-07,ODI # 21,21,England,
Sri Lanka,West Indies,West Indies,Sri Lanka,9 wickets,Manchester,1975-06-07,ODI # 22,22,England,
England,New Zealand,England,New Zealand,80 runs,Nottingham,1975-06-11,ODI # 23,23,England,
East Africa,India,India,East Africa,10 wickets,Leeds,1975-06-11,ODI # 24,24,England,
Australia,Sri Lanka,Australia,Sri Lanka,52 runs,The Oval,1975-06-11,ODI # 25,25,England,
Pakistan,West Indies,West Indies,Pakistan,1 wicket,Birmingham,1975-06-11,ODI # 26,26,England,
England,East Africa,England,East Africa,196 runs,Birmingham,1975-06-14,ODI # 27,27,England,
India,New Zealand,New Zealand,India,4 wickets,Manchester,1975-06-14,ODI # 28,28,England,
Australia,West Indies,West Indies,Australia,7 wickets,The Oval,1975-06-14,ODI # 29,29,England,
