,Aston Villa,Southampton,Chelsea,Derby,Everton,Leeds,Luton,Crystal Palace,Man Utd,Coventry,Norwich,Sunderland,Nottm Forest,QPR,Sheff Utd,Liverpool,Tottenham,Man City,Wimbledon FC,Arsenal
1990-08-25,1,1,3,0,0,3,1,1,3,0,3,0,1,1,0,3,3,0,0,3
1990-08-28,1,4,3,0,0,4,1,4,4,0,3,1,1,1,0,6,4,0,0,3
1990-08-29,1,4,3,1,0,4,1,4,4,3,3,1,1,1,1,6,4,0,3,6
1990-09-01,1,4,3,2,0,7,4,7,4,4,3,4,2,4,1,9,5,3,4,7
1990-09-04,1,4,3,2,0,7,4,7,7,4,3,4,2,4,1,9,5,3,4,7
1990-09-05,1,4,3,2,0,7,4,7,7,4,3,4,2,4,1,9,5,6,4,7
1990-09-08,4,4,6,2,1,7,7,10,10,4,3,4,5,4,2,12,8,7,4,8
1990-09-15,7,7,6,2,2,7,7,11,10,5,3,5,6,7,2,12,11,10,5,11
1990-09-16,7,7,6,2,2,7,7,11,10,5,3,5,6,7,2,15,11,10,5,11
1990-09-22,8,7,7,2,2,7,10,12,13,5,6,6,6,8,2,18,12,11,6,14
1990-09-23,8,7,7,2,2,10,10,12,13,5,6,6,6,8,2,18,12,11,6,14
1990-09-29,8,7,8,2,5,11,13,15,13,8,6,6,9,8,3,21,15,12,7,15
1990-10-06,11,8,9,2,5,12,13,16,13,8,6,6,9,9,3,24,16,15,10,18
1990-10-07,11,8,9,2,5,12,13,16,13,8,6,6,12,9,3,24,16,15,10,18
1990-10-20,12,11,10,3,6,12,13,17,13,8,7,9,13,12,3,25,19,16,11,21
1990-10-27,13,11,10,6,7,13,14,20,14,11,10,9,13,12,3,28,22,17,11,24
1990-11-03,13,12,13,9,10,16,14,20,17,11,13,10,13,12,3,28,22,18,12,27
1990-11-04,13,12,13,9,10,16,14,20,17,11,13,10,13,12,3,31,22,18,12,27
1990-11-10,14,15,14,10,11,16,14,21,18,12,14,11,14,12,4,34,25,18,12,28
1990-11-11,14,15,14,10,11,19,14,21,18,12,14,11,14,12,4,34,25,18,12,28
1990-11-17,14,15,14,10,11,22,15,24,21,12,17,11,17,12,4,37,25,19,15,31
1990-11-18,14,15,14,10,12,22,15,24,21,12,17,11,17,12,4,37,26,19,15,31
1990-11-24,14,15,14,13,12,23,18,27,21,13,17,14,17,12,4,38,29,20,18,34
1990-11-25,14,15,17,13,12,23,18,27,21,13,17,14,17,12,4,38,29,20,18,34
1990-12-01,17,15,20,16,12,26,19,30,24,13,17,14,18,12,4,38,29,23,21,34
1990-12-02,17,15,20,16,12,26,19,30,24,13,17,14,18,12,4,38,29,23,21,37
1990-12-08,17,15,23,16,15,27,20,30,25,13,20,15,18,12,4,38,30,23,24,38
1990-12-15,18,16,26,16,15,27,20,30,26,14,23,15,21,12,4,41,30,26,25,39
1990-12-16,18,16,26,16,15,30,20,33,26,14,23,15,21,12,4,41,30,26,25,39
1990-12-22,18,16,29,16,15,30,21,36,29,14,26,15,21,12,7,44,31,26,25,39
1990-12-23,19,16,29,17,15,33,21,36,29,14,26,15,21,13,7,44,31,26,25,40
1990-12-26,19,19,29,17,18,36,21,39,32,17,26,15,24,14,10,45,31,26,25,43
1990-12-29,20,22,29,17,21,39,24,39,33,20,26,15,24,17,10,45,31,29,25,46
1990-12-30,20,22,29,17,21,39,24,42,33,20,26,15,24,17,10,45,31,29,25,46
1991-01-01,23,22,29,18,24,39,24,42,36,21,26,18,24,17,13,48,31,29,28,49
1991-01-02,23,22,29,18,24,39,24,42,36,21,26,18,27,17,13,48,31,29,28,49
1991-01-12,24,25,32,18,24,39,24,45,39,21,29,18,30,17,13,49,32,29,31,50
1991-01-13,24,25,32,18,27,39,24,45,39,21,29,18,30,17,13,49,32,29,31,50
1991-01-19,24,26,32,18,27,42,24,45,40,24,32,21,31,18,13,50,32,32,32,53
1991-01-20,24,26,32,18,27,42,24,45,40,24,32,21,31,18,13,50,35,32,32,53
1991-01-26,24,26,32,18,27,42,24,45,40,24,32,21,31,18,16,50,35,32,32,53
1991-02-02,27,26,35,18,30,43,24,48,40,24,32,21,31,21,19,50,36,35,35,53
1991-02-03,27,26,35,18,30,43,24,48,41,24,32,21,31,21,19,51,36,35,35,53
1991-02-09,27,26,35,18,30,43,24,48,41,24,32,21,31,21,19,54,36,38,35,53
1991-02-16,27,26,36,18,30,43,24,49,41,24,32,24,31,22,19,54,36,38,36,53
1991-02-23,28,26,36,19,30,43,27,49,41,25,33,25,32,25,22,54,36,38,39,56
1991-02-26,28,26,36,19,30,43,27,49,41,25,33,25,32,25,25,54,36,38,39,56
1991-03-02,28,29,37,20,33,43,30,49,41,28,34,26,32,28,28,54,37,38,40,56
1991-03-03,28,29,37,20,33,43,30,49,41,28,34,26,32,28,28,54,37,38,40,59
1991-03-05,28,29,37,20,33,43,30,49,41,28,34,26,32,28,28,54,37,41,40,59
1991-03-09,28,29,40,20,33,46,33,52,41,28,34,26,32,28,31,57,37,41,40,59
1991-03-13,28,30,40,20,33,46,33,52,42,31,34,26,32,28,31,57,37,41,40,59
1991-03-16,31,30,40,20,36,46,33,55,43,31,37,26,33,31,34,60,37,42,41,59
1991-03-17,31,30,40,20,36,46,33,55,43,31,37,26,33,31,34,60,37,42,41,62
1991-03-20,31,30,40,20,36,46,33,55,43,31,37,26,34,31,34,60,37,42,41,63
1991-03-23,34,33,40,20,37,46,33,58,46,34,38,26,35,32,35,63,38,42,42,64
1991-03-30,35,34,40,20,38,49,33,58,49,35,38,29,35,35,38,63,39,43,45,67
1991-04-01,35,37,40,21,41,49,34,58,49,38,38,29,38,36,38,63,40,46,45,67
1991-04-02,35,37,40,21,41,52,34,58,52,38,38,29,38,36,38,63,40,46,45,67
1991-04-03,35,37,40,21,41,52,34,58,52,38,38,29,38,36,38,63,40,46,45,70
1991-04-06,36,37,41,21,41,55,35,58,53,39,39,29,38,39,38,63,43,49,45,73
1991-04-09,36,38,41,21,41,55,35,58,53,40,39,29,38,39,38,64,43,49,45,74
1991-04-10,36,38,41,21,41,55,35,58,53,40,42,29,41,42,38,64,43,52,48,74
1991-04-13,37,41,42,21,42,55,35,59,53,43,42,29,41,42,41,67,43,52,51,74
1991-04-16,37,41,42,21,42,55,35,59,56,43,42,29,41,42,41,67,43,52,51,74
1991-04-17,37,41,45,21,42,55,35,62,56,43,42,29,41,45,41,67,43,53,51,75
1991-04-20,37,44,45,21,43,55,35,63,56,43,42,32,44,45,42,70,44,56,54,75
1991-04-23,37,44,45,21,43,58,35,63,56,43,42,33,44,45,42,73,44,59,55,78
1991-04-24,37,44,45,21,44,58,35,63,56,43,42,33,47,45,42,73,45,59,55,78
1991-05-04,37,44,48,24,47,61,35,66,59,44,45,34,48,45,43,73,46,59,55,79
1991-05-06,37,44,48,24,47,61,35,66,59,44,45,34,51,45,43,73,46,59,55,82
1991-05-08,40,44,48,24,50,64,35,66,59,44,45,34,51,45,43,73,46,59,55,82
1991-05-11,41,45,49,24,51,64,38,69,59,44,45,34,54,46,46,76,46,62,56,85
1991-05-20,41,45,49,24,51,64,38,69,60,44,45,34,54,46,46,76,47,62,56,85
