,Charlton,Man City,Chelsea,West Ham,Coventry,Middlesbrough,Derby,Southampton,Leeds,Everton,Leicester,Aston Villa,Liverpool,Bradford City,Sunderland,Arsenal,Tottenham,Ipswich,Man Utd,Newcastle
2000-08-19,3,0,3,0,0,3,1,1,3,0,1,1,3,0,3,0,3,0,0,0
2000-08-20,3,0,3,0,0,3,1,1,3,0,1,1,3,0,3,0,3,0,3,0
2000-08-21,3,0,3,0,0,3,1,1,3,0,1,1,3,0,3,3,3,0,3,0
2000-08-22,3,0,3,0,0,4,1,1,3,0,1,1,3,3,3,3,4,1,4,0
2000-08-23,3,3,3,0,3,4,1,1,3,3,4,1,3,3,3,3,4,1,4,3
2000-08-26,3,3,3,1,6,4,2,2,6,4,5,1,4,4,3,6,4,4,5,6
2000-08-27,3,3,4,1,6,4,2,2,6,4,5,2,4,4,3,6,4,4,5,6
2000-09-05,3,6,4,2,6,4,2,2,6,4,5,2,4,4,4,6,7,4,8,6
2000-09-06,4,6,5,2,6,5,3,3,6,4,8,2,7,4,4,7,7,4,8,9
2000-09-09,4,6,6,2,7,5,3,3,7,7,11,5,10,5,4,8,7,4,11,10
2000-09-10,5,6,6,2,7,5,4,3,7,7,11,5,10,5,4,8,7,4,11,10
2000-09-11,5,6,6,2,7,5,4,3,7,7,11,5,10,5,4,8,10,4,11,10
2000-09-16,8,6,6,2,7,5,4,6,7,7,11,8,10,5,7,11,10,7,14,10
2000-09-17,8,7,6,3,7,6,4,6,7,7,14,8,11,5,7,11,10,7,14,10
2000-09-23,11,8,7,6,7,7,5,9,8,7,14,9,12,5,8,12,11,8,15,10
2000-09-24,11,8,7,6,7,7,5,9,8,8,15,9,12,5,8,12,11,8,15,10
2000-09-30,12,8,7,7,8,10,5,9,11,8,15,12,12,6,8,12,11,11,15,13
2000-10-01,12,8,10,7,8,10,5,9,11,8,16,12,12,6,9,15,11,11,15,13
2000-10-14,12,11,10,8,11,10,5,10,14,9,16,12,12,6,12,18,11,12,18,13
2000-10-15,12,11,10,8,11,10,5,10,14,9,16,12,15,6,12,18,11,12,18,13
2000-10-16,12,11,10,8,11,10,5,10,14,9,16,12,15,6,12,18,11,12,18,16
2000-10-21,15,11,13,8,11,10,5,10,14,12,16,12,18,6,12,21,14,15,21,16
2000-10-22,15,11,13,8,11,10,5,10,14,12,16,13,18,6,13,21,14,15,21,16
2000-10-23,15,14,13,8,11,10,5,10,14,12,16,13,18,6,13,21,14,15,21,16
2000-10-28,15,14,16,11,11,10,5,10,14,12,19,16,18,6,16,24,14,18,24,16
2000-10-29,15,14,16,11,11,10,5,10,15,12,19,16,21,7,16,24,14,18,24,16
2000-11-04,18,14,16,11,11,10,5,13,18,12,22,16,21,7,16,27,17,18,27,19
2000-11-05,18,14,16,11,11,10,5,13,18,12,22,19,21,7,16,27,17,18,27,19
2000-11-06,18,14,16,12,11,10,6,13,18,12,22,19,21,7,16,27,17,18,27,19
2000-11-11,18,14,16,15,11,10,7,14,18,15,23,22,21,7,17,28,17,21,30,20
2000-11-12,18,14,16,15,11,10,7,14,21,15,23,22,24,7,17,28,17,21,30,20
2000-11-18,21,14,16,18,11,10,10,17,21,18,26,22,24,7,20,28,17,21,33,20
2000-11-19,21,14,16,18,11,10,10,17,21,18,26,22,24,7,20,28,20,21,33,20
2000-11-20,21,14,16,18,11,10,10,17,21,18,26,22,24,7,20,28,20,24,33,20
2000-11-25,21,14,16,21,12,11,10,17,21,21,26,23,24,8,23,28,23,27,36,20
2000-11-26,21,14,16,21,12,11,10,17,24,21,26,23,24,8,23,28,23,27,36,23
2000-12-02,21,14,16,24,12,11,13,17,24,21,29,24,27,11,23,31,23,27,39,24
2000-12-03,21,14,19,24,12,11,13,17,24,21,29,24,27,11,23,31,23,27,39,24
2000-12-04,21,14,19,24,12,11,13,17,24,21,29,24,27,11,26,31,23,27,39,24
2000-12-09,22,17,22,25,12,11,13,20,24,21,29,25,27,12,29,34,24,27,40,24
