Team,Points,Date
Charlton,3,2000-08-19
Man City,0,2000-08-19
Chelsea,3,2000-08-19
West Ham,0,2000-08-19
Coventry,0,2000-08-19
Middlesbrough,3,2000-08-19
Derby,1,2000-08-19
Southampton,1,2000-08-19
Leeds,3,2000-08-19
Everton,0,2000-08-19
Leicester,1,2000-08-19
Aston Villa,1,2000-08-19
Liverpool,3,2000-08-19
Bradford City,0,2000-08-19
Sunderland,3,2000-08-19
Arsenal,0,2000-08-19
Tottenham,3,2000-08-19
Ipswich,0,2000-08-19
Man Utd,3,2000-08-20
Newcastle,0,2000-08-20
Arsenal,3,2000-08-21
Liverpool,0,2000-08-21
Bradford City,3,2000-08-22
Chelsea,0,2000-08-22
Ipswich,1,2000-08-22
Man Utd,1,2000-08-22
Middlesbrough,1,2000-08-22
Tottenham,1,2000-08-22
Everton,3,2000-08-23
Charlton,0,2000-08-23
Man City,3,2000-08-23
Sunderland,0,2000-08-23
Newcastle,3,2000-08-23
Derby,0,2000-08-23
Southampton,0,2000-08-23
Coventry,3,2000-08-23
West Ham,0,2000-08-23
Leicester,3,2000-08-23
Arsenal,3,2000-08-26
Charlton,0,2000-08-26
Bradford City,1,2000-08-26
Leicester,1,2000-08-26
Everton,1,2000-08-26
Derby,1,2000-08-26
Ipswich,3,2000-08-26
Sunderland,0,2000-08-26
Man City,0,2000-08-26
Coventry,3,2000-08-26
Middlesbrough,0,2000-08-26
Leeds,3,2000-08-26
Newcastle,3,2000-08-26
Tottenham,0,2000-08-26
Southampton,1,2000-08-26
Liverpool,1,2000-08-26
West Ham,1,2000-08-26
Man Utd,1,2000-08-26
Aston Villa,1,2000-08-27
Chelsea,1,2000-08-27
Tottenham,3,2000-09-05
Everton,0,2000-09-05
Leeds,0,2000-09-05
Man City,3,2000-09-05
Man Utd,3,2000-09-05
Bradford City,0,2000-09-05
Sunderland,1,2000-09-05
West Ham,1,2000-09-05
Charlton,1,2000-09-06
Southampton,1,2000-09-06
Chelsea,1,2000-09-06
Arsenal,1,2000-09-06
Coventry,0,2000-09-06
Newcastle,3,2000-09-06
Derby,1,2000-09-06
Middlesbrough,1,2000-09-06
Leicester,3,2000-09-06
Ipswich,0,2000-09-06
Liverpool,3,2000-09-06
Aston Villa,0,2000-09-06
Bradford City,1,2000-09-09
Arsenal,1,2000-09-09
Coventry,1,2000-09-09
Leeds,1,2000-09-09
Ipswich,0,2000-09-09
Aston Villa,3,2000-09-09
Leicester,3,2000-09-09
Southampton,0,2000-09-09
Liverpool,3,2000-09-09
Man City,0,2000-09-09
Man Utd,3,2000-09-09
Sunderland,0,2000-09-09
Middlesbrough,0,2000-09-09
Everton,3,2000-09-09
Newcastle,1,2000-09-09
Chelsea,1,2000-09-09
Derby,1,2000-09-10
