,Blackburn,Sunderland,Charlton,Chelsea,Everton,Tottenham,Fulham,Bolton,Leeds,Man City,Man Utd,West Brom,Southampton,Middlesbrough,Arsenal,Birmingham,Aston Villa,Liverpool,Newcastle,West Ham
2002-08-17,1,1,0,3,1,1,3,0,3,0,3,0,1,1,0,0,0,0,0,0
2002-08-18,1,1,0,3,1,1,3,0,3,0,3,0,1,1,3,0,0,3,0,0
2002-08-19,1,1,0,3,1,1,3,0,3,0,3,0,1,1,3,0,0,3,3,0
2002-08-23,1,1,0,4,1,1,3,0,3,0,4,0,1,1,3,0,0,3,3,0
2002-08-24,4,1,3,4,4,4,4,0,6,3,4,0,1,2,4,0,0,6,3,1
2002-08-27,4,1,3,4,4,7,4,0,6,3,4,0,1,2,7,0,0,6,3,1
2002-08-28,5,4,3,5,5,7,4,0,6,3,4,0,2,2,7,1,3,7,3,1
2002-08-31,5,5,6,5,5,10,4,0,6,6,5,3,2,5,7,4,3,7,3,1
2002-09-01,5,5,6,6,5,10,4,3,6,6,5,3,2,5,8,4,3,7,3,1
2002-09-02,5,5,6,6,5,10,4,3,6,6,5,3,2,5,8,4,3,8,4,1
2002-09-03,5,5,6,6,5,10,4,3,6,6,8,3,2,5,8,4,3,8,4,1
2002-09-10,5,5,6,6,5,10,4,3,6,6,8,3,2,8,11,4,3,8,4,1
2002-09-11,5,5,6,9,5,10,7,6,9,6,8,6,5,8,11,5,6,9,4,1
2002-09-14,5,5,6,12,8,10,10,6,12,6,8,9,5,8,14,5,6,12,4,1
2002-09-15,6,5,6,12,8,13,10,6,12,7,8,9,5,8,14,5,6,12,4,1
2002-09-16,6,5,6,12,8,13,10,6,12,7,8,9,5,8,14,8,6,12,4,1
2002-09-21,6,5,7,12,8,13,10,6,12,8,11,9,6,11,17,8,6,15,7,2
2002-09-22,9,5,7,12,8,13,10,6,12,8,11,9,6,11,17,8,9,15,7,2
2002-09-23,9,5,7,13,8,13,11,6,12,8,11,9,6,11,17,8,9,15,7,2
2002-09-28,9,8,7,13,11,13,11,7,12,8,14,9,7,14,20,8,9,18,10,5
2002-09-30,12,8,7,13,11,13,11,7,12,8,14,9,7,14,20,8,9,18,10,5
2002-10-05,12,8,7,13,11,13,11,7,12,8,14,9,10,17,20,11,9,18,13,5
2002-10-06,12,8,7,13,11,16,14,7,13,8,14,9,10,17,23,11,10,21,13,5
2002-10-07,12,8,7,13,11,16,14,7,13,8,17,9,10,17,23,11,10,21,13,5
2002-10-19,15,8,7,16,14,16,15,7,13,8,18,10,10,17,23,12,10,24,13,8
2002-10-20,15,8,10,16,14,19,15,7,13,8,18,10,10,17,23,12,10,24,13,8
2002-10-21,15,8,10,16,14,19,15,7,13,8,18,10,13,17,23,12,10,24,13,8
2002-10-23,15,8,10,16,14,19,15,7,13,8,18,10,13,17,23,12,10,24,13,11
2002-10-26,18,8,10,19,14,19,15,7,14,11,19,10,13,18,23,12,11,27,16,11
2002-10-27,18,8,10,19,17,19,15,7,14,11,19,10,16,18,23,12,11,27,16,11
2002-10-28,18,9,10,19,17,19,15,8,14,11,19,10,16,18,23,12,11,27,16,11
2002-11-02,18,9,10,19,17,19,15,8,14,14,22,10,16,18,23,15,11,30,16,11
2002-11-03,19,10,11,20,20,20,15,8,14,14,22,10,16,18,26,15,12,30,16,11
