,Arsenal,Norwich,Chelsea,Oldham,Coventry,Middlesbrough,Crystal Palace,Blackburn,Everton,Sheff Wed,Ipswich,Aston Villa,Leeds,Wimbledon FC,Sheff Utd,Man Utd,Southampton,Tottenham,Nottm Forest,Liverpool,Man City,QPR
1992-08-15,0,3,1,1,3,0,1,1,1,1,1,1,3,0,3,0,1,1,0,0,0,0
1992-08-16,0,3,1,1,3,0,1,1,1,1,1,1,3,0,3,0,1,1,3,0,0,0
1992-08-17,0,3,1,1,3,0,1,1,1,1,1,1,3,0,3,0,1,1,3,0,1,1
1992-08-18,0,3,1,1,3,0,1,4,1,1,4,1,3,0,3,0,1,1,3,0,1,1
1992-08-19,0,6,1,2,6,3,2,4,4,4,4,2,4,0,3,0,1,1,3,3,1,4
1992-08-22,0,7,2,5,9,6,3,7,5,5,5,3,4,0,3,1,2,2,3,3,1,7
1992-08-23,3,7,2,5,9,6,3,7,5,5,5,3,4,0,3,1,2,2,3,3,1,7
1992-08-24,3,7,2,5,9,6,3,7,5,5,5,3,4,0,3,4,2,2,3,3,1,7
1992-08-25,3,7,2,5,9,6,4,7,8,6,6,3,7,1,4,4,2,2,3,4,1,7
1992-08-26,6,7,3,5,9,6,4,8,8,6,6,3,7,1,4,4,2,2,3,4,4,10
1992-08-29,9,10,6,6,9,6,4,11,9,6,6,6,8,2,4,7,5,2,3,5,5,10
1992-08-30,9,10,6,6,9,6,4,11,9,6,7,6,8,2,4,7,5,3,3,5,5,10
1992-08-31,9,13,6,6,9,6,4,11,9,6,7,6,8,2,4,7,5,3,3,5,5,10
1992-09-01,9,13,6,7,9,7,4,11,9,6,8,6,9,2,4,7,6,3,3,6,8,10
1992-09-02,10,13,9,7,12,7,4,11,9,6,8,6,9,2,4,10,6,6,3,6,8,11
1992-09-05,10,16,9,7,15,10,4,14,9,6,9,9,9,5,4,10,6,9,3,9,11,12
1992-09-06,10,16,9,7,15,10,4,14,9,6,9,9,9,5,4,13,6,9,3,9,11,12
1992-09-12,10,19,9,8,15,13,5,17,9,9,12,9,9,5,7,16,6,9,3,9,11,15
1992-09-13,10,19,9,8,15,13,5,17,9,9,12,10,10,5,7,16,6,9,3,9,11,15
1992-09-14,10,19,9,8,18,13,5,17,9,9,12,10,10,5,7,16,6,9,3,9,11,15
1992-09-15,10,19,9,8,18,13,5,17,12,9,12,10,10,5,7,16,6,9,3,9,11,15
1992-09-19,11,22,9,11,18,14,8,18,12,9,12,13,11,6,8,17,7,10,3,9,11,16
