,Arsenal,Coventry,Aston Villa,QPR,Chelsea,Blackburn,Liverpool,Sheff Wed,Man City,Leeds,Newcastle,Tottenham,Oldham,Ipswich,Sheff Utd,Swindon,Southampton,Everton,West Ham,Wimbledon FC,Norwich,Man Utd
1993-08-14,0,3,3,0,0,3,3,0,1,1,0,3,0,3,3,0,0,3,0,3,0,0
1993-08-15,0,3,3,0,0,3,3,0,1,1,0,3,0,3,3,0,0,3,0,3,0,3
1993-08-16,3,3,3,0,0,3,3,0,1,1,0,3,0,3,3,0,0,3,0,3,0,3
1993-08-17,3,3,3,0,1,3,3,0,1,4,0,3,0,6,3,0,0,6,0,4,0,3
1993-08-18,3,6,4,0,1,3,6,1,1,4,0,3,3,6,3,0,0,6,0,4,3,6
1993-08-21,6,7,5,3,1,6,6,1,1,4,1,6,3,9,3,0,0,9,1,5,6,7
1993-08-22,6,7,5,3,1,6,9,1,1,4,1,6,3,9,3,0,0,9,1,5,6,7
1993-08-23,6,7,5,3,1,6,9,1,1,4,1,6,3,9,3,0,0,9,1,5,6,10
1993-08-24,9,8,5,3,1,9,9,1,1,4,1,6,4,9,6,0,0,9,1,5,6,10
1993-08-25,9,8,5,3,4,9,9,1,1,4,4,9,4,9,6,0,3,9,4,5,9,10
1993-08-27,9,9,5,3,4,9,9,1,2,4,4,9,4,9,6,0,3,9,4,5,9,10
1993-08-28,12,9,8,6,5,9,12,2,2,4,4,9,5,10,7,1,3,9,4,6,10,13
1993-08-29,12,9,8,6,5,10,12,2,2,4,5,9,5,10,7,1,3,9,4,6,10,13
1993-08-30,12,9,8,6,5,10,12,2,2,7,5,9,5,10,7,1,3,9,4,6,10,13
1993-08-31,12,9,11,6,5,10,12,2,2,7,6,9,5,11,7,1,3,9,4,9,10,13
1993-09-01,13,12,11,9,6,11,12,3,5,7,6,10,5,11,7,1,3,9,4,9,11,16
1993-09-11,16,13,12,9,9,11,12,3,8,10,6,11,5,11,8,2,3,12,5,12,11,16
1993-09-12,16,13,12,9,9,14,12,3,8,10,6,11,5,11,8,2,3,12,5,12,11,16
1993-09-13,16,13,12,9,9,14,12,3,8,10,9,11,5,11,8,2,3,12,5,12,11,16
1993-09-18,16,14,15,10,10,14,12,6,8,13,10,14,5,11,8,3,3,15,8,12,12,16
1993-09-19,16,14,15,10,10,14,12,6,8,13,10,14,5,11,8,3,3,15,8,12,12,19
1993-09-20,16,14,15,10,10,14,12,6,8,13,10,14,5,11,8,3,3,15,8,15,12,19
1993-09-25,19,14,16,10,13,15,12,7,11,16,13,14,6,11,8,3,3,15,8,15,15,22
1993-09-26,19,14,16,10,13,15,12,7,11,16,13,15,6,12,8,3,3,15,8,15,15,22
1993-09-27,19,14,16,11,13,15,12,7,11,16,13,15,6,12,8,3,3,15,8,16,15,22
1993-10-02,20,14,16,14,13,18,13,7,11,19,16,15,6,12,9,3,4,15,11,16,18,25
1993-10-03,20,14,16,14,13,18,13,7,11,19,16,18,6,12,9,3,4,15,11,16,18,25
1993-10-04,20,14,16,14,13,18,13,7,12,19,16,18,7,12,9,3,4,15,11,16,18,25
1993-10-16,21,15,17,17,13,18,16,8,13,19,16,18,7,12,9,4,5,16,12,17,21,28
1993-10-17,21,15,17,17,13,18,16,8,13,20,16,18,7,13,9,4,5,16,12,17,21,28
1993-10-18,21,15,17,17,13,19,16,8,13,20,16,18,7,13,10,4,5,16,12,17,21,28
1993-10-23,22,15,20,20,13,20,17,9,14,21,16,19,8,13,11,5,5,16,13,17,22,31
1993-10-24,22,15,20,20,13,20,17,9,14,21,16,19,8,13,11,5,8,16,13,17,22,31
