,Arsenal,Man City,Chelsea,Norwich,Coventry,Wimbledon FC,Crystal Palace,Liverpool,Everton,Aston Villa,Ipswich,Nottm Forest,Man Utd,QPR,Sheff Wed,Tottenham,Southampton,Blackburn,West Ham,Leeds,Leicester,Newcastle
1994-08-20,3,0,3,0,1,1,0,3,1,1,0,3,3,0,0,3,1,1,1,1,0,0
1994-08-21,3,0,3,0,1,1,0,3,1,1,0,3,3,0,0,3,1,1,1,1,0,3
1994-08-22,3,0,3,0,1,1,0,3,1,1,0,4,4,0,0,3,1,1,1,1,0,3
1994-08-23,3,0,3,0,1,2,0,3,1,1,1,4,4,0,0,3,1,4,1,4,0,3
1994-08-24,3,3,3,1,1,2,1,3,1,2,1,4,4,3,0,6,2,4,1,4,0,6
1994-08-27,3,6,6,4,1,2,2,3,1,3,4,7,7,3,3,6,2,7,1,4,0,9
1994-08-28,3,6,6,4,1,2,2,6,1,3,4,7,7,3,3,6,2,7,1,4,0,9
1994-08-29,3,6,6,4,1,2,2,6,1,6,4,7,7,3,3,6,2,7,1,4,0,9
1994-08-30,3,6,6,4,1,2,2,6,1,6,4,10,7,3,3,9,2,7,1,7,0,9
1994-08-31,4,6,9,5,1,2,2,9,1,6,4,10,10,4,4,9,2,8,1,7,1,12
1994-09-10,5,7,9,6,2,5,3,10,1,9,4,13,10,5,4,9,2,11,2,7,1,15
1994-09-11,5,7,9,6,2,5,3,10,1,9,4,13,10,5,4,9,2,11,2,10,1,15
1994-09-12,5,7,9,6,2,5,3,10,1,9,4,13,10,5,4,9,5,11,2,10,1,15
1994-09-17,5,8,9,6,5,6,4,10,2,9,4,14,13,6,5,9,6,11,5,10,4,15
1994-09-18,5,8,9,6,5,6,4,10,2,9,4,14,13,6,5,9,6,14,5,10,4,18
1994-09-19,5,8,9,9,5,6,4,10,2,9,4,14,13,6,5,9,6,14,5,10,4,18
1994-09-24,5,11,12,9,5,9,4,11,3,9,7,17,13,6,5,9,9,17,5,10,5,19
1994-09-25,8,11,12,9,5,9,4,11,3,9,7,17,13,6,5,9,9,17,5,10,5,19
1994-09-26,8,11,12,9,5,9,4,11,3,9,7,17,13,6,6,9,9,17,5,11,5,19
1994-10-01,8,11,12,12,5,9,7,14,3,9,7,17,16,6,6,12,12,17,5,14,5,22
1994-10-02,8,11,12,12,5,9,7,14,3,9,7,20,16,6,6,12,12,17,8,14,5,22
1994-10-03,8,11,12,12,6,9,7,14,3,9,7,20,16,6,6,12,12,17,8,14,6,22
1994-10-08,11,12,15,15,6,9,7,17,3,9,7,21,16,7,9,13,15,17,11,14,6,22
1994-10-09,11,12,15,15,6,9,7,17,3,9,7,21,16,7,9,13,15,18,11,14,6,23
1994-10-10,11,12,15,15,9,9,7,17,3,9,7,21,16,7,9,13,15,18,11,14,6,23
1994-10-15,14,15,15,16,12,9,7,17,3,10,7,21,19,7,9,14,15,21,11,15,9,26
1994-10-16,14,15,15,16,12,9,7,17,3,10,7,21,19,7,12,14,15,21,11,15,9,26
1994-10-17,14,15,15,16,12,9,7,17,3,10,7,24,19,7,12,14,15,21,11,15,9,26
1994-10-22,14,18,15,19,12,9,10,20,3,10,7,27,19,7,12,14,15,21,14,15,9,29
1994-10-23,17,18,18,19,12,9,10,20,3,10,7,27,22,7,12,14,15,21,14,15,9,29
1994-10-24,17,18,18,19,12,9,10,20,3,10,7,27,22,7,12,14,15,21,14,18,9,29
1994-10-29,18,18,19,19,15,9,13,23,4,10,7,27,25,10,13,17,15,24,14,21,9,29
1994-10-30,18,18,19,19,15,12,13,23,4,10,7,27,25,10,13,17,15,24,14,21,9,29
1994-10-31,18,18,19,19,15,12,13,23,4,10,7,27,25,13,13,17,15,24,14,21,9,29
1994-11-01,18,18,19,19,15,12,13,23,7,10,10,27,25,13,13,17,15,24,14,21,9,29
1994-11-02,18,18,19,20,15,12,16,23,7,10,10,27,25,13,13,17,16,27,14,21,9,29
1994-11-05,18,19,19,21,15,12,19,26,8,10,10,27,25,13,13,17,17,30,17,24,9,32
1994-11-06,19,19,20,21,16,12,19,26,8,10,10,27,28,13,14,17,17,30,17,24,9,32
1994-11-07,19,19,20,21,16,12,19,26,8,10,10,28,28,13,14,17,17,30,17,24,9,33
1994-11-09,19,19,20,21,16,15,19,29,8,10,10,28,28,13,14,17,17,30,17,24,9,33
1994-11-10,19,19,20,21,16,15,19,29,8,10,10,28,31,13,14,17,17,30,17,24,9,33
1994-11-19,19,19,23,21,19,18,19,29,8,13,10,28,34,16,17,17,20,33,17,24,9,33
1994-11-20,19,22,23,21,19,18,19,29,8,13,10,28,34,16,17,17,20,33,17,24,9,33
1994-11-21,19,22,23,21,19,18,19,29,11,13,10,28,34,16,17,17,20,33,17,24,9,33
1994-11-23,19,22,24,21,19,18,19,29,11,13,10,28,34,16,17,18,20,33,17,24,12,33
1994-11-26,20,25,24,24,22,18,20,30,14,13,11,28,35,16,17,19,21,36,17,27,12,34
1994-11-27,20,25,24,24,22,18,20,30,14,14,11,28,35,16,18,19,21,36,17,27,12,34
1994-12-03,21,28,27,24,23,18,20,31,14,15,11,29,38,16,21,22,21,39,17,27,13,34
1994-12-04,21,28,27,24,23,18,20,31,17,15,11,29,38,19,21,22,21,39,17,27,13,34
1994-12-10,21,28,27,27,23,21,20,31,18,16,11,32,41,19,21,25,21,42,18,28,13,37
1994-12-11,21,28,27,27,23,21,21,32,18,16,11,32,41,19,21,25,21,42,18,28,13,37
1994-12-12,24,28,27,27,23,21,21,32,18,16,11,32,41,19,21,25,21,42,18,28,13,37
1994-12-16,24,28,27,27,23,22,21,32,18,16,12,32,41,19,21,25,21,42,18,28,13,37
1994-12-17,24,28,27,30,24,22,21,32,19,16,12,35,41,22,21,26,21,43,21,31,14,38
1994-12-18,24,28,28,30,24,22,21,33,19,16,12,35,41,22,21,26,21,43,21,31,14,38
1994-12-19,24,28,28,30,24,22,21,33,19,16,12,35,41,22,21,26,24,43,21,31,14,38
1994-12-26,25,28,28,30,25,25,22,36,19,17,13,36,44,23,24,29,24,46,22,32,14,39
1994-12-27,25,28,28,30,25,25,23,36,19,17,13,39,44,23,24,30,24,46,22,32,14,39
1994-12-28,28,28,28,30,25,28,23,39,19,20,13,39,45,24,27,30,25,46,22,32,15,39
1994-12-31,28,29,29,33,25,29,23,42,22,21,13,39,46,27,30,33,26,49,25,32,15,39
1995-01-02,28,30,29,33,25,32,23,45,22,22,16,42,46,27,31,36,27,52,25,33,15,40
1995-01-03,28,30,29,33,25,32,23,45,22,22,16,42,49,27,31,36,27,52,25,33,15,40
1995-01-14,29,31,30,33,26,35,26,45,23,25,19,42,49,27,32,39,28,55,25,34,15,40
1995-01-15,29,31,30,33,26,35,26,45,23,25,19,42,50,27,32,39,28,55,25,34,15,41
1995-01-21,32,31,31,33,26,35,26,45,26,28,20,42,50,27,33,39,28,55,25,34,15,42
1995-01-22,32,31,31,33,26,35,26,45,26,28,20,42,53,27,33,39,28,55,25,34,15,42
1995-01-23,32,31,31,33,26,35,26,45,26,28,20,42,53,27,36,39,28,55,25,34,15,42
1995-01-24,33,31,31,33,26,35,26,46,27,28,20,42,53,27,36,39,29,55,25,37,15,42
