,Aston Villa,Man Utd,Blackburn,QPR,Chelsea,Everton,Liverpool,Sheff Wed,Man City,Tottenham,Newcastle,Coventry,Southampton,Nottm Forest,West Ham,Leeds,Wimbledon FC,Bolton,Arsenal,Middlesbrough
1995-08-19,3,0,3,0,1,1,3,0,1,1,3,0,0,3,0,3,3,0,0,0
1995-08-20,3,0,3,0,1,1,3,0,1,1,3,0,0,3,0,3,3,0,1,1
1995-08-21,3,0,3,0,1,1,3,0,1,1,3,0,0,3,0,6,3,0,1,1
1995-08-22,3,0,3,0,1,1,3,0,1,1,6,0,0,3,0,6,3,0,1,1
1995-08-23,6,3,3,0,2,1,3,3,1,1,6,3,0,4,0,6,6,0,4,1
1995-08-26,6,6,3,3,2,4,6,3,1,1,6,4,0,5,1,9,6,3,5,4
1995-08-27,6,6,3,3,2,4,6,3,1,1,9,4,0,5,1,9,6,3,5,4
1995-08-28,6,9,3,3,2,4,6,3,1,1,9,4,0,5,1,9,6,3,5,4
1995-08-29,6,9,3,3,2,4,6,3,1,1,9,4,0,6,1,9,6,3,6,4
1995-08-30,9,9,3,3,3,7,9,4,1,2,12,5,1,6,2,10,7,3,6,4
1995-09-09,10,12,4,3,3,7,9,7,1,5,12,6,4,7,2,10,10,4,6,5
1995-09-10,10,12,4,3,3,7,9,7,1,5,12,6,4,7,2,10,10,4,9,5
1995-09-11,10,12,4,3,6,7,9,7,1,5,12,6,4,7,2,10,10,4,9,5
1995-09-12,10,12,4,3,6,7,9,7,1,5,12,6,5,7,2,10,10,4,9,6
1995-09-16,13,15,4,6,9,7,12,7,1,8,15,6,5,7,2,10,10,4,12,9
1995-09-17,13,15,4,6,9,7,12,7,1,8,15,6,5,10,2,10,10,4,12,9
1995-09-23,14,16,7,6,9,7,15,8,1,8,15,6,5,11,5,13,10,4,15,12
1995-09-24,14,16,7,6,9,7,15,8,1,8,18,6,5,11,5,13,10,4,15,12
1995-09-25,14,16,7,6,9,7,15,8,1,11,18,6,5,11,5,13,10,4,15,12
1995-09-30,17,16,7,9,12,7,15,8,1,14,18,6,5,14,5,16,10,4,15,15
1995-10-01,17,17,7,9,12,7,16,8,1,14,21,6,5,14,5,16,10,4,15,15
1995-10-02,17,17,7,9,12,7,16,8,1,14,21,6,6,14,6,16,10,4,15,15
1995-10-14,17,20,10,9,15,8,17,8,1,14,24,7,6,17,6,16,10,5,18,15
1995-10-15,17,20,10,9,15,8,17,8,1,14,24,7,6,17,6,16,10,5,18,18
1995-10-16,17,20,10,9,15,8,17,8,1,14,24,7,6,17,9,16,10,5,18,18
1995-10-21,17,23,11,9,15,8,17,11,2,14,27,7,6,20,10,17,10,5,21,21
1995-10-22,17,23,11,9,15,9,20,11,2,15,27,7,6,20,10,17,10,5,21,21
1995-10-28,20,26,14,10,15,9,23,11,2,15,27,7,9,21,13,20,10,5,21,21
1995-10-29,20,26,14,10,15,9,23,11,2,16,28,7,9,21,13,20,10,5,21,21
1995-10-30,20,26,14,10,15,9,23,11,2,16,28,7,9,21,13,20,10,8,21,21
1995-11-04,23,26,14,10,16,9,23,12,5,19,31,7,12,21,13,21,10,8,24,22
1995-11-05,23,26,14,10,16,12,23,12,5,19,31,7,12,21,13,21,10,8,24,22
1995-11-06,23,26,14,10,16,12,23,12,5,19,31,7,12,24,13,21,10,8,24,22
1995-11-08,23,26,14,10,16,12,23,12,5,19,34,7,12,24,13,21,10,8,24,22
1995-11-18,24,29,17,10,16,15,23,13,6,22,35,7,12,24,16,24,11,8,24,23
1995-11-19,24,29,17,11,16,15,23,13,6,22,35,8,12,24,16,24,11,8,24,23
1995-11-20,27,29,17,11,16,15,23,13,6,22,35,8,12,24,16,24,11,8,24,23
1995-11-21,27,29,17,11,16,15,23,13,6,25,35,8,12,24,16,24,11,8,27,23
1995-11-22,27,32,17,11,19,18,24,13,9,25,35,8,12,24,17,24,11,8,27,23
1995-11-25,27,32,17,11,20,19,24,14,12,26,38,9,15,24,20,24,12,8,27,26
1995-11-26,27,32,18,11,20,19,24,14,12,26,38,9,15,24,20,24,12,8,28,26
1995-11-27,27,33,18,11,20,19,24,14,12,26,38,9,15,25,20,24,12,8,28,26
1995-12-02,28,34,21,12,21,20,25,14,15,27,38,9,16,26,20,24,12,9,29,27
1995-12-03,28,34,21,12,21,20,25,14,15,27,39,9,16,26,20,24,13,9,29,27
1995-12-04,28,34,21,12,21,20,25,17,15,27,39,9,16,26,20,24,13,9,29,27
1995-12-09,28,35,21,12,24,20,28,18,15,30,39,12,17,26,20,25,14,9,30,30
1995-12-10,29,35,21,12,24,20,28,18,15,30,39,12,17,27,20,25,14,9,30,30
