,Barnsley,West Ham United,Blackburn Rovers,Derby County,Coventry City,Chelsea,Everton,Crystal Palace,Leeds United,Arsenal,Leicester City,Aston Villa,Newcastle United,Sheffield Wednesday,Southampton,Bolton Wanderers,Wimbledon,Liverpool,Tottenham Hotspur,Manchester United
,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Barnsley_FC.svg/255px-Barnsley_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Derby_County_crest.svg/285px-Derby_County_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Coventry_City_F.C._logo.png/270px-Coventry_City_F.C._logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Crystal_Palace_FC_logo_%282022%29.svg/240px-Crystal_Palace_FC_logo_%282022%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/240px-Leeds_United_F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Leicester_City_crest.svg/270px-Leicester_City_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Sheffield_Wednesday_badge.svg/195px-Sheffield_Wednesday_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Wimbledon_fc.png/225px-Wimbledon_fc.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png
1997-08-09,0,3,3,0,3,0,0,3,1,1,3,0,3,0,0,3,1,1,0,0
1997-08-10,0,3,3,0,3,0,0,3,1,1,3,0,3,0,0,3,1,1,0,3
1997-08-11,0,3,3,0,3,0,0,3,1,4,3,0,3,0,0,3,1,1,0,3
1997-08-12,3,3,3,0,3,0,0,3,1,4,3,0,3,0,0,3,1,1,0,3
1997-08-13,3,6,6,0,3,0,0,3,4,4,6,0,3,0,0,3,1,1,0,6
1997-08-23,3,6,7,0,4,0,3,6,4,7,7,0,6,1,0,4,2,2,3,7
1997-08-24,3,6,7,0,4,3,3,6,4,7,7,0,6,1,0,4,2,2,3,7
1997-08-25,3,6,10,0,4,3,3,6,4,7,7,0,6,1,0,4,2,2,3,7
1997-08-26,3,6,10,0,4,3,3,6,4,7,7,0,6,1,0,4,2,5,3,7
1997-08-27,6,7,10,0,5,6,3,6,4,8,8,0,6,1,3,4,2,5,6,10
1997-08-30,6,10,13,3,5,9,3,6,4,9,8,3,6,4,3,4,2,5,7,13
1997-09-01,6,10,13,3,5,9,4,6,4,9,8,3,6,4,3,5,2,5,7,13
1997-09-13,6,10,13,6,8,12,4,6,4,12,11,6,6,4,3,5,5,8,7,16
1997-09-14,6,10,13,6,8,12,4,6,7,12,11,6,6,4,3,5,5,8,7,16
1997-09-20,6,10,14,6,9,12,7,9,7,12,14,9,9,5,4,6,5,9,8,17
1997-09-21,6,10,14,6,9,12,7,9,7,15,14,9,9,5,4,6,5,9,8,17
1997-09-22,6,10,14,6,9,12,7,9,7,15,14,9,9,5,4,6,5,12,8,17
1997-09-23,6,10,14,6,9,12,7,9,7,15,14,9,9,5,4,7,8,12,9,17
1997-09-24,6,10,15,9,10,13,7,10,10,18,15,9,12,5,4,7,8,12,9,18
1997-09-27,6,13,15,12,10,16,8,11,13,19,18,10,12,6,4,8,9,12,10,18
1997-09-28,6,13,16,12,11,16,8,11,13,19,18,10,12,6,4,8,9,12,10,18
1997-10-04,6,13,19,12,12,16,8,11,14,22,18,13,15,9,7,8,9,12,10,21
1997-10-05,6,13,19,12,12,16,8,11,14,22,18,13,15,9,7,8,9,15,10,21
1997-10-06,6,13,19,15,12,16,8,11,14,22,18,13,15,9,7,8,9,15,10,21
1997-10-18,6,16,22,16,12,19,11,12,17,23,18,13,15,9,7,8,12,15,10,22
1997-10-19,6,16,22,16,12,19,11,12,17,23,18,13,15,9,7,8,12,15,13,22
1997-10-20,9,16,22,16,12,19,11,12,17,23,18,13,15,9,7,8,12,15,13,22
1997-10-22,9,16,22,17,12,19,11,12,17,23,18,13,15,9,7,8,13,15,13,22
1997-10-25,9,16,23,17,13,19,12,15,17,23,18,13,16,9,10,8,16,18,13,25
1997-10-26,9,16,23,17,13,19,12,15,17,24,18,14,16,9,10,11,16,18,13,25
1997-10-27,9,16,23,17,13,19,12,15,17,24,21,14,16,9,10,11,16,18,13,25
1997-11-01,10,16,24,20,16,22,12,15,20,24,22,14,17,9,10,12,16,19,13,28
1997-11-02,10,16,24,20,16,22,12,15,20,24,22,14,17,9,13,12,16,19,13,28
