,Blackburn Rovers,Derby County,Coventry City,Chelsea,Everton,Aston Villa,Manchester United,Leicester City,Middlesbrough,Leeds United,Newcastle United,Charlton Athletic,Sheffield Wednesday,West Ham United,Wimbledon,Tottenham Hotspur,Southampton,Liverpool,Arsenal,Nottingham Forest
,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Derby_County_crest.svg/285px-Derby_County_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Coventry_City_F.C._logo.png/270px-Coventry_City_F.C._logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Leicester_City_crest.svg/270px-Leicester_City_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/240px-Leeds_United_F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/CharltonBadge_30Jan2020.png/270px-CharltonBadge_30Jan2020.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Sheffield_Wednesday_badge.svg/195px-Sheffield_Wednesday_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Wimbledon_fc.png/225px-Wimbledon_fc.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Nottingham_Forest_F.C._logo.svg/150px-Nottingham_Forest_F.C._logo.svg.png1998-08-15,1,1,3,0,1,1,1,1,1,1,1,1,0,3,3,0,0,0,0,0
1998-08-16,1,1,3,0,1,1,1,1,1,1,1,1,0,3,3,0,0,3,0,0
1998-08-17,1,1,3,0,1,1,1,1,1,1,1,1,0,3,3,0,0,3,3,0
1998-08-22,1,2,3,1,1,4,2,4,1,1,2,4,3,4,4,0,0,4,4,3
1998-08-24,1,2,3,1,1,4,2,4,1,4,2,4,3,4,4,0,0,4,4,3
1998-08-29,4,3,4,1,1,7,2,4,2,5,2,5,3,5,5,3,0,4,5,6
1998-08-30,4,3,4,1,1,7,2,4,2,5,2,5,3,5,5,3,0,7,5,6
1998-09-08,4,3,4,1,4,7,5,4,2,8,2,5,3,5,5,3,0,7,5,6
1998-09-09,4,6,4,2,4,10,5,4,5,8,2,5,3,5,8,6,0,10,6,6
1998-09-12,4,9,4,5,5,13,8,5,5,9,5,5,6,8,8,6,0,10,7,6
1998-09-13,4,9,4,5,5,13,8,5,8,9,5,5,6,8,8,6,0,10,7,6
