,Arsenal,Leicester City,Chelsea,Sunderland,Coventry City,Southampton,Leeds United,Derby County,Middlesbrough,Bradford City,Newcastle United,Aston Villa,Sheffield Wednesday,Liverpool,Watford,Wimbledon,West Ham United,Tottenham Hotspur,Everton,Manchester United
,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Leicester_City_crest.svg/270px-Leicester_City_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Coventry_City_F.C._logo.png/270px-Coventry_City_F.C._logo.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/240px-Leeds_United_F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Derby_County_crest.svg/285px-Derby_County_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Bradford_City_AFC.png/195px-Bradford_City_AFC.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Sheffield_Wednesday_badge.svg/195px-Sheffield_Wednesday_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Watford.svg/255px-Watford.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Wimbledon_fc.png/225px-Wimbledon_fc.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png1999-08-07,3,0,3,0,0,3,1,1,0,3,0,3,0,3,0,3,3,0,0,0
1999-08-08,3,0,3,0,0,3,1,1,0,3,0,3,0,3,0,3,3,0,1,1
1999-08-09,3,0,3,0,0,3,1,1,0,3,0,3,0,3,0,3,3,3,1,1
1999-08-10,6,0,3,3,0,3,1,1,3,3,0,3,0,3,0,3,3,3,1,1
1999-08-11,6,3,3,3,0,3,4,1,3,3,0,6,0,3,0,3,3,3,1,4
1999-08-14,7,4,4,4,1,3,4,1,6,4,0,6,1,3,3,4,3,6,1,7
1999-08-15,7,4,4,4,1,6,4,1,6,4,0,6,1,3,3,4,3,6,1,7
1999-08-16,7,4,4,4,1,6,4,1,6,4,0,7,1,3,3,4,4,6,1,7
1999-08-21,7,4,7,4,4,6,7,1,9,4,1,7,1,3,6,5,7,9,4,7
1999-08-22,7,4,7,4,4,6,7,1,9,4,1,7,1,3,6,5,7,9,4,10
