,Charlton Athletic,Everton,Derby County,Blackburn Rovers,Leeds United,Southampton,Leicester City,Bolton Wanderers,Liverpool,West Ham United,Middlesbrough,Arsenal,Sunderland,Ipswich Town,Tottenham Hotspur,Aston Villa,Chelsea,Newcastle United,Manchester United,Fulham
,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/CharltonBadge_30Jan2020.png/270px-CharltonBadge_30Jan2020.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Derby_County_crest.svg/285px-Derby_County_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/240px-Leeds_United_F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Leicester_City_crest.svg/270px-Leicester_City_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Ipswich_Town.svg/225px-Ipswich_Town.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png2001-08-18,0,3,3,0,3,0,0,3,3,0,0,3,3,0,1,1,0,0,0,0
2001-08-19,0,3,3,0,3,0,0,3,3,0,0,3,3,0,1,1,1,1,3,0
2001-08-20,0,4,3,0,3,0,0,3,3,0,0,3,3,0,2,1,1,1,3,0
2001-08-21,0,4,3,0,6,0,0,6,3,0,0,3,3,3,2,1,1,1,3,0
2001-08-22,0,4,3,1,6,0,0,6,3,0,0,3,3,3,2,1,1,1,4,3
2001-08-25,3,7,4,4,7,0,0,6,3,1,0,6,3,3,2,1,4,1,4,4
2001-08-26,3,7,4,4,7,0,0,6,3,1,0,6,4,3,2,2,4,2,5,4
2001-08-27,3,7,4,4,7,0,0,9,3,1,0,6,4,3,2,2,4,2,5,4
2001-09-08,3,7,5,4,8,0,1,10,3,2,0,7,7,4,2,5,5,5,8,4
2001-09-09,4,7,5,4,8,0,1,10,3,2,0,7,7,4,5,5,5,5,8,5
