,Arsenal,Everton,Birmingham City,Tottenham Hotspur,Blackburn Rovers,Wolverhampton Wanderers,Fulham,Middlesbrough,Leicester City,Southampton,Manchester United,Bolton Wanderers,Portsmouth,Aston Villa,Liverpool,Chelsea,Charlton Athletic,Manchester City,Leeds United,Newcastle United
,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Birmingham_City_FC_logo.svg/180px-Birmingham_City_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Wolverhampton_Wanderers.svg/270px-Wolverhampton_Wanderers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Leicester_City_crest.svg/270px-Leicester_City_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Portsmouth_FC_logo.svg/270px-Portsmouth_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/CharltonBadge_30Jan2020.png/270px-CharltonBadge_30Jan2020.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/240px-Leeds_United_F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png
2003-08-16,3,0,3,0,3,0,3,0,1,1,3,0,3,0,0,0,0,0,0,0
2003-08-17,3,0,3,0,3,0,3,0,1,1,3,0,3,0,0,3,0,3,1,1
2003-08-23,3,3,4,3,4,0,3,0,1,2,6,1,4,0,0,6,3,4,1,1
2003-08-24,6,3,4,3,4,0,3,0,1,2,6,1,4,1,1,6,3,4,1,1
2003-08-25,6,3,4,3,4,0,3,0,1,2,6,1,4,1,1,6,3,7,1,1
2003-08-26,6,4,4,3,4,0,3,1,2,3,6,1,7,1,1,6,4,7,2,1
2003-08-27,9,4,4,4,4,0,3,1,2,3,9,1,7,1,2,6,4,7,2,1
2003-08-30,9,4,7,4,5,1,6,1,2,3,9,2,8,4,5,7,5,7,5,1
2003-08-31,12,4,7,4,5,1,6,1,2,6,9,2,8,4,5,7,5,7,5,1
