,Middlesbrough,Newcastle,Aston Villa,Southampton,Blackburn,West Brom,Bolton,Charlton,Man City,Fulham,Norwich,Crystal Palace,Portsmouth,Birmingham,Tottenham,Liverpool,Chelsea,Man Utd,Everton,Arsenal
2004-08-14,1,1,3,0,1,1,3,0,1,1,1,1,1,1,1,1,0,0,0,0
2004-08-15,1,1,3,0,1,1,3,0,1,1,1,1,1,1,1,1,3,0,0,3
2004-08-21,1,1,3,3,1,1,3,3,1,4,1,1,1,1,4,4,6,3,3,3
2004-08-22,1,1,4,3,1,2,3,3,1,4,1,1,1,1,4,4,6,3,3,6,Middlesbrough,Newcastle United,Aston Villa,Southampton,Blackburn Rovers,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Manchester City,Fulham,Norwich City,Crystal Palace,Portsmouth,Birmingham City,Tottenham Hotspur,Liverpool,Chelsea,Manchester United,Everton,Arsenal
,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/255px-FC_Southampton.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/West_Bromwich_Albion.svg/225px-West_Bromwich_Albion.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/CharltonBadge_30Jan2020.png/270px-CharltonBadge_30Jan2020.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Norwich_City_Crest_%282022%29.png/225px-Norwich_City_Crest_%282022%29.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Crystal_Palace_FC_logo_%282022%29.svg/240px-Crystal_Palace_FC_logo_%282022%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Portsmouth_FC_logo.svg/270px-Portsmouth_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Birmingham_City_FC_logo.svg/180px-Birmingham_City_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png
2004-08-24,1,1,4,3,1,2,3,3,1,4,1,1,1,4,4,4,9,3,3,6
2004-08-25,4,2,4,3,1,3,6,6,1,4,2,1,1,4,5,4,9,3,3,9
2004-08-28,7,2,7,3,2,3,6,6,4,4,2,1,1,4,8,4,12,4,6,12
2004-08-29,7,2,7,3,2,3,9,6,4,4,2,1,1,4,8,4,12,4,6,12
2004-08-30,7,2,7,3,2,3,9,6,4,4,2,1,4,4,8,4,12,5,7,12
