,Middlesbrough,Liverpool,Aston Villa,Bolton Wanderers,Fulham,Birmingham City,Manchester City,West Bromwich Albion,Portsmouth,Tottenham Hotspur,Sunderland,Charlton Athletic,West Ham United,Blackburn Rovers,Everton,Manchester United,Wigan Athletic,Chelsea,Arsenal,Newcastle United
,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Birmingham_City_FC_logo.svg/180px-Birmingham_City_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/West_Bromwich_Albion.svg/225px-West_Bromwich_Albion.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Portsmouth_FC_logo.svg/270px-Portsmouth_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/CharltonBadge_30Jan2020.png/270px-CharltonBadge_30Jan2020.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Wigan_Athletic.svg/270px-Wigan_Athletic.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png
2005-08-13,1,1,1,1,1,1,1,1,0,3,0,3,3,0,0,3,0,0,0,0
2005-08-14,1,1,1,1,1,1,1,1,0,3,0,3,3,0,0,3,0,3,3,0
2005-08-20,1,4,1,1,1,1,4,4,0,6,0,6,4,3,0,6,0,3,3,1
2005-08-21,1,4,1,1,1,1,4,4,0,6,0,6,4,3,3,6,0,6,3,1
2005-08-23,4,4,2,1,1,1,7,4,1,6,0,6,4,3,3,6,0,6,3,1
2005-08-24,4,4,2,4,1,1,7,4,1,7,0,6,4,4,3,6,0,9,6,1
2005-08-27,4,4,5,7,4,4,10,4,1,7,0,6,4,4,3,6,3,12,6,1
2005-08-28,4,4,5,7,4,4,10,4,1,7,0,9,4,4,3,9,3,12,6,1
2005-09-10,7,5,5,7,5,4,11,4,4,8,0,12,4,4,3,10,6,15,6,2
2005-09-11,7,5,5,8,5,4,11,4,4,8,0,12,4,5,3,10,6,15,6,2
2005-09-12,7,5,5,8,5,4,11,4,4,8,0,12,7,5,3,10,6,15,6,2
2005-09-17,7,5,6,8,5,5,11,5,5,9,1,12,10,5,3,10,6,18,6,2
2005-09-18,8,6,6,11,5,5,11,5,5,9,1,12,10,5,3,11,7,18,6,5
2005-09-19,8,6,6,11,5,5,11,5,5,9,1,12,10,5,3,11,7,18,9,5
2005-09-24,8,7,6,14,5,6,11,5,5,9,1,15,11,8,3,11,10,21,10,8
2005-09-25,8,7,6,14,5,6,11,5,5,9,4,15,11,8,3,11,10,21,10,8
2005-09-26,8,7,6,14,5,6,11,5,5,12,4,15,11,8,3,11,10,21,10,8
2005-10-01,8,7,6,14,5,6,11,5,6,15,5,15,12,11,3,14,10,21,10,9
2005-10-02,11,7,6,14,5,6,14,5,6,15,5,15,12,11,3,14,13,24,13,9
2005-10-15,12,10,6,14,5,6,14,8,7,18,5,15,12,11,3,17,16,27,13,9
2005-10-16,12,10,9,14,5,6,17,8,7,18,5,15,12,11,3,17,16,27,13,9
2005-10-17,12,10,9,14,6,6,17,8,7,18,5,16,12,11,3,17,16,27,13,9
2005-10-22,12,10,9,14,9,6,17,8,7,19,5,19,12,14,3,18,19,27,16,9
2005-10-23,12,10,9,17,9,6,17,8,7,19,5,19,15,14,4,18,19,28,16,12
2005-10-29,15,13,9,20,9,6,17,8,10,20,5,19,15,14,7,18,22,31,17,12
2005-10-30,15,13,9,20,9,6,17,8,10,20,5,19,15,14,7,18,22,31,17,15
2005-10-31,15,13,9,20,9,6,20,8,10,20,5,19,15,14,7,18,22,31,17,15
2005-11-05,15,16,9,20,12,6,20,8,10,20,5,19,18,17,7,18,25,31,20,18
2005-11-06,15,16,9,20,12,6,20,8,10,20,5,19,18,17,10,21,25,31,20,18
2005-11-07,15,16,9,23,12,6,20,8,10,20,5,19,18,17,10,21,25,31,20,18
2005-11-19,15,19,12,23,12,6,21,11,10,20,5,19,18,18,10,24,25,34,23,18
2005-11-20,18,19,12,23,12,6,21,11,10,21,5,19,19,18,10,24,25,34,23,18
2005-11-26,18,22,15,23,12,9,21,11,10,24,5,19,19,18,10,24,25,37,26,18
2005-11-27,19,22,15,23,15,9,21,12,10,24,5,19,19,18,13,27,25,37,26,18
2005-11-30,19,25,15,23,15,9,21,12,10,24,5,19,19,18,13,27,25,37,26,18
2005-12-03,19,28,16,26,16,9,21,13,10,27,5,19,19,18,16,30,25,40,26,19
2005-12-04,19,28,16,26,16,9,24,13,10,27,5,19,19,18,16,30,25,40,26,19
2005-12-05,19,28,16,26,16,9,24,13,10,27,5,19,22,18,16,30,25,40,26,19
2005-12-10,19,31,17,27,16,12,24,16,10,27,5,22,22,21,16,30,25,43,26,22
2005-12-11,19,31,17,27,16,12,24,16,10,27,5,22,22,21,17,31,25,43,26,22
2005-12-12,19,31,17,27,16,12,24,16,10,30,5,22,22,21,17,31,25,43,26,22
2005-12-14,19,31,17,27,16,12,24,16,10,30,5,22,25,21,17,34,25,43,26,22
