,Bolton Wanderers,Tottenham Hotspur,Arsenal,Aston Villa,Everton,Watford,Newcastle United,Wigan Athletic,Portsmouth,Blackburn Rovers,Reading,Middlesbrough,West Ham United,Charlton Athletic,Sheffield United,Liverpool,Chelsea,Manchester City,Manchester United,Fulham
,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Watford.svg/255px-Watford.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Wigan_Athletic.svg/270px-Wigan_Athletic.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Portsmouth_FC_logo.svg/270px-Portsmouth_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Reading_FC.svg/270px-Reading_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/CharltonBadge_30Jan2020.png/270px-CharltonBadge_30Jan2020.png,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Sheffield_United_FC_logo.svg/270px-Sheffield_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png
2006-08-19,3,0,1,1,3,0,3,0,3,0,3,0,3,0,1,1,0,0,0,0
2006-08-20,3,0,1,1,3,0,3,0,3,0,3,0,3,0,1,1,3,0,3,0
2006-08-22,3,3,1,1,3,1,3,0,3,0,3,0,4,0,1,1,3,0,3,0
2006-08-23,4,3,1,4,4,1,3,0,4,1,3,3,4,0,1,1,3,1,6,1
2006-08-26,4,3,1,4,7,1,3,3,4,1,3,3,4,3,1,4,3,4,9,4
2006-08-27,4,3,1,7,7,1,3,3,4,1,3,3,4,3,1,4,6,4,9,4
2006-08-28,4,3,1,7,7,1,3,3,7,1,3,3,4,3,1,4,6,4,9,4
2006-09-09,7,3,2,7,10,1,3,3,10,2,3,4,4,3,2,4,9,4,12,7
2006-09-10,7,3,2,8,10,1,3,3,10,2,3,4,5,3,2,4,9,4,12,7
