,Aston Villa,Liverpool,Bolton Wanderers,Newcastle United,Derby County,Portsmouth,Everton,Wigan Athletic,Middlesbrough,Blackburn Rovers,West Ham United,Manchester City,Sunderland,Tottenham Hotspur,Manchester United,Reading,Chelsea,Birmingham City,Arsenal,Fulham
,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Derby_County_crest.svg/285px-Derby_County_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Portsmouth_FC_logo.svg/270px-Portsmouth_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Wigan_Athletic.svg/270px-Wigan_Athletic.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Reading_FC.svg/270px-Reading_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Birmingham_City_FC_logo.svg/180px-Birmingham_City_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png
2007-08-11,0,3,0,3,1,1,3,0,0,3,0,3,3,0,0,0,0,0,0,0
2007-08-12,0,3,0,3,1,1,3,0,0,3,0,3,3,0,1,1,3,0,3,0
2007-08-14,0,3,0,3,1,1,6,0,0,3,0,3,3,0,1,1,3,0,3,0
2007-08-15,0,3,0,3,1,2,6,3,0,3,0,6,4,0,2,1,6,1,3,3
2007-08-18,1,3,0,4,1,5,6,6,3,3,3,6,4,3,2,4,6,1,3,3
2007-08-19,1,4,0,4,1,5,6,6,3,4,3,9,4,3,2,4,7,1,4,3
2007-08-25,4,7,3,4,1,5,7,7,3,5,4,9,4,3,2,4,10,4,7,3
2007-08-26,4,7,3,5,1,5,7,7,4,5,4,9,4,3,5,4,10,4,7,3
2007-09-01,4,10,3,8,1,5,10,7,7,5,7,9,4,4,8,4,10,4,7,4
2007-09-02,7,10,3,8,1,5,10,7,7,8,7,9,4,4,8,4,10,4,10,4
2007-09-15,7,11,3,8,1,6,10,8,7,9,10,9,7,4,11,4,11,7,13,5
2007-09-16,7,11,3,8,1,6,10,8,7,9,10,12,7,4,11,4,11,7,13,5
2007-09-17,7,11,3,8,4,6,10,8,7,9,10,12,7,4,11,4,11,7,13,5
2007-09-22,7,12,3,8,4,6,10,8,8,9,10,13,8,4,11,7,11,8,16,6
2007-09-23,10,12,4,11,4,9,10,8,8,9,10,13,8,5,14,7,11,8,16,6
2007-09-29,10,15,5,11,5,12,10,8,8,12,10,16,8,5,17,7,12,8,19,7
2007-09-30,10,15,5,11,5,12,13,8,8,12,10,16,8,5,17,7,12,8,19,7
2007-10-01,11,15,5,11,5,12,13,8,8,12,10,16,8,6,17,7,12,8,19,7
2007-10-06,14,15,5,11,5,12,13,8,8,12,10,16,8,6,20,7,12,8,19,7
2007-10-07,14,16,5,14,5,15,13,8,8,15,10,19,8,7,20,10,15,8,22,7
2007-10-20,14,19,5,14,6,18,13,8,8,18,10,22,8,7,23,10,18,8,25,8
2007-10-21,14,19,5,14,6,18,13,8,8,18,13,22,8,7,23,10,18,8,25,8
2007-10-22,14,19,5,17,6,18,13,8,8,18,13,22,8,7,23,10,18,8,25,8
2007-10-27,14,19,5,17,6,19,13,8,8,18,14,22,9,7,26,13,21,11,25,9
2007-10-28,15,20,6,17,6,19,16,8,8,21,14,22,9,7,26,13,21,11,26,9
2007-11-03,18,21,6,17,6,22,19,8,9,22,14,22,9,8,27,13,24,11,27,12
2007-11-04,18,21,7,17,6,22,19,8,9,22,15,22,9,8,27,13,24,11,27,12
2007-11-05,18,21,7,17,6,22,19,8,9,22,15,25,9,8,27,13,24,11,27,12
2007-11-10,18,24,7,18,6,22,19,8,9,22,18,25,10,8,27,13,24,11,27,12
2007-11-11,21,24,8,18,6,23,20,8,10,22,18,26,10,11,30,13,25,11,27,12
2007-11-12,21,24,8,18,6,23,20,8,10,22,18,26,10,11,30,13,25,11,30,12
2007-11-24,24,27,11,18,6,26,23,8,10,22,18,29,10,11,30,13,28,11,33,12
2007-11-25,24,27,11,18,6,26,23,8,10,23,19,29,10,12,30,13,28,11,33,13
2007-11-28,27,27,11,18,6,26,23,8,10,23,19,29,10,12,30,13,28,11,33,13
2007-12-01,27,27,11,18,6,27,24,9,11,26,19,30,13,12,30,14,31,11,36,13
2007-12-02,27,30,11,18,6,27,24,9,11,26,19,30,13,12,30,14,31,14,36,13
2007-12-03,27,30,11,18,6,27,24,9,11,26,19,30,13,12,33,14,31,14,36,13
2007-12-05,27,30,11,19,6,27,24,9,11,26,19,30,13,12,33,14,31,14,37,13
2007-12-08,27,30,11,22,6,30,27,9,11,26,19,30,13,12,36,17,34,14,37,13
2007-12-09,27,30,14,22,6,30,27,9,14,26,22,30,13,15,36,17,34,14,37,13
2007-12-15,28,30,14,25,6,30,30,12,17,26,22,33,14,18,36,18,34,15,37,13
2007-12-16,28,30,14,25,6,30,30,12,17,26,22,33,14,18,39,18,34,15,40,13
2007-12-22,29,33,17,25,6,30,30,13,17,26,25,34,14,18,39,21,34,15,43,14
2007-12-23,29,33,17,26,7,30,30,13,17,26,25,34,14,18,42,21,37,15,43,14
2007-12-26,30,36,17,26,7,31,33,16,17,26,26,34,14,21,45,22,38,18,44,14
2007-12-27,30,36,17,26,7,31,33,16,17,27,26,35,14,21,45,22,38,18,44,14
2007-12-29,33,36,17,26,7,31,33,16,20,27,29,35,17,24,45,22,41,19,47,15
