,Sunderland,Liverpool,Bolton Wanderers,Stoke City,Everton,Blackburn Rovers,Hull City,Fulham,Middlesbrough,Tottenham Hotspur,West Ham United,Wigan Athletic,Arsenal,West Bromwich Albion,Manchester United,Newcastle United,Aston Villa,Manchester City,Chelsea,Portsmouth
,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Stoke_City_FC.svg/240px-Stoke_City_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Hull_City_A.F.C._logo.svg/225px-Hull_City_A.F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Middlesbrough_FC_crest.svg/270px-Middlesbrough_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Wigan_Athletic.svg/270px-Wigan_Athletic.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/West_Bromwich_Albion.svg/225px-West_Bromwich_Albion.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Portsmouth_FC_logo.svg/270px-Portsmouth_FC_logo.svg.png
2008-08-16,0,3,3,0,0,3,3,0,3,0,3,0,3,0,0,0,0,0,0,0
2008-08-17,0,3,3,0,0,3,3,0,3,0,3,0,3,0,1,1,3,0,3,0
2008-08-23,3,6,3,3,3,4,4,3,3,0,3,0,3,0,1,4,3,0,3,0
2008-08-24,3,6,3,3,3,4,4,3,3,0,3,0,3,0,1,4,3,3,6,0
2008-08-25,3,6,3,3,3,4,4,3,3,0,3,0,3,0,4,4,3,3,6,0
2008-08-30,3,6,4,3,3,4,4,3,6,0,6,3,6,1,4,4,3,3,6,3
2008-08-31,3,7,4,3,3,4,4,3,6,1,6,3,6,1,4,4,4,6,7,3
2008-09-13,4,10,4,3,3,4,7,6,6,1,6,4,9,4,4,4,4,6,10,6
2008-09-14,4,10,4,3,6,4,7,6,6,1,6,4,9,4,4,4,4,6,10,6
2008-09-15,4,10,4,3,6,4,7,6,6,1,6,4,9,4,4,4,7,6,10,6
2008-09-20,7,11,4,4,6,7,7,6,6,1,9,4,12,4,4,4,7,6,10,6
2008-09-21,7,11,4,4,7,7,8,6,6,2,9,5,12,4,5,4,10,9,11,6
2008-09-27,7,14,4,4,7,10,11,6,6,2,12,5,12,7,8,4,13,9,14,6
2008-09-28,7,14,4,4,7,10,11,6,6,2,12,8,12,7,8,4,13,9,14,9
2008-10-04,8,14,4,4,7,10,11,6,9,2,12,8,13,10,11,4,13,9,14,9
2008-10-05,8,17,7,4,8,10,14,6,9,2,12,8,13,10,11,5,13,9,17,12
2008-10-18,9,20,8,4,8,11,14,7,9,2,12,8,16,10,14,5,14,9,20,13
2008-10-19,9,20,8,7,8,11,17,7,9,2,12,8,16,10,14,5,14,9,20,13
2008-10-20,9,20,8,7,8,11,17,7,9,2,12,8,16,10,14,6,14,10,20,13
2008-10-25,12,20,8,7,9,12,20,7,10,2,12,8,16,10,15,6,14,10,20,13
2008-10-26,12,23,8,7,9,12,20,8,10,5,12,8,19,10,15,6,17,13,20,14
2008-10-28,12,23,8,7,9,12,20,8,10,5,12,8,19,10,15,9,17,13,20,14
2008-10-29,12,26,8,10,12,12,20,11,13,6,12,8,20,10,18,9,20,13,23,14
2008-11-01,12,26,8,13,15,13,20,11,14,9,13,11,20,11,21,9,20,13,26,14
2008-11-02,12,26,11,13,15,13,20,11,14,9,13,11,20,11,21,9,20,13,26,14
2008-11-03,12,26,11,13,15,13,20,11,14,9,13,11,20,11,21,12,20,13,26,14
2008-11-08,12,29,14,14,18,13,20,11,14,9,13,12,23,11,21,12,20,13,26,17
2008-11-09,12,29,14,14,18,13,20,14,17,12,13,12,23,11,21,12,20,13,29,17
2008-11-15,15,32,14,14,18,13,20,17,17,12,14,13,23,11,24,13,23,13,32,18
2008-11-16,15,32,14,14,19,13,21,17,18,12,14,13,23,11,24,13,23,14,32,18
