,Everton,Arsenal,Aston Villa,Wigan Athletic,Blackburn Rovers,Manchester City,Bolton Wanderers,Sunderland,Portsmouth,Fulham,Stoke City,Burnley,Tottenham Hotspur,Liverpool,Manchester United,Birmingham City,Chelsea,Wolverhampton Wanderers,Hull City,West Ham United
,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Wigan_Athletic.svg/270px-Wigan_Athletic.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Portsmouth_FC_logo.svg/270px-Portsmouth_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Stoke_City_FC.svg/240px-Stoke_City_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Burnley_F.C._Logo.svg/225px-Burnley_F.C._Logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Birmingham_City_FC_logo.svg/180px-Birmingham_City_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Wolverhampton_Wanderers.svg/270px-Wolverhampton_Wanderers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Hull_City_A.F.C._logo.svg/225px-Hull_City_A.F.C._logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png
2009-08-15,0,3,0,3,0,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0
2009-08-16,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,0,0,0,0
2009-08-18,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,3,0,0
2009-08-19,0,3,0,3,0,3,0,3,0,3,3,3,6,3,3,3,3,3,0,0
2009-08-22,0,6,0,3,0,6,0,6,0,3,4,3,6,3,6,4,3,3,3,0
2009-08-23,0,6,0,3,0,6,0,6,0,3,4,6,9,3,6,4,6,3,3,0
2009-08-24,0,6,3,3,0,6,0,6,0,3,4,6,9,3,6,4,6,3,3,0
2009-08-29,0,6,3,3,1,6,0,6,0,3,7,6,12,6,9,4,9,4,4,1
2009-08-30,3,6,6,3,1,9,0,6,0,3,7,6,12,6,9,4,9,4,4,1
2009-09-12,3,6,6,6,4,12,3,9,0,3,7,6,12,9,12,4,12,4,4,1
2009-09-13,3,6,9,6,4,12,3,9,0,6,7,6,12,9,12,4,12,4,4,1
