,Chelsea,West Bromwich Albion,Aston Villa,West Ham United,Blackburn Rovers,Everton,Bolton Wanderers,Fulham,Sunderland,Birmingham City,Wigan Athletic,Blackpool,Wolverhampton Wanderers,Stoke City,Tottenham Hotspur,Manchester City,Liverpool,Arsenal,Manchester United,Newcastle United
,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Chelsea_FC.svg/270px-Chelsea_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/West_Bromwich_Albion.svg/225px-West_Bromwich_Albion.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Aston_Villa_FC_crest_%282016%29.svg/203px-Aston_Villa_FC_crest_%282016%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/240px-West_Ham_United_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Blackburn_Rovers.svg/255px-Blackburn_Rovers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Everton_FC_logo.svg/270px-Everton_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Bolton_Wanderers_FC_logo.svg/255px-Bolton_Wanderers_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Fulham_FC_%28shield%29.svg/210px-Fulham_FC_%28shield%29.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/330px-Logo_Sunderland.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Birmingham_City_FC_logo.svg/180px-Birmingham_City_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Wigan_Athletic.svg/270px-Wigan_Athletic.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Blackpool_FC_logo.svg/270px-Blackpool_FC_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Wolverhampton_Wanderers.svg/270px-Wolverhampton_Wanderers.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Stoke_City_FC.svg/240px-Stoke_City_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/180px-Tottenham_Hotspur.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Manchester_City_FC_badge.svg/270px-Manchester_City_FC_badge.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Liverpool_FC.svg/270px-Liverpool_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Arsenal_FC.svg/255px-Arsenal_FC.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Manchester_United_FC_crest.svg/285px-Manchester_United_FC_crest.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/300px-Newcastle_United_Logo.svg.png
2010-08-14,3,0,3,0,3,0,1,1,1,1,0,3,3,0,1,1,0,0,0,0
2010-08-15,3,0,3,0,3,0,1,1,1,1,0,3,3,0,1,1,1,1,0,0
2010-08-16,3,0,3,0,3,0,1,1,1,1,0,3,3,0,1,1,1,1,3,0
2010-08-21,6,3,3,0,3,1,4,1,1,4,0,3,4,0,4,1,1,4,3,0
2010-08-22,6,3,3,0,3,1,4,2,1,4,0,3,4,0,4,1,1,4,4,3
2010-08-23,6,3,3,0,3,1,4,2,1,4,0,3,4,0,4,4,1,4,4,3
2010-08-28,9,3,3,0,3,1,4,3,1,4,3,4,5,0,4,4,1,7,7,4
2010-08-29,9,3,6,0,3,1,5,3,4,5,3,4,5,0,4,4,4,7,7,4
2010-09-11,12,4,6,0,4,2,5,6,5,5,4,7,5,0,5,5,4,10,8,4
2010-09-12,12,4,6,0,4,2,5,6,5,6,4,7,5,0,5,5,5,10,8,4
2010-09-13,12,4,6,0,4,2,5,6,5,6,4,7,5,3,5,5,5,10,8,4
2010-09-18,12,7,7,1,5,2,6,7,6,6,4,7,5,4,8,5,5,11,8,7
2010-09-19,15,7,7,1,5,2,6,7,6,6,4,7,5,4,8,8,5,11,11,7
2010-09-25,15,10,7,4,8,3,6,8,7,7,5,7,5,4,8,11,6,11,11,7
2010-09-26,15,10,10,4,8,3,7,8,7,7,5,7,5,7,8,11,6,11,12,7
2010-10-02,15,11,10,5,8,6,8,9,8,7,8,7,5,10,11,11,6,11,13,7
2010-10-03,18,11,10,5,8,6,8,9,8,7,8,10,5,10,11,14,6,11,13,7
2010-10-16,19,12,11,6,8,6,11,9,8,7,9,10,6,10,14,14,6,14,14,8
2010-10-17,19,12,11,6,8,9,11,9,8,7,9,10,6,10,14,17,6,14,14,8
2010-10-18,19,12,11,6,9,9,11,9,9,7,9,10,6,10,14,17,6,14,14,8
2010-10-23,22,15,11,6,9,10,12,9,12,10,10,10,6,10,15,17,6,14,14,11
2010-10-24,22,15,11,6,9,10,12,9,12,10,10,10,6,10,15,17,9,17,17,11
2010-10-30,25,15,11,6,9,13,12,12,12,10,10,10,9,10,15,17,9,20,20,11
2010-10-31,25,15,12,6,9,13,12,12,12,11,10,10,9,10,15,17,12,20,20,14
2010-11-01,25,15,12,6,9,13,12,12,12,11,10,13,9,10,15,17,12,20,20,14
2010-11-06,25,15,13,7,12,14,15,13,15,12,10,14,9,10,15,17,12,20,23,14
2010-11-07,25,15,13,7,12,14,15,13,15,12,10,14,9,10,15,20,15,20,23,17
2010-11-09,25,15,13,7,12,14,15,13,16,12,10,14,9,13,16,20,15,20,23,17
2010-11-10,28,16,16,8,15,15,16,13,16,12,11,14,9,13,16,21,16,23,24,17
2010-11-13,28,16,17,9,15,15,19,14,16,13,14,15,9,16,19,22,16,23,25,18
2010-11-14,28,16,17,9,15,15,19,14,19,13,14,15,9,16,19,22,16,26,25,18
2010-11-20,28,16,17,9,15,15,22,14,19,16,14,18,9,19,22,22,19,26,28,18
2010-11-21,28,16,17,9,18,15,22,14,19,16,14,18,9,19,22,25,19,26,28,18
2010-11-22,28,16,17,9,18,16,22,14,20,16,14,18,9,19,22,25,19,26,28,18
2010-11-27,28,19,17,12,18,16,23,15,20,17,14,19,12,20,22,26,19,29,31,18
2010-11-28,29,19,17,12,18,16,23,15,20,17,14,19,12,20,25,26,19,29,31,19
2010-12-04,30,19,17,12,21,17,23,15,20,18,15,19,12,21,26,29,19,32,31,19
2010-12-05,30,22,17,12,21,17,23,15,23,18,15,19,12,21,26,29,19,32,31,19
2010-12-06,30,22,17,12,21,17,23,15,23,18,15,19,12,21,26,29,22,32,31,19
2010-12-11,30,22,20,12,21,18,23,16,24,18,16,22,12,21,26,32,22,32,31,22
2010-12-12,31,22,20,12,21,18,26,16,24,18,16,22,15,21,27,32,22,32,31,22
2010-12-13,31,22,20,12,21,18,26,16,24,18,16,22,15,21,27,32,22,32,34,22
2010-12-18,31,22,20,13,22,18,26,16,27,18,16,22,15,21,27,32,22,32,34,22
2010-12-20,31,22,20,13,22,21,26,16,27,18,16,22,15,21,27,32,22,32,34,22
2010-12-26,31,22,20,16,22,21,29,16,27,18,19,22,15,24,30,35,22,32,37,22
2010-12-27,31,22,20,16,22,21,29,16,27,18,19,22,15,24,30,35,22,35,37,22
2010-12-28,31,22,20,17,25,22,29,19,27,19,19,25,15,24,33,38,22,35,38,22
2010-12-29,34,22,20,17,25,22,29,19,27,19,20,25,18,24,33,38,22,36,38,22
2011-01-01,34,22,20,20,25,22,29,19,30,19,20,25,18,27,36,41,25,39,41,22
2011-01-02,35,22,21,20,25,22,29,19,30,19,20,25,18,27,36,41,25,39,41,25
2011-01-04,35,22,21,20,25,22,29,22,30,22,20,25,18,27,36,41,25,39,44,25
2011-01-05,35,22,21,20,28,25,30,22,33,22,21,25,21,27,36,42,25,40,44,28
2011-01-12,35,22,21,20,28,25,30,22,33,22,21,28,21,27,36,42,25,40,44,28
